feature,standardized_coefficient,ci_low,ci_high,bootstrap_pr_positive,bootstrap_pr_negative
S,-0.22151907560221215,-0.4151196410032482,0.012012308845308402,0.03575,0.96425
L,0.2379257767276992,0.11622438300070642,0.37486209241914803,1.0,0.0
SxL,0.6825025992089636,0.494539727334524,0.8515038565257115,1.0,0.0
T,-0.1677102142831974,-0.31162712784107427,0.008676727562168376,0.03225,0.96775
SxT,0.09820900156781019,-0.041176073074957895,0.2208819775443204,0.9045,0.0955
