tag,regime_id,top1_force_share_cold,top1_force_share_hot,top1_force_share_hot_minus_cold,top5_force_share_cold,top5_force_share_hot,top5_force_share_hot_minus_cold,force_gini_cold,force_gini_hot,force_gini_hot_minus_cold,fabric_anisotropy_cold,fabric_anisotropy_hot,fabric_anisotropy_hot_minus_cold,fabric_vertical_bias_cold,fabric_vertical_bias_hot,fabric_vertical_bias_hot_minus_cold,force_weighted_abs_nz_cold,force_weighted_abs_nz_hot,force_weighted_abs_nz_hot_minus_cold,p95_largest_component_z_span_norm_cold,p95_largest_component_z_span_norm_hot,p95_largest_component_z_span_norm_hot_minus_cold,p99_largest_component_z_span_norm_cold,p99_largest_component_z_span_norm_hot,p99_largest_component_z_span_norm_hot_minus_cold
a050_mu010_g002,R1,0.037594809134206604,0.09452507054961654,0.05693026141540993,0.14806476569796753,0.29672828129821655,0.148663515600249,0.405991943336047,0.5984399265066837,0.19244798317063666,0.16148611022288667,0.16245692245814256,0.0009708122352558857,0.15962001562425,-0.1516279324941355,-0.3112479481183855,0.5868725784237508,0.3560723729139106,-0.23080020550984026,0.37518158218967057,0.19313846993723716,-0.18204311225243341,0.20449269718321086,0.07810617537869441,-0.12638652180451646
a050_mu060_g002,R2,0.04065238682691833,0.07625473246364596,0.03560234563672763,0.1553411200529441,0.2584406920859762,0.1030995720330321,0.41997902794664715,0.5770396170515351,0.1570605891048879,0.2229647294905644,0.16807889439229345,-0.05488583509827094,0.2203563390195748,-0.1592034529031113,-0.3795597919226861,0.6288696703872619,0.3617044429800934,-0.2671652274071685,0.37549174117595047,0.23252641142868188,-0.14296532974726858,0.18748565583242396,0.03107382312478051,-0.15641183270764344
a100_mu030_g002,R3,0.050991397163655985,0.10439590926408719,0.053404512100431206,0.18383538192989393,0.3159759377403947,0.13214055581050074,0.4763501858668763,0.6224443298846243,0.146094144017748,0.2263378138933269,0.19702534063331803,-0.02931247326000888,0.2134870296563845,-0.184277020052905,-0.39776404970928947,0.617305185108672,0.33001091900032276,-0.2872942661083493,0.1480789213762599,0.020238331266277755,-0.12784059010998214,0.07088319207331889,0.020220482711745362,-0.05066270936157353
a100_mu060_g000,R4,0.04998175459709426,0.09052216547557905,0.04054041087848479,0.18494877672918925,0.28189112651870946,0.09694234978952021,0.4835766909177037,0.5876271605790928,0.10405046966138909,0.2072747610469235,0.1939589461593001,-0.0133158148876234,0.20550333916017677,-0.1867671523290707,-0.3922704914892475,0.61418914524376,0.3338775478098691,-0.2803115974338909,0.11986151086048864,0.33015463892642594,0.2102931280659373,0.07664845798090218,0.03208626580671405,-0.04456219217418813
a150_mu010_g002,R5,0.047995661976716314,0.07295324632996474,0.02495758435324842,0.18255954747743725,0.2470989992611208,0.06453945178368356,0.4897921478495685,0.5638572316553896,0.07406508380582111,0.25358075115737533,0.015000202025407472,-0.23858054913196786,0.24212128542497152,-0.002603164788440082,-0.2447244502134116,0.6375829408084671,0.4878547753512939,-0.1497281654571732,0.20073177714976123,0.3235965353398536,0.12286475819009238,0.13620056872047062,0.09985164764751586,-0.03634892107295476
a150_mu060_g020,R6,0.06401190740844569,0.08474202100078715,0.020730113592341462,0.20372654823384903,0.2583947608061071,0.054668212572258096,0.512117031953155,0.5457295910103352,0.03361255905718019,0.229813099224358,0.15267680625079214,-0.07713629297356586,0.2078842454087526,-0.14199049456342894,-0.34987473997218155,0.6226613498968464,0.36854435442995703,-0.2541169954668894,0.12021591222660463,0.26892290130565766,0.14870698907905303,0.06862735165288304,0.07367104057761718,0.005043688924734141
