regime_id,bootstrap,slope_loop_to_overload
R1,0,-0.7364565133803165
R1,1,-1.8788819145616367
R1,2,-2.3047069860311518
R1,3,-4.858570961854585
R1,4,-6.038015791729005
R1,5,-3.4558134393230397
R1,6,-4.556925493246908
R1,7,-3.934673635954644
R1,8,-5.94977622154545
R1,9,-7.334069323076361
R1,10,-0.2083461924382785
R1,11,4.173241448520963
R1,12,4.438758796553831
R1,13,4.2480773693843314
R1,14,-2.506142955126144
R1,15,-0.6662959039592803
R1,16,-4.185368967572375
R1,17,-3.477035622836916
R1,18,-0.46430258839733246
R1,19,-6.488686741823013
R1,20,-3.780666176008531
R1,21,4.536216633629647
R1,22,-1.7181587876335287
R1,23,-4.599307195586707
R1,24,-0.3147551723082831
R1,25,-0.8490041999344072
R1,26,-6.3287618656436555
R1,27,-0.9498472465415206
R1,28,-0.8127725536360012
R1,29,3.4476495364548096
R1,30,3.5089984349022685
R1,31,-2.0798342728506407
R1,32,-7.301026719684856
R1,33,-3.9989428333344095
R1,34,3.6148859924693406
R1,35,5.458399521902482
R1,36,4.990837322731008
R1,37,3.257495353963105
R1,38,-5.7931508248742185
R1,39,-1.2512037796250088
R1,40,7.150636700842552
R1,41,-3.151817282478312
R1,42,-3.4846771033809594
R1,43,-2.8784518694767764
R1,44,-7.961870434877588
R1,45,4.103655502046276
R1,46,5.6612416184970975
R1,47,3.7279180536568894
R1,48,-0.48369906928136064
R1,49,-5.921529853630279
R1,50,-0.5776788973108755
R1,51,-3.7625080626461744
R1,52,-3.3750942681524823
R1,53,-1.9488275267191482
R1,54,4.707763486589281
R1,55,-4.906644793387469
R1,56,-2.4696708234340177
R1,57,-1.12761199961021
R1,58,4.0713243950230344
R1,59,3.932573365342001
R1,60,-0.03285569939257144
R1,61,-1.7186018870953088
R1,62,-2.438436496743981
R1,63,5.717060798408344
R1,64,-0.5347864698808762
R1,65,5.654502203650359
R1,66,-3.216048884152739
R1,67,4.935781028433966
R1,68,4.356563369613156
R1,69,-2.213808435984434
R1,70,4.486098191645805
R1,71,6.680388347165412
R1,72,4.491141530044955
R1,73,-1.8427797412289457
R1,74,5.142025396248694
R1,75,5.887602469626553
R1,76,4.547116298096685
R1,77,-0.9250385398227361
R1,78,4.307734939655272
R1,79,4.089370586179893
R1,80,5.491470411539953
R1,81,4.359270618732255
R1,82,-4.480134952068909
R1,83,-1.4480725060946007
R1,84,3.8768760222120155
R1,85,-4.032441523794824
R1,86,-1.561993161901439
R1,87,6.259953887865395
R1,88,-0.07408182805558185
R1,89,-1.1851126786123407
R1,90,3.425005989008908
R1,91,4.008249906156354
R1,92,-1.3761093224324852
R1,93,-5.9057259117073215
R1,94,5.430926696375141
R1,95,-0.42171481594660515
R1,96,4.336474182182352
R1,97,-0.4504106336369256
R1,98,-1.3104276192673976
R1,99,-2.966956930071477
R1,100,5.034739352610041
R1,101,-0.47438228666609195
R1,102,-5.749870190197693
R1,103,3.7416507434059354
R1,104,3.6032961481616845
R1,105,4.3935727548565655
R1,106,-0.7543467767802778
R1,107,5.877879637205466
R1,108,3.6582651033054048
R1,109,3.5599304691116442
R1,110,3.7724826837669587
R1,111,-3.3075717485856377
R1,112,3.700495017462327
R1,113,-2.4377267600161097
R1,114,-3.457267112893175
R1,115,4.015061220459101
R1,116,-4.955352837636485
R1,117,-2.4154352908284187
R1,118,-1.6005749064068477
R1,119,-0.3369889608959458
R1,120,-1.4092957610434482
R1,121,4.0084631741418155
R1,122,-0.22051375960746994
R1,123,-1.5253530406580973
R1,124,-5.174247729474404
R1,125,-6.4192095216625304
R1,126,-5.167755902594129
