coordinate_mode,coordinate_label,coordinate_family,regime_id,open_signed_area,closed_signed_area,net_displacement,mean_overload,loop_gain,S
global_robust_z,global robust z,linear-robust,R1,3.8896272318258838,0.1897431414106281,8.525406555703372,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
global_robust_z,global robust z,linear-robust,R3,-4.6325562539552765,-1.3159757675215715,14.651637469685575,0.3593259026498294,7.170264576406267,0.2941176470588235
global_robust_z,global robust z,linear-robust,R5,-3.089913462716429,-2.7380144143459417,3.5715770790422603,0.8420607248183974,13.825248348736825,0.4411764705882352
global_robust_z,global robust z,linear-robust,R6,-3.393512166744354,-3.514631535480291,2.184493544328365,1.240133437748314,16.589858547637814,0.75
global_robust_z,global robust z,linear-robust,R6c,-5.2543864861522245,-6.065849290904438,1.875290162586411,1.8532610151178008,18.399210606165077,0.8999999999999999
global_z,global z,linear,R1,0.5747543215846578,0.02252597571449866,0.9931514531982457,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
global_z,global z,linear,R3,-0.9697186424857956,-0.15623035414970532,1.8646960561909112,0.3593259026498294,7.170264576406267,0.2941176470588235
global_z,global z,linear,R5,0.06985437618509213,-0.32505230884751224,1.8582782903960349,0.8420607248183974,13.825248348736825,0.4411764705882352
global_z,global z,linear,R6,0.1861623287400211,-0.41725094264306567,2.2282672505565095,1.240133437748314,16.589858547637814,0.75
global_z,global z,linear,R6c,-0.12411522201579817,-0.7201270770521265,1.899884582452167,1.8532610151178008,18.399210606165077,0.8999999999999999
route_centered_raw,route-centred raw,linear,R1,4.779892960458734e-05,5.613070843145375e-05,0.05452474780484857,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
route_centered_raw,route-centred raw,linear,R3,-0.0006746668045552163,-0.00038929814042530235,0.0996701271375813,0.3593259026498294,7.170264576406267,0.2941176470588235
route_centered_raw,route-centred raw,linear,R5,-0.000937774707474471,-0.0008099723006070288,0.08503729683223768,0.8420607248183974,13.825248348736825,0.4411764705882352
route_centered_raw,route-centred raw,linear,R6,-0.0010015681305147175,-0.0010397148297186807,0.10109015129857767,1.240133437748314,16.589858547637814,0.75
route_centered_raw,route-centred raw,linear,R6c,-0.001607255413397072,-0.001794428064201058,0.08619599055443664,1.8532610151178008,18.399210606165077,0.8999999999999999
route_rank,route rank,nonlinear rank,R1,0.26027777777777783,0.26833333333333337,1.1080513425729774,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
route_rank,route rank,nonlinear rank,R3,-0.33083333333333337,-0.4033333333333333,0.334995854037363,0.3593259026498294,7.170264576406267,0.2941176470588235
route_rank,route rank,nonlinear rank,R5,-0.04305555555555553,-0.05111111111111108,1.2982894729433632,0.8420607248183974,13.825248348736825,0.4411764705882352
route_rank,route rank,nonlinear rank,R6,-0.08444444444444443,-0.044999999999999984,0.6342099196813482,1.240133437748314,16.589858547637814,0.75
route_rank,route rank,nonlinear rank,R6c,-0.31083333333333324,-0.3999999999999999,0.6871842709362768,1.8532610151178008,18.399210606165077,0.8999999999999999
route_robust_z,route robust z,linear-robust,R1,167.20397160020357,177.3889908185879,48.21716746907257,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
route_robust_z,route robust z,linear-robust,R3,-5.734842403240193,-5.055960795492486,19.596158950088597,0.3593259026498294,7.170264576406267,0.2941176470588235
route_robust_z,route robust z,linear-robust,R5,-120.41154431711074,-87.82926399540403,22.383166528820542,0.8420607248183974,13.825248348736825,0.4411764705882352
route_robust_z,route robust z,linear-robust,R6,-32.070133210118414,-28.252463977668185,3.52034787884842,1.240133437748314,16.589858547637814,0.75
route_robust_z,route robust z,linear-robust,R6c,-208.2901649955598,-212.44054080610474,10.61350238015176,1.8532610151178008,18.399210606165077,0.8999999999999999
route_z,route-centred z,linear,R1,7.534086022790702,8.84734426777143,6.633690174281826,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
route_z,route-centred z,linear,R3,-2.7753971612692507,-1.6014674896241399,5.645448725537046,0.3593259026498294,7.170264576406267,0.2941176470588235
route_z,route-centred z,linear,R5,-3.984001816177455,-3.4410515563618786,4.962242616303041,0.8420607248183974,13.825248348736825,0.4411764705882352
route_z,route-centred z,linear,R6,-4.438857495643149,-4.607920145039289,3.346058430899365,1.240133437748314,16.589858547637814,0.75
route_z,route-centred z,linear,R6c,-5.01784895821666,-5.602201689596387,2.9348692505990894,1.8532610151178008,18.399210606165077,0.8999999999999999
