predictor,target,spearman_raw,p_raw,spearman_within_regime,p_within_regime,n
cycle,inhalation_norm,-0.4234760525752201,4.372999498352026e-05,-0.5264319924985588,1.63105936287833e-07,87
cycle,closure_ratio,0.20820951506281976,0.05296263454087594,0.2571710274068092,0.01618882269084644,87
fabric_reservoir_index,inhalation_norm,-0.6088430414813735,3.936354721634363e-10,0.22129474374863306,0.03941205519398438,87
fabric_reservoir_index,force_h1_birth_force_share_hot_minus_cold,-0.6489757235547131,1.0605845951770156e-11,0.3338193482539914,0.001578846762076502,87
fabric_reservoir_index,force_p99_hot_minus_cold,-0.7914266967995917,7.312531413723632e-20,0.44331850987825316,1.7058690059766915e-05,87
Z_geom_cold,force_h1_birth_force_share_hot_minus_cold,-0.6119651888894917,3.0259862365948733e-10,0.3441928281912634,0.0010972288078607958,87
next_cold_cycle_jaccard,force_p99_hot_minus_cold,-0.8154662098126411,6.875273816750941e-22,0.42573084493693947,3.9409066274392056e-05,87
breathing_triangle_area,force_p99_hot_minus_cold,0.38898811693518986,0.00019645208638478345,-0.008912298607567253,0.9347042438752834,87
closure_ratio,force_p99_hot_minus_cold,0.14015455274476926,0.19540033511459287,-0.4351534592111977,2.530880260405715e-05,87
