regime_id,n_cycles,mean_overload_asinh,mean_dimensionless_loop_number,lag0_loop_rho,lag2_loop_rho,rare_event_rate
R1,30,-0.23311943251747794,-0.00244225276871169,0.6338153503893215,0.7974822112753147,0.2
R3,30,0.35932590264982944,0.01364009770419677,0.9421579532814239,0.7509578544061303,0.2
R5,30,0.8420607248183974,0.03530250229118297,0.8242491657397107,0.7301587301587301,0.2
R6,30,1.2401334377483144,0.05967572173162457,0.8807563959955507,0.8374384236453202,0.2
R6c,30,1.8532610151178008,0.11218119786088389,0.8042269187986651,0.6278051450465244,0.2
