bootstrap,feature,standardized_coefficient
0,S,-0.16312215761262477
0,L,0.20440644253859086
0,SxL,0.5938346781156522
0,T,-0.0909132612098647
0,SxT,0.11177319010100782
1,S,-0.1807412945530952
1,L,0.2444945903437431
1,SxL,0.5733309861208914
1,T,-0.21261345926667588
1,SxT,0.07231701388951865
2,S,-0.08080127189599257
2,L,0.2783286350224437
2,SxL,0.5137931019552855
2,T,-0.058520675150392436
2,SxT,0.03756096982034946
3,S,-0.12052224094972323
3,L,0.24449662969648778
3,SxL,0.669425147120409
3,T,-0.1748964514758224
3,SxT,0.0316701329979166
4,S,-0.056075099562743744
4,L,0.20610927674698232
4,SxL,0.5769096311490228
4,T,-0.20057104696879
4,SxT,0.02789419257880646
5,S,-0.21145523390260793
5,L,0.20267304637038497
5,SxL,0.642940085855313
5,T,-0.2016167719031485
5,SxT,0.10854213209513615
6,S,-0.0041977728633448026
6,L,0.32131784069319735
6,SxL,0.539603818153519
6,T,0.00850853569578847
6,SxT,-0.008487737476219915
7,S,-0.035086739373349184
7,L,0.23971849646806553
7,SxL,0.5574941078201758
7,T,-0.14563201681212928
7,SxT,-0.019077403050577865
8,S,-0.14336437530957893
8,L,0.36631456689697683
8,SxL,0.58567238652321
8,T,-0.07320724040816004
8,SxT,0.043714899783517024
9,S,-0.33694147488746373
9,L,0.1383740923733905
9,SxL,0.7249616842784699
9,T,-0.20068119658800956
9,SxT,0.2026074884196984
10,S,-0.10958920243399456
10,L,0.38826987234471155
10,SxL,0.6173792520002566
10,T,-0.047621514290546424
10,SxT,-0.008592571335829633
11,S,-0.31955031389496724
11,L,0.21312360451842782
11,SxL,0.6927841876425364
11,T,-0.1649930373572208
11,SxT,0.14770622115492166
12,S,-0.3609995663588231
12,L,0.20268583240937277
12,SxL,0.7966747644623716
12,T,-0.22291924560560453
12,SxT,0.17789105365086566
13,S,-0.11456729825888307
13,L,0.30083947496560015
13,SxL,0.6019308057683185
13,T,-0.1351796430678138
13,SxT,0.06616565313588586
14,S,-0.17526170222455215
14,L,0.23367765594765755
14,SxL,0.5545695439987872
14,T,-0.1033773532153167
14,SxT,0.11657621617674567
