predictor,column,n,spearman_raw,p_raw,spearman_route_centered,p_route_centered
Betti-1 birth area,beta1_birth_area_delta,240,0.9148969600166668,9.777755036579995e-96,0.8089185576138472,7.983721144204222e-57
loop-force persistence area,loop_force_persistence_area_delta,240,0.7029410232816541,4.4205407516683395e-37,0.6558516640913904,6.76565070982284e-31
early Betti-1 density,beta1_birth_density_5pct_delta,240,0.33314988107432414,1.250426838764471e-07,0.1861282313929061,0.0038065722828795525
early loop-force share,loop_force_share_5pct_delta,240,-0.637030156773555,1.0087053071369762e-28,-0.31531450198788163,6.128233129877186e-07
total loop force,total_loop_force_share_delta,240,0.9238276706192814,3.1400697786992896e-101,0.8061650375874579,3.6673969913948575e-56
conduit-loop force,loop_conduit_force_share_delta,240,0.8960094793312382,7.009968752020475e-86,0.6616868348408825,1.3321423639764167e-31
top-5 force tail,top5_force_share_delta,240,-0.7087501519123595,6.270410355298319e-38,-0.37549523429226195,1.8774705476864535e-09
