regime_id,dataset,tag,n,mean_overload_asinh,mean_loop_activation,mean_force_tail,mean_wall_conduit,mean_topological_triplet
G1,new-route extension,a150_mu010_g020,30,0.13761512299105583,0.0004351854916158133,0.0954503928961787,0.008435252774093283,1.261510499760693
G2,new-route extension,a150_mu030_g020,30,0.5019740330160837,0.05341747583899293,0.09501959707730961,-0.08610187796143202,1.5063779536328958
G3,new-route extension,a050_mu060_g020,30,0.17430178824222417,0.002000481084443657,0.13551980446813386,0.0010074316963423276,1.055030946593289
R1,five-route basis,a050_mu010_g002,30,-0.1610424763346309,-0.049821956481719575,0.1615804158572491,0.01726911868115783,1.2118537791471633
R3,five-route basis,a100_mu030_g002,30,0.22782256526138145,0.04637633219426918,0.1171195368416893,-0.013825953808261657,1.5586882434259457
R5,five-route basis,a150_mu030_g002,30,0.6942520835925308,0.0800190051933482,0.07473126952644774,-0.08149916790710635,1.384006101677888
R6,five-route basis,a150_mu060_g020,30,1.075593602877301,0.07956762897549949,0.07209903262516597,-0.07875199154415298,1.493411116194387
R6c,five-route basis,a150_mu060_g000,30,1.718526740762947,0.12464577540098215,0.04001406595950565,-0.07444267095151957,1.3873397658511715
