regime_id,series,n_pairs,raw_lag1_pearson,route_map_residual_lag1_pearson,absolute_memory_removed
R1,next cold-memory residual,28,-0.28317752093195336,0.21241716276629524,0.07076035816565812
R1,next hot-excitation residual,28,0.7709258461955824,-0.14345447976243017,0.6274713664331522
R3,next cold-memory residual,28,-0.32562518427803133,0.26522609936931885,0.060399084908712486
R3,next hot-excitation residual,28,-0.9530452541261863,0.30736939743001945,0.6456758566961669
R5,next cold-memory residual,28,0.34043010378835153,-0.179633964201813,0.16079613958653854
R5,next hot-excitation residual,28,0.26714463712127146,-0.4576563980846941,-0.19051176096342265
R6,next cold-memory residual,28,0.08779889678708355,-0.0831997026318367,0.004599194155246858
R6,next hot-excitation residual,28,0.6650288369109394,-0.5980279847817858,0.06700085212915363
R6c,next cold-memory residual,28,0.4631439317573969,-0.08279523168328096,0.3803487000741159
R6c,next hot-excitation residual,28,0.8588886668068516,-0.16635309432503328,0.6925355724818183
