predictor,predictor_column,feature,lag_cycles,n,rare_event_count,auc,route_mean_auc,route_min_auc,route_max_auc,circular_shift_p,null_q025,null_q975
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag1,1,145,26,0.7679379444085326,0.7621014492753624,0.15217391304347827,1.0,0.009330223258913695,0.3054298642533937,0.7058823529411765
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag2,2,140,23,0.9082125603864735,0.9301795125164689,0.8260869565217391,0.9895833333333334,0.0003332222592469177,0.29207543664065405,0.7127461910070606
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag3,3,135,20,0.6395652173913043,0.6966089466089466,0.126984126984127,1.0,0.18927024325224925,0.304304347826087,0.7022065217391306
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag4,4,130,18,0.7375992063492064,0.8217287784679088,0.6285714285714286,1.0,0.02299233588803732,0.2767733134920635,0.6939484126984127
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag5,5,125,15,0.5,0.581939393939394,0.19999999999999998,1.0,1.0,0.26846969696969697,0.6788030303030304
lagged Psi,dimensionless_loop_number,dimensionless_loop_number_z_lag6,6,120,13,0.6908698777857656,0.7738402329935512,0.5652173913043479,0.9090909090909091,0.13495501499500168,0.246549245147376,0.6808411214953273
lagged loop,loop_activation,loop_activation_z_lag1,1,145,26,0.7679379444085326,0.7621014492753624,0.15217391304347827,1.0,0.006664445184938354,0.306060116354234,0.7104234001292826
lagged loop,loop_activation,loop_activation_z_lag2,2,140,23,0.9082125603864735,0.9301795125164689,0.8260869565217391,0.9895833333333334,0.0003332222592469177,0.2902173913043478,0.7123931623931625
lagged loop,loop_activation,loop_activation_z_lag3,3,135,20,0.6395652173913043,0.6966089466089466,0.126984126984127,1.0,0.19726757747417528,0.29476086956521735,0.6969565217391304
lagged loop,loop_activation,loop_activation_z_lag4,4,130,18,0.7375992063492064,0.8217287784679088,0.6285714285714286,1.0,0.02732422525824725,0.2703373015873016,0.6999007936507936
lagged loop,loop_activation,loop_activation_z_lag5,5,125,15,0.5,0.581939393939394,0.19999999999999998,1.0,1.0,0.2727272727272727,0.6830454545454546
lagged loop,loop_activation,loop_activation_z_lag6,6,120,13,0.6908698777857656,0.7738402329935512,0.5652173913043479,0.9090909090909091,0.14228590469843386,0.24658519051042418,0.6865564342199857
lagged top-5% tail,top5_activation,top5_activation_z_lag1,1,145,26,0.36716224951519066,0.3595652173913043,0.0,0.75,0.19026991002999,0.31153846153846154,0.6910391079508728
lagged top-5% tail,top5_activation,top5_activation_z_lag2,2,140,23,0.24228911185432925,0.23303689064558633,0.0,0.782608695652174,0.010996334555148283,0.29243775548123374,0.7183296172426609
lagged top-5% tail,top5_activation,top5_activation_z_lag3,3,135,20,0.43347826086956526,0.3594083694083694,0.0,0.7454545454545454,0.5454848383872043,0.3099782608695652,0.6934891304347827
lagged top-5% tail,top5_activation,top5_activation_z_lag4,4,130,18,0.35912698412698413,0.30371118012422355,0.0,0.7904761904761906,0.2559146951016328,0.2971230158730159,0.7291790674603175
lagged top-5% tail,top5_activation,top5_activation_z_lag5,5,125,15,0.5466666666666666,0.47539393939393937,0.0,0.77,0.6654448517160947,0.3060606060606061,0.7055000000000001
lagged top-5% tail,top5_activation,top5_activation_z_lag6,6,120,13,0.4543493889288282,0.4132697108383607,0.06818181818181818,0.8105263157894737,0.7204265244918361,0.28826383896477353,0.7447879223580158
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag1,1,145,26,0.6680672268907564,0.6785507246376812,0.45,0.8916666666666666,0.04131956014661779,0.3409825468648998,0.6683904330963154
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag2,2,140,23,0.5421776291341509,0.5838768115942028,0.16666666666666666,0.8541666666666666,0.6587804065311563,0.3266350798959495,0.6696488294314382
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag3,3,135,20,0.5830434782608696,0.6262265512265512,0.4545454545454546,0.7916666666666666,0.4215261579473509,0.3104239130434782,0.6717500000000001
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag4,4,130,18,0.513888888888889,0.55444099378882,0.3833333333333333,0.7291666666666667,0.8890369876707764,0.2931547619047619,0.6542906746031747
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag5,5,125,15,0.4993939393939394,0.5112424242424243,0.16666666666666663,0.9545454545454545,0.9966677774075309,0.2854393939393939,0.6515151515151515
lagged cold loop,force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_z_lag6,6,120,13,0.3673616103522646,0.45343509465363013,0.26086956521739135,0.9318181818181818,0.2522492502499167,0.25447519769949684,0.6499101365923797
