feature,mean_incremental_r2,min_incremental_r2,max_incremental_r2,fraction_of_full_r2,full_model_r2
S,0.18269507437425336,3.440491737705109e-05,0.8189363879402219,0.19317725222460835,0.9457380321459004
L,0.25103850463940325,0.007172898043632303,0.8551372232919227,0.26544190474162427,0.9457380321459004
SxL,0.2901019080774834,0.025786362836733856,0.9051913782476575,0.306746581206252,0.9457380321459004
T,0.20623984205964277,0.0009006247075711293,0.7696408116962479,0.21807290713653552,0.9457380321459004
SxT,0.015662702995117586,1.3170220510838604e-06,0.17391023219464252,0.016561354690979878,0.9457380321459004
