predictor_label,predictor,target,n,spearman_raw,p_raw,spearman_within_route,p_within_route
amplitude A,A,Omega,87,0.7854669388350222,2.1170690893189144e-19,0.8312495443610118,2.1812084956844578e-23
loop activation L+,L_plus,Omega,87,0.9191922891566322,3.723190909748168e-36,0.9090430600637708,4.58688153487525e-34
buffer efficiency eta,eta,Omega,87,0.13014872056572135,0.22955481725939428,-0.6158234307793248,2.1775770194181744e-10
hazard Hb,log_H_b,Omega,87,0.6173726033389224,1.9056855658912063e-10,0.8002843187285849,1.4107921977644204e-20
quality Qb,log_Q_b,Omega,87,-0.6173726033389224,1.9056855658912063e-10,-0.8002843187285849,1.4107921977644204e-20
irregularity Ib,I_b,Omega,87,0.33100041925048546,0.00173924858638447,0.21830575198658594,0.04222048522340694
memory-cost efficiency Em,E_m,Omega,87,-0.28759994535850725,0.006911588830422599,-0.6852354065752463,2.466700010906186e-13
vital index Vb,breathing_vital_index,Omega,87,0.6581431799956258,4.3017056864518444e-12,0.7748414376321351,1.2987293148954533e-18
