regime_id,segment,response_mode,n,amplitude,imprint_efficiency,positive_loop_activation,dissipation_density,hazard_number,quality_number,overload_asinh,hot_overload
R1,early,buffered,10,2.1714422122484756,0.11782468429219886,0.0,0.017389837021585718,0.0,117824.68429219886,-0.2617836605538306,-0.00055014776632263
R1,late,buffered,9,1.9643080036355538,0.027537132962404454,0.0,0.0021011685385477646,0.0,27537.132962404456,-0.2035488929447296,-0.0004231909975611333
R1,middle,buffered,10,2.023691531265089,0.023700906720951986,0.0,0.004362439356129561,0.0,23700.906720951985,-0.2335409827262272,-0.00048676987432287003
R3,early,buffered,4,2.2001029377262467,0.39862246726463235,0.004037627861114792,0.07972003732261664,0.027855694685118254,280125.1054396665,-0.05499724031405448,-9.969403539567154e-05
R3,early,lossy,2,2.2187532062080955,0.06560333080749735,0.028464060702809605,0.002635487873708607,0.4126913007631656,2.4642480952639803,0.11850620861272089,0.00021572838114973492
R3,early,overload-prone,4,2.916243711755794,0.08963874156817192,0.09093744878027346,0.028733382596174424,1.2239898618719205,0.9904548378193545,0.7754196933363343,0.00154998957276085
R3,late,lossy,4,2.0485025617852854,0.14225462816063417,0.022067332678412644,0.03153089222998197,0.16055380449893258,6.632926563375098,0.14877637998538354,0.000270668874933925
R3,late,overload-prone,5,2.588024102035482,0.11277923679375104,0.08153824965169637,0.03518674931150849,0.7326428434214789,1.3863974730990016,0.6101186595437887,0.00117679307073546
R3,middle,buffered,1,2.05295247047658,0.16785599442660848,0.015175597462192332,0.04036293711738444,0.0904078946130988,11.060186240345923,-0.003068594358456361,-5.558816005920512e-06
R3,middle,lossy,4,2.0119938833511757,0.1574891823181187,0.020721378204291294,0.024297486174200054,0.13232180256999754,7.6150384468833945,0.016844361195886233,3.0517379610932836e-05
R3,middle,overload-prone,5,2.7269625054382733,0.11685607667221361,0.08736346705934372,0.032402122702664814,0.7541960640836102,1.337504690038307,0.7753299651742367,0.0015511335677157799
R6,early,lossy,1,4.1257288372103735,0.23337648101707306,0.09457202318181648,0.014411401599663759,0.40523199911862073,2.4676855319344835,1.8197829605951816,0.0071836852381919
R6,early,overload-prone,9,5.71286005728506,0.021427814876644614,0.12110607636735593,0.0018087822377204107,12.394795853141996,0.1645242830603985,1.9614567708259965,0.011272392606949967
R6,late,lossy,9,2.2147804586205364,0.2049710381831765,0.04817153007983804,0.05680530059601786,0.24294755782930372,4.8066147323498,0.6642366783804148,0.0017733716342362333
R6,middle,lossy,3,2.407207417351987,0.15428801610067946,0.060475921332349546,0.049959672962462225,0.39579095895200345,2.724946386823392,0.834016243947778,0.002236053382994
R6,middle,overload-prone,7,3.171046643903451,0.04814297357266032,0.07473768823698324,0.015742406496842363,6.652705072158974,0.7976868230285679,1.1827950644035818,0.0036242591684782855
