run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,1,0.0018742449816674827,0.003468667964434377,0.0015944229827668942,0.1537968848773549,0.2726864430032141,0.11888955812585919,0.0014986886474334957,0.0016474464579901153,0.00014875781055661967,0.6393324181778773,0.5479745769201317,-0.0913578412577456,0.5652004030026888,0.5017657880794864,-0.06343461492320246,0.008669893793801026,0.008653036220231258,-1.68575735697684e-05
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,0.0012362475267493475,0.0024080337057280003,0.0011717861789786528,0.2087450805389045,0.41367574941571894,0.20493066887681444,0.00182370820668693,0.0034214027751378064,0.0015976945684508764,0.4968421052631579,0.5041291753975101,0.007287070134352203,0.48915967104084657,0.48613199312203476,-0.003027677918811811,0.11842105263157894,0.14347343769259213,0.02505238506101319
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,0.00127889406947513,0.0020836508873062327,0.0008047568178311028,0.1904236344645008,0.22537174261901863,0.03494810815451782,0.001171875,0.0024547803617571058,0.0012829053617571058,0.5033094318808604,0.6586829089576846,0.15537347707682414,0.49213592497424274,0.549398874342601,0.057262949368358296,0.07170435741864313,0.002198204799413812,-0.06950615261922932
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,0.0013033473590852757,0.001845292698666257,0.0005419453395809812,0.20964481881166416,0.38793501481768805,0.1782901960060239,0.0018281535648994515,0.0015250544662309367,-0.0003030990986685148,0.4997455470737914,0.5000786039930829,0.00033305691929153003,0.4892380603935453,0.48600177704239267,-0.0032362833511526135,0.19338422391857507,0.2548341455745952,0.061449921656020146
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,0.001366488356669144,0.0023930399604557857,0.0010265516037866417,0.16863088348269004,0.2474914032536054,0.07886051977091538,0.0013557483731019523,0.0008537279453614115,-0.0005020204277405407,0.5361792310021193,0.6149832932762764,0.07880406227415715,0.5019349851588436,0.518710474386625,0.01677548922778138,0.023766273085074174,0.1316607069582039,0.10789443387312972
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,0.001488148387322111,0.0017556007202657216,0.00026745233294361067,0.20896718316073418,0.37540488675712036,0.16643770359638618,0.0017472335468841002,0.0008882966910948257,-0.0008589368557892745,0.49657198824681686,0.4997592681752528,0.0031872799284359266,0.4887548027147747,0.48666738101958523,-0.0020874216951894953,0.07786483839373164,0.10287273310865029,0.025007894714918655
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,0.001328205690530415,0.0023331469484865626,0.0010049412579561476,0.17815520081644032,0.24858212703013857,0.07042692621369825,0.0016797312430011197,0.001285530638480217,-0.00039420060452090267,0.5242686170212766,0.617189774646247,0.09292115762497044,0.4981159392306761,0.5204993003274564,0.022383361096780297,0.008311170212765957,0.08554125662376987,0.0772300864110039
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,0.0015464408378992516,0.0010656312392017214,-0.00048080959869753015,0.2105707298506288,0.3103882467817497,0.0998175169311209,0.0018656716417910447,0.0006922011998154131,-0.0011734704419756317,0.4971751412429379,0.4993344425956739,0.0021593013527360094,0.48888129265813934,0.48655735036435366,-0.0023239422937856857,0.29224447868515663,0.02329450915141431,-0.26894996953374234
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,0.0015153410975677394,0.0024105983221987576,0.0008952572246310182,0.17621491543096107,0.2644345782400689,0.08821966280910781,0.0017934921854983346,0.0010942629357511334,-0.0006992292497472012,0.5482044198895027,0.5859186853661992,0.03771426547669643,0.505264307186809,0.5050175929087619,-0.0002467142780471221,0.0006906077348066298,0.07189403598243377,0.07120342824762714
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,0.0018342489519718248,0.0012557643070702086,-0.0005784846449016163,0.22317331397326992,0.3062605437868466,0.08308722981357666,0.0011968880909634949,0.0006665185514330149,-0.00053036953953048,0.49633967789165445,0.5001580777742649,0.003818399882610457,0.48869315483435155,0.4869188762897773,-0.001774278544574237,0.1264031234748658,0.09911476446411635,-0.02728835901074944
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,11,0.0015293977560854569,0.0024396090189208715,0.0009102112628354146,0.17732559472154658,0.26371109855102676,0.08638550382948018,0.0012883277505797476,0.00106544901065449,-0.0002228787399252575,0.537895192724123,0.5923806959682305,0.0544855032441075,0.5035657560946966,0.5085291701407353,0.004963414046038728,0.0030316154179298397,0.07201992326849296,0.06898830785056312
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,12,0.0015674078894281304,0.0011982678411197,-0.0003691400483084304,0.23353160480312696,0.2988594743471928,0.06532786954406583,0.0017814726840855108,0.0008661758336942399,-0.0009152968503912709,0.4961202715809893,0.4999240467871791,0.0038037752061897967,0.48847886755240005,0.4874199899602199,-0.0010588775921801519,0.025703200775945685,0.027950782318092057,0.0022475815421463714
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,13,0.00142801324638983,0.0024647966741544397,0.0010367834277646096,0.17461113122496852,0.2674689962320258,0.09285786500705728,0.0012906556530717604,0.0010954616588419405,-0.00019519399422981997,0.535771295893194,0.5810985228739424,0.045327226980748314,0.5020547462786594,0.5048578619221648,0.0028031156435053273,0.005079088666376433,0.15473971031120035,0.1496606216448239
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,14,0.0014868542182282494,0.0012427826329653882,-0.00024407158526286118,0.20281505824405585,0.2908918306102468,0.08807677236619096,0.0011883541295306002,0.0006541648495420846,-0.0005341892799885156,0.4990356798457088,0.4996939087848179,0.0006582289391091067,0.48964353930946175,0.4868041255456992,-0.002839413763762566,0.289778206364513,0.1179981634527089,-0.1717800429118041
