N,contacts,Z,components,giant_fraction,beta1_loops,loop_density,loop_redundancy,degree_mean,degree_var,degree_susceptibility,degree_entropy,rattler_fraction_Z0,low_coord_fraction_Zle2,mean_core,max_core,kcore4_fraction,kcore5_fraction,triangles,triangle_density,transitivity,boundary_edge_fraction,vertical_spanning_components,bottom_side_spanning_components,largest_component_zspan_norm,height_m,fabric_Qxx,fabric_Qyy,fabric_Qzz,fabric_anisotropy,fabric_vertical_bias,mean_abs_nz,orientation_entropy,family,run,cycle,phase,force_proxy_gini,force_proxy_q99_q50,net_force_p99_N,height_m_micro
10111.0,15582.0,3.0821877163485314,1671.0,0.7799426367322718,7142.0,0.706359410542973,0.4583493774868438,3.0821877163485314,4.165433884651803,1.351453664732203,0.8518635042684906,0.13401246167540304,0.40955395114232024,1.9657798437345466,3.0,0.0,0.0,1269.0,0.1255068737019088,0.07115488851092462,0.12578616352201258,1.0,1.0,0.9914216509177388,0.012449947999999999,0.3324842819479057,0.32575535260920735,0.34176036544288824,0.018855619774388377,0.012640548164331689,0.4956093130803332,0.9377934376537321,long,R1_low_expansion_low_friction,1,cold,0.4614889171013114,5.1288849569326525,0.0012701194663108,0.0134506229999999
10111.0,14451.0,2.858470972208486,1115.0,0.8672732667391949,5455.0,0.5395114232024528,0.37748252716075015,2.858470972208486,3.0844102424320385,1.0790420026721452,0.8433532024081944,0.0945504895658194,0.4416971615072693,1.8095143902680249,3.0,0.0,0.0,817.0,0.08080308574819503,0.05773851590106007,0.10123866860424884,1.0,1.0,1.0,0.01244829,0.34397348701356295,0.3410909633647399,0.31493554962169723,0.031261775383433,-0.027596675567454154,0.4724171652588525,0.9254345532627969,long,R1_low_expansion_low_friction,1,hot,0.5854417256265685,11.964982952361323,0.0017973213877169,0.013454698
10111.0,19496.0,3.8563940263079814,1168.0,0.8586687765799624,10553.0,1.0437147660963306,0.5412905211325401,3.8563940263079814,4.686527952348846,1.2152616979431468,0.8768006148778033,0.09771535950944515,0.2753436850954406,2.3055088517456235,3.0,0.0,0.0,2396.0,0.23696963702897833,0.09055063554251017,0.11033032416906031,1.0,1.0,0.9758215407711078,0.012432554,0.3199611123380884,0.3180290000769698,0.3620098875849435,0.04433129983142392,0.04301483137741441,0.5172566896760679,0.94809461266456,long,R1_low_expansion_low_friction,2,cold,0.4164479266583276,4.127421038110549,0.0008124819476769,0.0134336229999999
10111.0,23288.0,4.606468202947285,352.0,0.9615270497477995,13529.0,1.3380476708535258,0.580942974922707,4.606468202947285,3.56454722376889,0.7738134871935599,0.8387071807662125,0.03164869943625754,0.14113341904856097,2.668084264662249,3.0,0.0,0.0,3468.0,0.3429927801404411,0.10199200062740177,0.09687392648574374,1.0,1.0,1.0,0.012429578,0.331466666415162,0.33231360083463585,0.33621973275020084,0.006736099856234301,0.004329599125301897,0.49252301298261186,0.9376086170261863,long,R1_low_expansion_low_friction,2,hot,0.5548417272225904,9.936499856701989,0.00075846484251,0.013436398
10111.0,17683.0,3.497774700820888,1366.0,0.8153496192265849,8938.0,0.8839877361289684,0.5054572187977153,3.497774700820888,4.653713770227324,1.3304784236489418,0.8784225168897157,0.10750667589753733,0.3458609435268519,2.1228365146869748,3.0,0.0,0.0,1895.0,0.18741964197408761,0.08397961444715267,0.12017191653000056,1.0,1.0,0.9774157096130628,0.01241571,0.3175175063031158,0.3182927296017109,0.3641897640951756,0.04815979039634427,0.04628464614276223,0.5188544180531603,0.9472886567200843,long,R1_low_expansion_low_friction,3,cold,0.4209736669615982,4.07552018522009,0.0007279685760761,0.013416823
10111.0,24542.0,4.854514884778953,239.0,0.974681040450994,14670.0,1.4508950647809316,0.5977507945562709,4.854514884778953,3.4041134799238293,0.7012262936091158,0.8290257171911266,0.022055187419641974,0.11393531797052715,2.745227969538127,3.0,0.0,0.0,3931.0,0.3887844921372762,0.10547640129866645,0.09057941488061283,1.0,1.0,0.9952156597738069,0.012415505,0.3314658569962205,0.33232132176415824,0.33621282123962426,0.004943493341597438,0.004319231859434891,0.49295758122421357,0.9377294126197655,long,R1_low_expansion_low_friction,3,hot,0.5906294448692899,12.551919732011322,0.0004856230267704,0.013422498
10111.0,17837.0,3.528236574028286,1424.0,0.8019978241519138,9150.0,0.9049549995054891,0.5129786399058137,3.528236574028286,4.925891450708627,1.3961341161101903,0.8874050699876694,0.1128473939274058,0.3508060528137672,2.115814459499555,3.0,0.0,0.0,2101.0,0.2077934922361784,0.09004414348776411,0.11846162471267589,1.0,1.0,0.958344245009526,0.012322427,0.3175275339641731,0.3185581153903113,0.3639143506455172,0.04763369384285321,0.045871525968274984,0.5185543202710615,0.9465865321931619,long,R1_low_expansion_low_friction,5,cold,0.4139673085262816,3.988884453968974,0.0006999358487903,0.013323623
10111.0,25436.0,5.031351992879043,159.0,0.9831866284244882,15484.0,1.5314014439719117,0.6087435131309954,5.031351992879043,3.2397449726295466,0.6439114133169002,0.8219681077499094,0.014637523489269113,0.09563841360894076,2.79873405202255,3.0,0.0,0.0,4440.0,0.4391257046780734,0.11200807265388496,0.09077685170624313,1.0,1.0,1.0,0.012344942999999999,0.33383620586623924,0.3339213640566328,0.332242430077131,0.003538015413820206,-0.0016363548843050246,0.4897538736760333,0.9349753364045005,long,R1_low_expansion_low_friction,5,hot,0.5836374951876209,12.067097100205512,0.0002788658862389,0.013351798
10111.0,17923.0,3.5452477499752746,1450.0,0.7875581050341213,9262.0,0.9160320443081792,0.5167661663783965,3.5452477499752746,5.058357151061845,1.4267993403555852,0.8896432442451327,0.1128473939274058,0.35634457521511226,2.1035505884680052,3.0,0.0,0.0,2301.0,0.22757392938383939,0.0969645039401048,0.12112927523294091,1.0,1.0,0.977473515097996,0.012283319,0.31810413818678,0.3176700854588454,0.3642257763543718,0.04778804208797244,0.046338664531559104,0.517767691556257,0.9470253809106405,long,R1_low_expansion_low_friction,10,cold,0.4135549045610853,3.961150005324601,0.0007103891094895,0.013284423
10111.0,26074.0,5.15755118188112,163.0,0.9823954109385817,16126.0,1.5948966472159034,0.6184705070184858,5.15755118188112,3.315994557142061,0.6429397286044216,0.8265829443584589,0.014538621303530808,0.08812184749282959,3.0170111759469886,4.0,0.2035406982494313,0.0,5003.0,0.494807635248739,0.11991083983126678,0.09147043031372248,1.0,1.0,0.9923969995780744,0.012232013,0.33589556949022087,0.33609688632581264,0.32800754418396905,0.008881468486511779,-0.007988683724047707,0.48517818170642535,0.9330888479960098,long,R1_low_expansion_low_friction,10,hot,0.6008724338279066,14.042604926645769,0.0002369195349165,0.013238998
10111.0,18113.0,3.5828305805558305,1406.0,0.792008703392345,9408.0,0.9304717634259717,0.5194059515265279,3.5828305805558305,5.083214260585946,1.4187704794563156,0.8611896725345258,0.10800118682622886,0.35179507467115023,2.1240233409158344,3.0,0.0,0.0,2436.0,0.24092572445851054,0.10082642347649728,0.12140451609341357,1.0,1.0,0.959348445231548,0.012213555000000001,0.32002536855561137,0.31823229599806585,0.36174233544632156,0.0452728740513732,0.042613503169482925,0.5154636352888481,0.9442408607591356,long,R1_low_expansion_low_friction,20,cold,0.4131135623357995,4.033213557732923,0.0007010008805433,0.013214723
10111.0,26395.0,5.221046385125112,127.0,0.9866482049253289,16411.0,1.6230837701513203,0.6217465429058534,5.221046385125112,3.2379548342642055,0.6201735428915586,0.8208981488056277,0.011670457917119969,0.08396795569182079,3.1892987835031152,4.0,0.3598061517159529,0.0,5139.0,0.5082583325091484,0.12064890753145933,0.09160825913998863,1.0,1.0,1.0,0.012168506999999999,0.33794425967459435,0.3383929911996433,0.3236627491257665,0.016359914108652285,-0.014505876311352306,0.48051395018390064,0.9294220593366173,long,R1_low_expansion_low_friction,20,hot,0.6157490800670147,15.134320812338656,0.0002217826431618,0.013175398
10111.0,18059.0,3.5721491444960933,1396.0,0.7975472257936901,9344.0,0.9241420235387202,0.5174151392657401,3.5721491444960933,5.094166472069044,1.426078885848887,0.8938727970291371,0.10750667589753733,0.3552566511719909,2.122935416872713,3.0,0.0,0.0,2446.0,0.24191474631589358,0.10162871863054679,0.12293039481698875,1.0,1.0,0.948345575735192,0.012308723,0.32048659500025434,0.3192538266704901,0.3602595783292577,0.04286790995076206,0.04038936749388544,0.5129680259781081,0.9421890019395708,long,R1_low_expansion_low_friction,30,cold,0.4133670129904632,4.002885240632192,0.0006758019698461,0.013309923
10111.0,26461.0,5.234101473642568,143.0,0.9853624765107308,16493.0,1.6311937493818613,0.6232946600657572,5.234101473642568,3.2511998627126935,0.6211572089469037,0.7929965608074552,0.01354959944614776,0.08268222727722283,3.2090792206507763,4.0,0.38097121946395013,0.0,5263.0,0.5205222035406982,0.12289550496205487,0.09270246778277465,1.0,2.0,1.0,0.01221502,0.3378975920475356,0.33864616144154264,0.3234562465109252,0.015693395512134167,-0.01481563023361393,0.47943144871269294,0.9289249732394848,long,R1_low_expansion_low_friction,30,hot,0.6069306349707065,14.686354182105903,0.000233308595253,0.013221998
10111.0,15448.0,3.0556819305706657,2010.0,0.7399861536939967,7347.0,0.7266343586193255,0.47559554634904194,3.0556819305706657,4.585070821193622,1.5005065727954658,0.8587275566295347,0.16012263871031548,0.4189496587874592,1.9453070912867174,3.0,0.0,0.0,1334.0,0.13193551577489862,0.07284840541721276,0.12131020196789229,1.0,1.0,0.9888053681286489,0.012389867,0.3148989005150101,0.3185215843374748,0.3665795151475116,0.051905772448191445,0.04986927272126912,0.523018448606775,0.9503363957337477,long,R3_intermediate,1,cold,0.441570043238511,4.5418551237738205,0.00102625502152,0.013392646
10111.0,20156.0,3.986944911482544,333.0,0.9640985065769954,10378.0,1.0264068835921274,0.5148839055368128,3.986944911482544,2.997752618763297,0.7518921593648465,0.8477744514916012,0.030264068835921275,0.19206804470378797,2.5271486499851648,3.0,0.0,0.0,1895.0,0.18741964197408761,0.07543789808917198,0.08468942250446518,1.0,1.0,1.0,0.012441134999999999,0.3458613165570566,0.34259923914634255,0.311539444296599,0.034477035628936836,-0.03269083355510055,0.47207042201815974,0.9229705937361181,long,R3_intermediate,1,hot,0.6128524291896598,14.64125373563364,0.0017284897376456,0.013453896
