predictor,controls,n,partial_spearman,p_value,partial_slope,partial_intercept,partial_r2
loop_number,route_fixed_effects+cycle,150,0.8953589048402152,7.421667961055719e-54,21.72183204878632,-2.938997629283522e-17,0.8270350626916726
tail_number,route_fixed_effects+cycle,150,-0.5546219831992534,1.7862876756852662e-13,-14.584135060990224,8.154328467944146e-17,0.4121482938678225
loop_activation,route_fixed_effects+cycle,150,0.8625147784345972,1.2521120341025879e-45,11.64306851852625,-4.554027186223297e-16,0.7614651887206876
top5_activation,route_fixed_effects+cycle,150,-0.41794035290457354,1.0291824531678779e-07,-8.719551720689271,-6.608757215983537e-16,0.32832433989066767
