target,route_state_r2,history_delta_r2,tail_delta_r2
next overload,-0.07817585440843389,0.6700232441893145,0.37400606375913137
next cold memory,-0.8596592895414161,0.3040730143888011,0.018716059569263033
next hot excitation,-0.07472129442834774,0.6761503316084596,0.14725664100864444
