regime_id,S,loop_gain,mean_loop_activation,mean_overload,spectral_radius,peak_normalized_gain,storage_anisotropy,rare_loop_auc,lag2_loop_auc,S_scaled,loop_gain_scaled,mean_loop_activation_scaled,mean_overload_scaled,spectral_radius_scaled,peak_normalized_gain_scaled,storage_anisotropy_scaled,rare_loop_auc_scaled,lag2_loop_auc_scaled
R1,0.0490196078431372,-1.3708608102244972,-0.0498219564817195,-0.2331194325174779,0.6160621175234969,1.027961236604271,1.610873633252778,0.7222222222222222,0.8260869565217391,0.0,0.0,0.0,0.0,0.11967436165272274,0.0,0.0,0.0,0.0
R3,0.2941176470588235,7.170264576406267,0.0463763321942691,0.3593259026498294,0.9369856766109874,1.5515415637432834,18.05192483115551,0.9722222222222222,0.9393939393939392,0.28801843317972353,0.4320229910525306,0.5513815514072526,0.28395843904633494,1.0,1.0,1.0,0.8999999999999999,0.6930244270964481
R5,0.4411764705882352,13.825248348736825,0.0800190051933481,0.8420607248183974,0.572434713753661,1.2365084338216306,1.7215577037493228,0.9305555555555556,0.9166666666666666,0.4608294930875576,0.7686420973858297,0.7442118968014237,0.515332742192103,0.0,0.39830984169500616,0.006732177229073042,0.7500000000000001,0.5540166204986146
R6,0.75,16.589858547637814,0.0795676289754994,1.240133437748314,0.5972091714327056,1.323254153468736,1.8355581412137203,0.923611111111111,0.9791666666666666,0.8237327188940093,0.9084802467113349,0.7416247351929256,0.7061285835647038,0.06795883210639209,0.5639878000726788,0.013666067045007665,0.7249999999999998,0.9362880886426589
R6c,0.8999999999999999,18.399210606165077,0.1246457754009821,1.8532610151178008,0.7786655690641209,1.4572498108167729,2.9007660013543037,1.0,0.9895833333333334,1.0,1.0,1.0,1.0,0.5657120027719473,0.8199096718516015,0.07845558976582157,1.0,1.0
