mode,y_inf,amplitude,tau_cycles,half_life_cycles,r2,start_value,end_value,fold_change_end_over_start,quantity,family
decay,0.00022660013627648348,0.001170390769801153,0.23240629851272465,0.1610917705584681,0.9999652573083425,0.0013969919391545,0.0002254728927852,0.16139885024795683,rms_displacement_m,activity
decay,3.161349264121887e-05,0.0008482924157846168,0.2923250862499048,0.20262430934106432,0.9993738431690521,0.0008799255427699,3.0294637999830228e-05,0.03442863802369726,irreversible_work_proxy_J,activity
decay,0.1783443770355965,7.984768599757045,0.2931054153841482,0.20316519228037394,0.99962866854254,8.163253629220456,0.1534630880988519,0.018799255182949243,nonGaussian_alpha2,activity
decay,0.42594272865449584,0.04372176054612384,4.382357079431536,3.0376184538148854,0.938837230127739,0.477204871692155,0.422831961773468,0.8860596084740665,Porosity,fabric
decay,0.03399609263490588,0.06694918152400216,99.9999999429884,69.3147180164771,0.8066804317923708,0.1010784108146827,0.0875530591727168,0.8661895103716727,phi_voro_std,fabric
rise,0.910043175116144,0.07030286652072847,0.6783385298917295,0.47018843945963046,0.9902881191135307,0.8395235056370985,0.9116541353383458,1.0859185349986225,contact_survival,fabric
rise,6.296824682761953,0.47146112384858857,3.067456439198773,2.1261987823210786,0.9795475232471158,5.794283453664326,6.324596973593116,1.091523572184481,z_mean,fabric
rise,0.4966495534270422,0.09577000238290846,4.89353951883846,3.3919431204415496,0.9440735031500976,0.384673635266654,0.502537884319277,1.3064006426406636,k_eff_W_mK,transport
decay,0.003114435702537421,0.9968761319076965,0.2746971922348518,0.1904055843053208,0.9997393416422669,1.0,0.0012304127987966971,0.0012304127987966971,activity_index,reduced_state
rise,0.9280208979083939,0.7601966241989293,4.915317861679275,3.4070387173789287,0.9041571327961615,0.0,0.9978490536084953,,memory_index,reduced_state
