predictor,predictor_column,lag_cycles,bins,n,target_entropy_bits,route_mi_bits,predictor_mi_bits,joint_route_predictor_mi_bits,predictor_given_route_mi_bits,route_given_predictor_mi_bits,null_median_predictor_given_route_mi_bits,corrected_predictor_given_route_mi_bits,corrected_predictor_given_route_norm,bootstrap_median_corrected_bits,bootstrap_q025_corrected_bits,bootstrap_q975_corrected_bits,shift_p
Psi,psi_z,0,2,150,1.0,0.5112287620450551,0.0032083680183633834,0.6678995516626691,0.15667078961761416,0.6646911836443058,0.06866839311069473,0.08800239650691943,0.08800239650691943,0.07871245708266034,0.004378875191565381,0.1723146689750128,0.011235955056179775
Psi,psi_z,0,3,150,1.584962500721156,0.9498814308883972,0.07118937640608072,1.3702976277863577,0.4204161968979609,1.299108251380277,0.21220123700249185,0.20821495989546904,0.13136901333673917,0.1783613143221399,0.07516522932873344,0.26774059598284355,0.0012484394506866417
Psi,psi_z,0,4,150,1.999871756640849,0.9502805004553825,0.18110461671779127,1.427123898583125,0.4768433981277425,1.246019281865334,0.24652737072981834,0.23031602739792417,0.11516539829772991,0.24568430676543462,0.12119026256294539,0.3904188614901186,0.0012484394506866417
Psi,psi_z,0,5,150,2.321928094887362,1.152162016414139,0.28613416338757425,1.7302643975098462,0.5781023810957072,1.4441302341222717,0.37084424788613235,0.20725813320957487,0.08926121944341651,0.2511783041656524,0.09466576767197624,0.4210788997992168,0.0012484394506866417
Psi,psi_z,2,2,140,1.0,0.488562019744485,0.005306204638694162,0.6393555357451925,0.1507935160007074,0.6340493311064983,0.07268021565269996,0.07811330034800744,0.07811330034800744,0.07060068295453148,-0.008937325850680956,0.15068842845856636,0.019975031210986267
Psi,psi_z,2,3,140,1.5848887166855343,0.9028678083946755,0.06873982553806841,1.2548697718925013,0.3520019634978254,1.1861299463544328,0.24932805567954205,0.10267390781828337,0.06478303917325157,0.09166037738522931,-0.011735908763050454,0.19726399677472756,0.00749063670411985
Psi,psi_z,2,4,140,2.0,1.0546336038460198,0.17098163586205928,1.454000684266548,0.39936708042052815,1.283019048404489,0.2462196164599459,0.15314746396058226,0.07657373198029113,0.1578360379593702,0.04238309880767723,0.2857921150884425,0.0012484394506866417
Psi,psi_z,2,5,140,2.321928094887362,1.284004746798824,0.26801172535789225,1.6916213837195968,0.4076166369207725,1.4236096583617044,0.3385996749232062,0.0690169619975663,0.029723987641794025,0.15191277416141133,0.01740585501856515,0.31494152468399095,0.049937578027465665
Psi,psi_z,4,2,130,1.0,0.49410170989811536,0.004272547915074441,0.6037947391898397,0.10969302929172459,0.5995221912747655,0.08070418597886805,0.028988843312856533,0.028988843312856533,0.03272037003433679,-0.03719817769989161,0.1287519680035149,0.18601747815230962
Psi,psi_z,4,3,130,1.5848773505329043,0.906116204587619,0.07527546199135157,1.2238205680574945,0.3177043634698754,1.1485451060661431,0.24655650882528934,0.07114785464458606,0.044891710150733795,0.085390032204534,-0.04051735904569605,0.20216131925148095,0.05742821473158552
Psi,psi_z,4,4,130,1.9998292601233936,1.0739237533495178,0.1560158376147494,1.3770245299042487,0.3031007765547308,1.221008692289499,0.2349375766871471,0.06816319986758368,0.03408450972628427,0.1356331505596527,0.019803986208019413,0.2694728513412318,0.05368289637952559
Psi,psi_z,4,5,130,2.321928094887362,1.3444440397389388,0.28977311692957647,1.7507487589946205,0.40630471925568123,1.4609756420650437,0.355724390962755,0.05058032829292625,0.021783761695419738,0.11356036361431726,-0.03169826343852149,0.24875382480439023,0.13857677902621723
Psi,psi_z,6,2,120,1.0,0.511766139448272,0.000801645736360268,0.5811951195975362,0.069428980149264,0.5803934738611758,0.0687362053549065,0.0006927747943575036,0.0006927747943575036,0.028301004891728904,-0.03671689236785491,0.12259680698617993,0.48564294631710364
Psi,psi_z,6,3,120,1.584962500721156,0.9543209999682247,0.08190585616367439,1.2938578919539883,0.3395368919857635,1.2119520357903135,0.22389483412254774,0.11564205786321574,0.07296201507013493,0.09805356870694742,-0.028802802808738526,0.23045649495431167,0.004993757802746567
