series,parity,n,mean_pooled_spearman,mean_route_spearman,min_route_spearman,max_route_spearman
loop activation,even,4,0.753006429713922,0.6338857277987713,0.5376623376623377,0.8003663003663004
loop activation,odd,4,-0.3227203628729821,-0.11879120879120877,-0.7873504273504273,0.6338259441707716
overload,even,4,0.7128739222325847,0.6865818038644126,0.5181818181818182,0.9230769230769232
overload,odd,4,-0.24129506408632778,0.20860838672682747,-0.8128078817733991,0.7728516694033934
