regime_id,final_signed_area,final_sign,half_area_cycle,stable_sign_cycle,early_fraction,middle_fraction,late_fraction,mean_overload,loop_gain,S
R1,7.534086022790703,1.0,1,1,0.9623015474142016,0.03703959897140199,0.0006588536143962181,-0.2331194325174779,-1.3708608102244972,0.0490196078431372
R3,-2.7753971612692507,-1.0,1,1,0.9263167034061576,0.052061292429113254,0.02162200416472903,0.3593259026498294,7.170264576406267,0.2941176470588235
R5,-3.984001816177457,-1.0,2,1,1.0867192732917308,-0.008089751926100595,-0.07862952136563066,0.8420607248183974,13.825248348736825,0.4411764705882352
R6,-4.438857495643149,-1.0,3,1,1.0184661421567056,-0.14637184098960027,0.12790569883289474,1.240133437748314,16.589858547637814,0.75
R6c,-5.017848958216661,-1.0,5,1,0.5565182920082786,0.4351724128859004,0.00830929510582075,1.8532610151178008,18.399210606165077,0.8999999999999999
