relationship,predictor,target,spearman,p_value,n
geometric_area_to_overload,absolute_circulation,overload_number_within_route_asinh,0.2261651708392379,0.00623131824753494,145
phase_speed_to_overload,phase_speed,overload_number_within_route_asinh,0.256640686506062,0.0018333709179273621,145
tangential_fraction_to_loop_number,tangential_fraction,dimensionless_loop_number,0.30579436309242636,0.00018373709237217057,145
contraction_to_overload_boundary,radial_contraction,overload_number_within_route,0.08729333963155408,0.29646331442192436,145
