coordinate_label,closed_signed_area,net_displacement,open_signed_area
global robust z,-0.9999999999999999,-0.8999999999999998,-0.7
global z,-0.9999999999999999,0.7999999999999999,-0.3
route rank,-0.3,-0.09999999999999999,-0.39999999999999997
route robust z,-0.8999999999999998,-0.7999999999999999,-0.8999999999999998
route-centred raw,-0.9999999999999999,0.49999999999999994,-0.9999999999999999
route-centred z,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999
