regime_id,early_memory_coordinate,early_hot_excitation_coordinate,late_memory_coordinate,late_hot_excitation_coordinate,delta_memory_coordinate,delta_hot_excitation_coordinate,displacement_norm,displacement_angle_deg,middle_memory_coordinate,middle_hot_excitation_coordinate,middle_projection_fraction
R1,0.06219917401313261,-1.4638476514223482,0.14262353753657195,0.5690542153537615,0.08042436352343935,2.03290186677611,2.034492093420356,87.73448244263267,0.1879689120642201,0.13653052005185556,0.7884518208345542
R3,-0.3550673595378642,-0.08351829276598395,-0.14534076750495112,-0.4771653464025627,0.2097265920329131,-0.39364705363657876,0.4460305440690127,-61.95227920077586,-0.19544447715497076,0.13270888231997596,0.0
R5,1.091518080356778,0.6719856502936357,-0.2911582870528119,-0.34200325960233474,-1.3826763674095899,-1.0139889098959705,1.7146333270950374,-143.74545517032857,-0.30750611350483564,0.32344785131782944,0.778175675360226
R6,-0.017001180511646383,1.7131082774535478,-0.10778515660546865,-0.5990790668682923,-0.09078397609382227,-2.31218734432184,2.3139688946823567,-92.24846323918243,-0.5097988895195984,0.44372236190854164,0.5565081466906625
R6c,-0.015101828401007681,2.1535881930603806,-0.37353620776756513,-0.27211452900837535,-0.3584343793665575,-2.425702722068756,2.45204178189599,-98.40549615724942,-0.34350092447553093,-0.5394800528112158,1.0
