Cycle,Phase,SidePressure_Pa,BottomPressure_Pa,LidPressure_Pa
1,Heating,166.01085752105294,1907.7805029852352,1257.2827045863223
1,Cooling,79.79617928775946,1361.5850694776905,0.0
2,Heating,123.0445309766128,938.986876204533,373.12692635614417
2,Cooling,44.82699248009006,1403.135845042039,0.0
3,Heating,16.49421026035686,204.40243526269597,74.73184152149103
3,Cooling,37.93602793070708,1436.332698060353,0.0
4,Heating,15.47568567427541,201.7460121484333,70.57733462002811
4,Cooling,27.3595779820681,1317.1640463135038,0.0
5,Heating,17.90418607786937,213.7913707452482,46.79492978110304
5,Cooling,19.24262263747003,1302.4417879035482,0.0
6,Heating,22.915950812907873,278.89818691789253,62.6366324649167
6,Cooling,22.865256375859897,1290.3908572562134,0.0
7,Heating,24.332139533933177,279.39555665595924,29.830449676597908
7,Cooling,28.84131027999993,1301.0366487205197,0.0
8,Heating,26.806226947763708,283.9214868243181,34.03757768180746
8,Cooling,27.97437910394299,1267.6347434975407,0.0
9,Heating,27.09570424634939,299.5022375692983,41.22428396238464
9,Cooling,23.09390040017822,1270.94444129536,0.0
10,Heating,28.318758855071817,291.8954020885806,54.845798914394955
10,Cooling,32.449677780743436,1261.1578881553803,0.0
11,Heating,25.256867558420108,294.07766109963103,51.34591144693601
11,Cooling,23.800279099233336,1219.655973524579,0.0
12,Heating,28.789472854069615,301.9524726553793,18.961174108772852
12,Cooling,25.03575934756279,1227.5786716352309,0.0
13,Heating,24.045717979681424,287.9131033349812,12.736116796539552
13,Cooling,24.729001192333268,1240.2086865041008,0.0
14,Heating,25.346898409811196,298.6308457807424,14.850571220244882
14,Cooling,29.789312538212272,1207.9725663778554,0.0
15,Heating,28.09419442089878,305.1408049975187,14.436498870801572
15,Cooling,22.402038160379956,1254.2890633091029,0.0
16,Heating,29.471473403249547,298.0156138971475,23.740344605143218
16,Cooling,20.406336984800657,1258.854757259318,0.0
17,Heating,28.951268863753345,301.7124011159851,13.25646473828321
17,Cooling,26.63406981987155,1250.570697108192,0.0
18,Heating,24.692197175754934,269.364997637892,15.06130937415076
18,Cooling,24.77668965312701,1187.1607284919462,0.0
19,Heating,35.291481430642264,303.4820340025814,21.74349070177667
19,Cooling,30.85779365828478,1143.4869072366807,0.0
20,Heating,31.569075810170222,316.59278774118417,6.115165117244961
20,Cooling,26.514961677238777,1187.7556230425068,0.0
