left_out_route,n_train,loop_overload_spearman,loop_overload_p,top5_overload_spearman,top5_overload_p
R1,120,0.7065143412736995,1.9702034749549e-19,-0.5348426974095424,3.121762148789061e-10
R3,120,0.7497881797347037,6.663004501979554e-23,-0.3999305507326897,6.0251226546860115e-06
R5,120,0.7479894437113688,9.591205688406106e-23,-0.48697131745260086,1.7014732619125075e-08
R6,120,0.7438363775262171,2.1983379848580376e-22,-0.48648517258142926,1.766535441067409e-08
R6c,120,0.7633863462740468,3.824982743144977e-24,-0.40429890964650317,4.658769209632934e-06
