regime_id,cycle,rare_overload,loop_activation_z_lag2,overload_asinh,high_precursor
R1,3,0,-5.046318152513176,-0.3108989268529668,0
R1,4,0,-3.944848298765982,-0.3604737017647273,0
R1,5,0,-2.064624743843908,-0.29487914523062236,0
R1,6,0,-2.630988777266204,-0.3291707193658112,0
R1,7,0,-0.7001586506870843,-0.3263837809456625,0
R1,8,0,-1.4428558389264765,-0.33656140701359283,0
R1,9,0,-2.5503717029975004,-0.30492126714158,0
R1,10,0,-1.4746447726021814,-0.2674615800896942,0
R1,11,0,-0.7585935196179255,-0.2806883735732618,0
R1,12,0,-0.24854033330593392,-0.280781398831636,0
R1,13,0,-0.10157990487809661,-0.24724402856779548,0
R1,14,0,0.13498057599414431,-0.23582792160231114,0
R1,15,0,0.265354736693769,-0.25614989258568666,0
R1,16,0,-0.2115313130524301,-0.225841608599821,0
R1,17,0,-0.5120317833003271,-0.2188352152904842,0
R1,18,0,-0.11638106452524137,-0.20737388572376758,0
R1,19,1,0.3005954449857494,-0.18661822486051824,1
R1,20,0,0.9437702823488343,-0.2015138375104815,1
R1,21,0,0.22799658037783227,-0.19538316649185394,0
R1,22,0,0.11964667974824823,-0.20640370923062543,0
R1,23,0,0.15143851222246077,-0.2249653820194092,0
R1,24,0,0.3934078131734303,-0.23063559531797,1
R1,25,0,-0.434803012812773,-0.21906792565147837,0
R1,26,0,0.5171512096596173,-0.19611837096208584,1
R1,27,1,0.13573001124191375,-0.1907165599936395,0
R1,28,1,0.10157990487809661,-0.1894451335245748,0
R1,29,1,0.7324673632731951,-0.18351187329221547,1
R1,30,1,0.5147467191155511,-0.1925962080266283,1
R3,3,0,-1.9955258178629263,0.7468958400065009,0
R3,4,0,-0.302114012157268,0.18990457189760607,0
R3,5,1,0.8039223599688882,0.780228511074184,1
R3,6,0,0.13186596939544173,-0.02721933125892652,0
R3,7,1,0.9669187519436305,0.7960574760262535,1
R3,8,0,-0.35727069286151647,-0.05192510112773592,0
R3,9,1,0.9099517070585728,0.777609588607892,1
