run,tag,regime_id,cycle,force_h1_birth_force_share_hot_minus_cold,force_share_top5_edges_hot_minus_cold,force_p99_hot_minus_cold,perm
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,-0.1823929862334346,0.10360330376284302,0.0005047695354128,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,-0.16142579074356084,0.11523738301526842,-0.0007046978643402,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,-0.1709036032356353,0.14007908077987039,-0.0006506915212809,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,-0.18879751596605437,0.13096881373921054,-0.0007586136003771,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,-0.18345167452514421,0.1400139704354211,-0.0006161717958863,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,-0.18752887945318408,0.13409267616199347,-0.0006902682863565,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.1984929095223198,0.13761727058508672,-0.0006842172023585,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.19445386378268015,0.13499232908730893,-0.0007063412546121,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,-0.1962318200817208,0.13792313380733282,-0.0006377916929588,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,-0.1983015484577978,0.14866351560024907,-0.0005574539804687,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,11,-0.195968841232054,0.13858860979295892,-0.0005857256187369,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,12,-0.18626326175331676,0.14319452221272364,-0.0005859248128539,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,13,-0.18898440871373295,0.15657923976387336,-0.0005144267201171,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,14,-0.20213710754647285,0.17181907870931706,-0.0004902248256888,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,15,-0.20388257038684304,0.17647321563621263,-0.0005333533463428,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,16,-0.20865338531708644,0.17565760860478322,-0.0004691065593819,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,17,-0.19828912990112108,0.17801218622182413,-0.0004543180424088,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,18,-0.19304264649164904,0.17524197838759445,-0.0004301741639838,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,19,-0.20400708946395552,0.19372740841419378,-0.0003865929499929,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,20,-0.20675493639512493,0.19116252316129165,-0.0004178517037218,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,21,-0.21490938692496692,0.20120759527044713,-0.0004049755315519,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,22,-0.20602535121438476,0.17959385855377877,-0.0004281330759643,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,23,-0.2106336073887321,0.1862354462627033,-0.0004672558476218,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,24,-0.19999462078631614,0.1672893408328221,-0.0004792385359065,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,25,-0.20411581089251934,0.18242376883222777,-0.0004548088661554,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,26,-0.2051270156803085,0.1845695053173561,-0.0004065188596127,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,27,-0.19882462986673127,0.18561044341091154,-0.0003951845444168,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,28,-0.19654600232621655,0.17265160591468703,-0.0003925184707181,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,29,-0.21064121284536325,0.18384366141846678,-0.0003800852461027,0
R1_low_expansion_low_friction,a050_mu010_g002,R1,30,-0.2065921345903975,0.18033940202471682,-0.0003991271788392,0
R3_intermediate,a100_mu030_g002,R3,1,-0.2080471522029201,0.13506250517251947,-0.0001370566583308,0
R3_intermediate,a100_mu030_g002,R3,2,-0.06545234630146979,0.14971895130097834,8.525198784616983e-05,0
R3_intermediate,a100_mu030_g002,R3,3,0.04413382985128378,0.09583128486466969,0.001482872734555,0
R3_intermediate,a100_mu030_g002,R3,4,-0.018359981441992912,0.11535473629547935,0.0003462047744533,0
R3_intermediate,a100_mu030_g002,R3,5,0.06436522813468099,0.07114837644829686,0.0015617603538195,0
R3_intermediate,a100_mu030_g002,R3,6,-0.06661949182845986,0.12784267937876742,-4.9331174960492714e-05,0
R3_intermediate,a100_mu030_g002,R3,7,0.059146082185971616,0.08067605812315246,0.0015998246535858,0
R3_intermediate,a100_mu030_g002,R3,8,-0.0798847143018509,0.12238781563604637,-9.413754634879346e-05,0
R3_intermediate,a100_mu030_g002,R3,9,0.045524425167800364,0.08922200754934359,0.0015555005490831,0
R3_intermediate,a100_mu030_g002,R3,10,-0.08041420765754784,0.13214055581050083,-0.0001182507619426,0
R3_intermediate,a100_mu030_g002,R3,11,0.03940794334871306,0.09881975965219861,0.0015148852824822,0
R3_intermediate,a100_mu030_g002,R3,12,-0.06917024878482667,0.13485208175536242,-5.558816005920512e-06,0
R3_intermediate,a100_mu030_g002,R3,13,0.043887943446299094,0.10654049812010705,0.0017350376541638,0
R3_intermediate,a100_mu030_g002,R3,14,-0.06409007839038802,0.11703091587265599,1.1305949517751185e-05,0
R3_intermediate,a100_mu030_g002,R3,15,0.03718126620538548,0.10357018008201768,0.0015131220186675,0
R3_intermediate,a100_mu030_g002,R3,16,-0.07105230038329882,0.12927221482880585,1.3068696425225085e-05,0
R3_intermediate,a100_mu030_g002,R3,17,0.047325422262511074,0.09205540012899308,0.00140573667121,0
R3_intermediate,a100_mu030_g002,R3,18,-0.06586181207899866,0.14038070629157992,3.671650344981949e-05,0
R3_intermediate,a100_mu030_g002,R3,19,0.04567087649957585,0.09634419571683822,0.0015868862120554,0
R3_intermediate,a100_mu030_g002,R3,20,-0.06912764100741806,0.13726836479652454,6.097836905093559e-05,0
R3_intermediate,a100_mu030_g002,R3,21,0.028025903272063946,0.10028321921913455,0.0011006528938766,0
R3_intermediate,a100_mu030_g002,R3,22,-0.08058618249418434,0.16190333114716926,0.0002307236509462,0
R3_intermediate,a100_mu030_g002,R3,23,0.043369771570770155,0.08333794649130455,0.0010570329123165,0
R3_intermediate,a100_mu030_g002,R3,24,-0.08970957492947568,0.1785471924254418,0.0003703497522132,0
R3_intermediate,a100_mu030_g002,R3,25,0.04275882071267695,0.09283548324419238,0.001392704672408,0
R3_intermediate,a100_mu030_g002,R3,26,-0.07962624050533548,0.15321121048276676,0.000272863127425,0
R3_intermediate,a100_mu030_g002,R3,27,0.04618316800707972,0.07864021947782801,0.0011778491274561,0
R3_intermediate,a100_mu030_g002,R3,28,-0.0701087030539922,0.15117633655803156,0.0002087389691513,0
R3_intermediate,a100_mu030_g002,R3,29,0.04823615616786986,0.08295103425237255,0.0011557257476201,0
R3_intermediate,a100_mu030_g002,R3,30,-0.09365823388529021,0.1551808441276012,0.0001407047594932,0
R6_high_expansion_high_friction,a150_mu060_g020,R6,1,0.33428087039072435,-0.05108941109569207,0.0360013924399387,0
R6_high_expansion_high_friction,a150_mu060_g020,R6,2,0.25318411727576096,-0.003619657827159284,0.0223863189467425,0
