regime_id,cycle,next_cycle,memory_coordinate,hot_excitation_coordinate,next_memory_coordinate,next_hot_excitation_coordinate,delta_memory_coordinate,delta_hot_excitation_coordinate,step_length,signed_area_increment
R1,1,2,-5.1858429912322945,-3.1812847773907964,0.8863418927291516,-2.398076806110599,6.072184883961446,0.7832079712801976,6.122486748967835,7.627877884154185
R1,2,3,0.8863418927291516,-2.398076806110599,-0.2323742805948882,-1.06113047844326,-1.1187161733240398,1.3369463276673388,1.7432588331971721,-0.7488878846636134
R1,3,4,-0.2323742805948882,-1.06113047844326,0.3397160436391827,-1.4638476514223482,0.5720903242340709,-0.40271717297908816,0.6996202259043925,0.3503217964107411
R1,4,5,0.3397160436391827,-1.4638476514223482,0.0621991740131326,-0.0909171611505362,-0.27751686962605004,1.372930490271812,1.4006975919323343,0.030082048257283972
R1,5,6,0.0621991740131326,-0.0909171611505362,0.218220091425795,-0.6190172776427071,0.15602091741266239,-0.5281001164921709,0.5506652882734968,-0.009331206075395304
R1,6,7,0.218220091425795,-0.6190172776427071,0.4774682053400503,-1.4065243075525418,0.2592481139142553,-0.7875070299098347,0.829081966228616,-0.0056853971780858326
R1,7,8,0.4774682053400503,-1.4065243075525418,0.3273987448567831,-0.6416210249613928,-0.1500694604832672,0.7649032825911489,0.7794856475192176,0.07707032680324916
R1,8,9,0.3273987448567831,-0.6416210249613928,0.2084770527322772,-0.1324676901927811,-0.1189216921245059,0.5091533347686117,0.5228570427600203,0.04519675237591016
R1,9,10,0.2084770527322772,-0.1324676901927811,0.1206328993620824,0.2302092545617701,-0.08784415337019481,0.3626769447545512,0.373163719482243,0.03198665422124282
R1,10,11,0.1206328993620824,0.2302092545617701,0.4452403931935751,0.3347065121272083,0.32460749383149273,0.1044972575654382,0.3410127591311799,-0.031060921012303608
R1,11,12,0.4452403931935751,0.3347065121272083,0.1674607713961629,0.5029145240656296,-0.2777796217974122,0.16820801193842133,0.32473905457488395,0.0839338248627996
R1,12,13,0.1674607713961629,0.5029145240656296,-0.1613374625994025,0.5956179980295754,-0.3287982339955654,0.09270347396394574,0.3416170557270034,0.09044080131230287
R1,13,14,-0.1613374625994025,0.5956179980295754,-0.0204484561198603,0.2565247815580707,0.1408890064795422,-0.3390932164715047,0.36719738779542427,-0.014603794426769156
R1,14,15,-0.0204484561198603,0.2565247815580707,0.0835696691859717,0.042851785541941,0.10401812530583199,-0.21367299601612968,0.23764662761892655,-0.011156971994561832
R1,15,16,0.0835696691859717,0.042851785541941,0.0283602222042555,0.3241820423195262,-0.0552094469817162,0.28133025677758516,0.28669634879881,0.012938249936428465
R1,16,17,0.0283602222042555,0.3241820423195262,0.2193923916369475,0.6206761542323954,0.191032169432692,0.29649411191286923,0.35270674526745555,-0.02676027996965874
R1,17,18,0.2193923916369475,0.6206761542323954,0.0788331917165693,1.0780101955008423,-0.14055919992037819,0.4573340412684469,0.47844677236364164,0.09378867636971888
R1,18,19,0.0788331917165693,1.0780101955008423,0.1870527521873725,0.5690542153537615,0.1082195604708032,-0.5089559801470808,0.5203341839587031,-0.07839220694918751
R1,19,20,0.1870527521873725,0.5690542153537615,0.3473298096101995,0.4920112481114968,0.160277057422827,-0.07704296724226473,0.17783237595447252,-0.05280871710515189
R1,20,21,0.3473298096101995,0.4920112481114968,0.0547643696923499,0.5146170566415345,-0.2925654399178496,0.02260580853003763,0.2934374877441899,0.07589857921054645
R1,21,22,0.0547643696923499,0.5146170566415345,0.0578404805438066,0.6866710485553175,0.0030761108514566968,0.172053991913783,0.17208148822996203,0.003919704653965631
R1,22,23,0.0578404805438066,0.6866710485553175,0.1963575479170544,0.0977658519162682,0.13851706737324782,-0.5889051966390493,0.6049762876197398,-0.06458910973217158
R1,23,24,0.1963575479170544,0.0977658519162682,0.1255074898140406,0.7746596704786366,-0.07085005810301379,0.6768938185623684,0.6805916340516867,0.06991996335093821
R1,24,25,0.1255074898140406,0.7746596704786366,0.1771908372841582,0.5034474153272103,0.051683347470117574,-0.27121225515142633,0.27609283900535936,-0.037038087135647386
R1,25,26,0.1771908372841582,0.5034474153272103,0.2308442792735848,0.4791647393800882,0.05365344198942662,-0.02428267594712208,0.05889261573801684,-0.01565717718777785
R1,26,27,0.2308442792735848,0.4791647393800882,0.1091248437910819,0.927761752466428,-0.12171943548250291,0.4485970130863398,0.4648170619976906,0.08093985787533199
R1,27,28,0.1091248437910819,0.927761752466428,0.0771332902254827,0.7729499403805972,-0.0319915535655992,-0.15481181208583084,0.15808275257231322,0.006393362494631648
R1,28,29,0.0771332902254827,0.7729499403805972,0.1426235375365719,0.5429516239101534,0.0654902473110892,-0.22999831647044378,0.23914054041944882,-0.03418060482515206
R1,29,30,0.1426235375365719,0.5429516239101534,0.2309232092389703,0.6481393644085093,0.08829967170239841,0.10518774049835589,0.1373364218767214,-0.01647010124309809
R3,1,2,5.189181740004422,-3.2588694194602628,-0.3650495826968131,-0.7312780667952341,-5.554231322701235,2.527591352665029,6.102311335235408,-2.4921918563584686
R3,2,3,-0.3650495826968131,-0.7312780667952341,-0.309519793298096,0.919595017058178,0.05552978939871711,1.650873083853412,1.651806737031406,-0.28102140665252434
R3,3,4,-0.309519793298096,0.919595017058178,-0.5130951550545454,-0.0835182927659839,-0.2035753617564494,-1.003113309824162,1.023562035374825,0.24884515628919518
R3,4,5,-0.5130951550545454,-0.0835182927659839,-0.3550673595378642,1.1628839025394473,0.15802779551668117,1.2464021953054312,1.2563802038467735,-0.31316235798472036
R3,5,6,-0.3550673595378642,1.1628839025394473,-0.2101523811025945,-0.8136050877360556,0.14491497843526974,-1.9764889902755027,1.981794409028134,0.26663371563677796
R3,6,7,-0.2101523811025945,-0.8136050877360556,-0.4543844508784606,1.0778547267930596,-0.2442320697758661,1.891459814529115,1.9071626920337756,-0.29810161917055866
R3,7,8,-0.4543844508784606,1.0778547267930596,0.1365644201596123,-0.9665115426109862,0.5909488710380728,-2.044366269404046,2.1280634416431736,0.14598560538809763
R3,8,9,0.1365644201596123,-0.9665115426109862,-0.3439416013546611,0.8936731935091357,-0.4805060215142734,1.8601847361201218,1.921242641939264,-0.10518978310481111
R3,9,10,-0.3439416013546611,0.8936731935091357,0.1636681077971491,-1.0169161759850929,0.5076097091518103,-1.9105893694942284,1.976871102436762,0.10174698872054776
R3,10,11,0.1636681077971491,-1.0169161759850929,-0.258034972687468,0.8936168847408211,-0.42170308048461713,1.9105330607259141,1.9565198859753368,-0.0580716765373223
R3,11,12,-0.258034972687468,0.8936168847408211,-0.0094026274369155,-0.7096320834421516,0.2486323452505525,-1.6032489681829727,1.6224134174385259,0.09575612095385079
R3,12,13,-0.0094026274369155,-0.7096320834421516,-0.3982422058879991,1.0308728476961364,-0.3888395784510836,1.7405049311382879,1.7834106742662255,-0.14614917980030898
R3,13,14,-0.3982422058879991,1.0308728476961364,-0.1693934995869139,-0.5844092861680755,0.22884870630108517,-1.6152821338642118,1.6314129159586184,0.20367980128269078
