tag,regime_label,n,cold_bottom_pN_mean,cold_bottom_pN_cv,hot_bottom_pN_mean,hot_bottom_pN_cv,Z_cold_N_mean,Z_cold_N_cv,Gini_cold_N_mean,Gini_cold_N_cv,survival_N_mean,survival_N_cv
a050_mu010_g002,"low expansion, low friction, memory-rich",3,994.7416338725404,0.08607471866794537,168.34229702537502,0.07108870873419919,5.459513118082019,0.009211105371995772,0.4184960315096384,0.005951561291877178,0.8396628145887466,0.001793737264179756
a050_mu060_g002,"low expansion, high friction, frictional-memory boundary",3,817.1680379744423,0.037563199196402344,423.05473835787706,0.0496138891512546,5.2876023225402955,0.004071581916199294,0.442731751979619,0.01493870510851837,0.8386507597750781,0.006463978083062557
a100_mu030_g002,intermediate expansion/friction,3,304.98783069516827,0.054024358756241786,146.40581848212295,0.25314727595891806,3.9236488223909443,0.003431901363377794,0.5093897870944565,0.0027882694302728923,0.609580365931979,0.002575039310928013
a100_mu060_g000,"intermediate expansion, high friction, closed lid",3,272.8024680083115,0.06629082717405901,427.4508446687879,0.2247341766898055,3.745675520069199,0.027035265148993355,0.5214376917995667,0.01943181625174297,0.5892537024778911,0.030669898464583605
a150_mu010_g002,"high expansion, low friction",3,213.56902812666064,0.0553189338253745,66.06424110155945,0.14336603062245298,3.1778485985645446,0.009025114243255417,0.5936511703349271,0.013183555335702956,0.4889609987719172,0.005829093984070302
a150_mu060_g020,"high expansion, high friction, open lid hot-load extreme",3,174.35682407947866,0.06627608644002356,636.1198262783674,0.0289000552728113,3.0209678956276425,0.02770599306436981,0.5590007206888815,0.03560967484900059,0.4756791864889775,0.030788838009393166
