predictor,target,spearman_raw,p_raw,spearman_within_regime,p_within_regime,n
breath_amplitude,force_p99_hot_minus_cold,0.7764270613107821,9.970193340892961e-19,0.8308850331705182,2.3715565538692086e-23,87
breath_amplitude,Z_geom_next_cold_minus_current,-0.2680979806080046,0.012051753115134905,-0.32242837355106796,0.0023214375992767476,87
breath_amplitude,force_h1_birth_force_share_next_cold_minus_current,0.2121637384267697,0.04851489478291597,0.28727126922796525,0.006978878945012675,87
imprint_efficiency,force_p99_hot_minus_cold,0.14015455274476926,0.19540033511459287,-0.4351534592111977,2.530880260405715e-05,87
imprint_efficiency,Z_geom_next_cold_minus_current,0.014999635488809504,0.8903262136259076,0.09686884887366042,0.37208987706301566,87
imprint_efficiency,force_h1_birth_force_share_next_cold_minus_current,-0.09240358679011446,0.3946357829625833,-0.3342567616825836,0.0015551930663629501,87
overload_cost,Z_geom_next_cold_minus_current,-0.11126704089815556,0.3048873160870348,-0.2502004811547714,0.019425340272502055,87
loop_cost,force_p99_hot_minus_cold,0.8044032951811618,6.380294253699996e-21,0.4421702996281985,1.8042834917825968e-05,87
breath_irregularity,force_p99_hot_minus_cold,0.3470486989976714,0.0012196599995353637,0.3091222030981067,0.004221336541685729,84
breath_irregularity,Z_geom_next_cold_minus_current,-0.03434241166346057,0.7564631057272732,-0.02381289865343728,0.8297602401332168,84
memory_dose,Z_geom_next_cold_minus_current,-0.0621127068601006,0.567646187395445,-0.07027775752715608,0.5177441193299939,87
loop_dose,force_p99_hot_minus_cold,0.9217394474010352,1.007061352220189e-36,0.8979004155427571,4.9166873391693835e-32,87
amplitude_drop_fraction,force_p99_hot_minus_cold,0.38574465930950697,0.0002903657093730637,0.6277412169687152,1.6517630643911888e-10,84
