regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,overload_readout_projection,post_map_output_projection,dangerous_input_projection
R1,1,-5.1858429912322945,-3.1812847773907964,0.4901637071222786,0.24269241291416885,0.45501920610416663,-0.1824233145240364,-5.793622722339485
R1,2,0.8863418927291516,-2.398076806110599,-0.684306982400717,-0.3358065483776062,-0.18929916704433183,-0.039042515291416065,-1.2399599487588016
R1,3,-0.2323742805948882,-1.06113047844326,-0.6318633473061083,-0.3108989268529668,-0.014435872895215836,-0.03010092962971562,-0.955982135952715
R1,4,0.3397160436391827,-1.4638476514223482,-0.7366626322448795,-0.3604737017647273,-0.09320550736700345,-0.027966634459153872,-0.888198579730154
R1,5,0.0621991740131326,-0.0909171611505362,-0.5983424721716318,-0.29487914523062236,-0.0103509280558932,-0.000893019885294617,-0.02836161766078524
R1,6,0.218220091425795,-0.6190172776427071,-0.6702949334546247,-0.3291707193658112,-0.04769044229847245,-0.010295155916772278,-0.3269661523531882
R1,7,0.4774682053400503,-1.4065243075525418,-0.6644189414295862,-0.3263837809456625,-0.10632273607582596,-0.023769729912080897,-0.7549081524026312
R1,8,0.3273987448567831,-0.6416210249613928,-0.6859028201274618,-0.33656140701359283,-0.06066619778382257,-0.008592850983073738,-0.27290227038744874
R1,9,0.2084770527322772,-0.1324676901927811,-0.6193367837399641,-0.30492126714158,-0.028162996072038333,0.0011188125804301979,0.03553261821238091
R1,10,0.1206328993620824,0.2302092545617701,-0.5413236941749067,-0.2674615800896942,-0.004662578109379437,0.007972199217692549,0.25319085257907
R1,11,0.4452403931935751,0.3347065121272083,-0.5687772745670517,-0.2806883735732618,-0.03673225991063493,0.01713201778353369,0.5440995728488791
R1,12,0.1674607713961629,0.5029145240656296,-0.5689707048752929,-0.280781398831636,0.0004782861725111142,0.01544328326361421,0.4904666766802514
R1,13,-0.1613374625994025,0.5956179980295754,-0.4995414550308427,-0.24724402856779548,0.04048937407650271,0.010904631387399246,0.34632261972440076
