predictor,n,base_rate,auc,spearman_score_event,mutual_information_bits,chi2_p_quintile_event,top_quintile_risk,bottom_quintile_risk,top_quintile_risk_ratio_vs_base,route_permutation_p_mi
force-loop activation,150,0.2,0.8991666666666668,0.5531138494391123,0.28660385956081846,3.548761040381051e-12,0.6666666666666666,0.03333333333333333,3.333333333333333,0.00024993751562109475
top-5% force tail,150,0.2,0.20944444444444446,-0.40261453480397463,0.11157041279865663,7.395940637518741e-05,0.03333333333333333,0.5,0.16666666666666666,0.00024993751562109475
giant-component change,150,0.2,0.5816666666666667,0.11316316752616494,0.11116873591847197,8.96396733149073e-05,0.4666666666666667,0.3,2.333333333333333,0.0004998750312421895
wall-spanning proxy,150,0.2,0.5719444444444444,0.09969136186828816,0.015603655574361058,0.5036682742334986,0.23333333333333334,0.13333333333333333,1.1666666666666665,0.5443639090227443
