run,tag,regime_id,cycle,phase,n_contacts,first_cycle_edge_fraction,first_cycle_force_fraction,beta1_birth_density_5pct,beta1_birth_density_10pct,loop_force_share_5pct,loop_force_share_10pct,beta1_birth_area,loop_force_persistence_area,giant_component_area,total_beta1_birth_density,total_loop_force_share,top5_force_share
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,1,cold,13841,0.0001444982298966,0.0009318430310813,0.4906204906204906,0.4866425992779783,0.0753488101618485,0.1297082429430862,0.5469900815557442,0.3762098604936487,0.4095382165605095,0.6393324181778773,0.5652004030026888,0.1537968848773548
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,1,hot,13059,0.0001531510835439,0.002448826238135,0.4808575803981623,0.4908116385911179,0.1312889359047412,0.207327278667671,0.501281755062926,0.3890227702282718,0.2644638310618541,0.5479745769201317,0.5017657880794864,0.2726864430032141
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,cold,1900,0.0010526315789473,0.007106242025632,0.4842105263157895,0.4947368421052631,0.1008547172911904,0.1699226483492831,0.4851052631578947,0.3692951574590588,0.0038267477203647,0.4968421052631579,0.4891596710408465,0.2087450805389044
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.0002465179341797,0.0104494547394845,0.4852216748768473,0.4864532019704433,0.2009754828926076,0.275178506659345,0.482384063139987,0.4085296361454571,0.0383282645884812,0.5041291753975101,0.4861319931220347,0.4136757494157189
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.0005515719801434,0.0047976695921231,0.4725274725274725,0.4820936639118457,0.0904509660280038,0.1546193253614631,0.4863323354720652,0.3616072271205816,0.013853515625,0.5033094318808604,0.4921359249742427,0.1904236344645008
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,hot,21836,9.159186664224217e-05,0.0011196768442199,0.4853479853479853,0.4922161172161172,0.1093827110218945,0.1753346528251497,0.5484043321512808,0.3926262623963897,0.4456492248062015,0.6586829089576846,0.549398874342601,0.2253717426190188
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,cold,1965,0.0010178117048346,0.0121430599447563,0.4747474747474747,0.482233502538071,0.1001891167410667,0.1628441093055384,0.4836166992120609,0.3624686045807067,0.0042748324192565,0.4997455470737914,0.4892380603935453,0.209644818811664
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,hot,6361,0.0003144159723313,0.0123790463448723,0.4796238244514106,0.4866562009419152,0.1874744029901919,0.2563143755871498,0.4802766538888127,0.4002848404221314,0.0096143790849673,0.5000786039930829,0.4860017770423926,0.3879350148176882
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,cold,6606,0.0003027550711474,0.0018619832649398,0.4833836858006042,0.4856278366111952,0.0814567807231302,0.1417130422692772,0.4980042078860731,0.3567388344081756,0.1833988611713665,0.5361792310021193,0.5019349851588436,0.16863088348269
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,hot,17059,0.000117240166481,0.0014140623741919,0.4865181711606096,0.4900351699882767,0.120267261366156,0.1888558064743599,0.5222113785587554,0.3854300614066761,0.3287258110415481,0.6149832932762764,0.518710474386625,0.2474914032536057
