regime_id,n,loop_overload_spearman,loop_overload_p,top5_overload_spearman,top5_overload_p,loop_overload_theilsen_slope
R1,30,0.6338153503893215,0.0001696944907691912,0.7098998887652946,1.1149385088682753e-05,0.01061853617046002
R3,30,0.9421579532814239,8.052686534169987e-15,-0.6480533926585095,0.00010788152590670534,0.018767107716196357
R5,30,0.8242491657397107,2.1655533866279298e-08,-0.4487208008898776,0.01287627495783264,0.029293650216879956
R6,30,0.8807563959955507,1.3686102732169856e-10,-0.4113459399332592,0.023925518113661018,0.06881039366527582
R6c,30,0.8042269187986651,8.59264578208676e-08,-0.37130144605116794,0.04336732078057541,0.1536961291014359
