regime_id,n_cycles,mean_contact_breathing_aperture,mean_contact_creation_fraction,mean_loop_activation,mean_positive_cycle_creation_inhale,mean_hot_overload,mean_next_cold_force_imprint,mean_next_cold_fabric_imprint,mean_loop_memory_imprint,mean_Z_rectification_fraction,mean_force_rectification_fraction,mean_loop_rectification_fraction,mean_next_cold_retention
R1,29,0.4651978500455381,0.38610569951540236,-0.050109604475252825,-0.30047730614242074,-0.0004888929442932828,-1.9303273945920688e-05,0.016895221660260758,0.0018783170862015143,0.1044976426948351,-0.03188265351719302,0.02176365465341711,0.6541335279172316
R3,29,0.7112486134423203,0.673969406109289,0.04726756921833454,0.10261655876555595,0.0007266020105582722,-3.096501457406552e-05,-0.04872126294680768,-0.0032239210338102873,-0.05849074547095362,-0.1932530914240621,-0.33947258133544833,0.3046220451032043
R6,29,0.7679813816042342,0.7485490578944584,0.08009179527112066,0.3147942190349395,0.0054025357840413,1.1242470655524138e-05,-0.019077890586899203,-1.533711859441622e-05,-0.01873492166878985,0.017350177331750524,0.016543480135146723,0.18502381357284664
