tag,n,cold_bottom_pN_mean,cold_bottom_pN_sd,cold_bottom_pN_cv,hot_bottom_pN_mean,hot_bottom_pN_sd,hot_bottom_pN_cv,Z_cold_N_mean,Z_cold_N_sd,Z_cold_N_cv,Gini_cold_N_mean,Gini_cold_N_sd,Gini_cold_N_cv,survival_N_mean,survival_N_sd,survival_N_cv,work_total_mean,work_total_sd,work_total_cv,hot_tail_p99_over_mean,cold_tail_p99_over_mean,hot_tail_max_over_mean,cold_tail_max_over_mean,hot_force_gini_direct,cold_force_gini_direct,hot_contacts,cold_contacts,hot_force_mean,cold_force_mean,cold_load_kpa_proxy,hot_load_kpa_proxy,short_label,regime_id,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,fabric_memory_index,loop_activation_index,cold_load,hot_load,hot_overload_force_delta
a050_mu010_g002,3,994.7416338725404,85.62210628287124,0.0860747186679453,168.34229702537502,11.96723652088293,0.0710887087341991,5.459513118082019,0.0502881506104466,0.0092111053719957,0.4184960315096384,0.0024907047819369,0.0059515612918771,0.8396628145887467,0.0015061344798738,0.0017937372641797,0.0039383339210568,0.0017048745307049,0.4328923257598009,6.997205149009158,3.2337510186565055,23.454393999252773,6.213124479294097,0.5984399265066837,0.405991943336047,21513,21676,5.797869218205431e-05,0.0002978407361547,0.9947416338725406,0.168342297025375,"$0.5,0.1$",R1,0.0025373685181767,0.0004183516943243,-0.0021190168238524,0.0024170157911698,0.0482243480539903,0.0458073322628204,0.1480647656979677,0.2967282812982167,0.148663515600249,0.7212585347850157,0.6655975456700599,-0.0556609891149557,0.6306273598162998,0.5837682810431576,-0.0468590787731422,0.0009631427839378,0.000405688803469,-0.0005574539804687,4.297094584453838,-2.4965925015075374,994.7416338725404,168.34229702537502,-0.0005574539804687
a050_mu060_g002,3,817.1680379744422,30.69544578736725,0.0375631991964023,423.05473835787706,20.989390893800735,0.0496138891512546,5.2876023225402955,0.0215289059965084,0.0040715819161992,0.442731751979619,0.0066138390850012,0.0149387051085183,0.8386507597750782,0.0054210201305298,0.0064639780830625,0.0021384507844858,0.0004755474951823,0.2223794433953743,6.186582316068341,3.516864251525625,15.76128434760433,6.418041600251374,0.5770396170515351,0.4199790279466471,20416,14291,0.000202416497429,0.0002986144035922,0.8171680379744422,0.423054738357877,"$0.5,0.6$",R2,0.0049681617801413,0.0005387931034482,-0.004429368676693,0.0023649980291683,0.0211925760168487,0.0188275779876804,0.1553411200529442,0.258440692085976,0.1030995720330317,0.6574767336085648,0.6453271943573667,-0.0121495392511981,0.579939732328111,0.5868351249411123,0.0068953926130013,0.0010501863209841,0.0012522663234752,0.0002020800024911,3.744697094676999,-1.077326362654498,817.1680379744422,423.05473835787706,0.0002020800024911
a100_mu030_g002,3,304.98783069516827,16.4767719817637,0.0540243587562417,146.40581848212295,37.06223413328525,0.253147275958918,3.923648822390944,0.0134655757429791,0.0034319013633777,0.5093897870944565,0.0014203159714486,0.0027882694302728,0.6095803659319791,0.0015696934054447,0.002575039310928,0.0056490675921766,0.0021555912994833,0.3815835559249849,7.840189543598758,4.196677582713203,22.39738738995399,7.814694283879461,0.6224443298846243,0.4763501858668763,10554,5191,0.0001080791974386,0.0002300896689226,0.3049878306951682,0.1464058184821229,"$1.0,0.3$",R3,0.0032748988634174,0.0010422588592003,-0.0022326400042171,0.0018274853801169,0.0129961362838075,0.0111686509036905,0.1838353819298938,0.3159759377403947,0.1321405558105008,0.5453669813138123,0.5477544059124503,0.0023874245986379,0.5065948241406742,0.5082599142815035,0.0016650901408292,0.0009656121555816,0.000847361393639,-0.0001182507619426,-0.7002737459916861,-1.3487510296166043,304.98783069516827,146.40581848212295,-0.0001182507619426
a100_mu060_g000,3,272.8024680083115,18.08430125939574,0.066290827174059,427.45084466878785,96.062813652002,0.2247341766898055,3.745675520069199,0.1012653308471643,0.0270352651489933,0.5214376917995667,0.0101324814137821,0.0194318162517429,0.5892537024778911,0.0180723512248768,0.0306698984645836,0.0039167864479979,0.0002772756696938,0.0707916230244176,7.009934127540139,4.0986350161264475,13.9346407568287,7.253797792857457,0.5876271605790928,0.4835766909177037,22722,3911,0.0005979696177917,0.000216474272654,0.2728024680083115,0.4274508446687878,"$1.0,0.6$",R4,0.0048580925594477,0.0004841123140568,-0.0043739802453908,0.0016161616161616,0.0549993663667469,0.0533832047505853,0.1849487767291892,0.2818911265187097,0.0969423497895204,0.5106110969061621,0.664554176568964,0.1539430796628018,0.4944931652250348,0.5936824832374749,0.09918931801244,0.0008872490339904,0.0041917276309904,0.003304478597,-1.2125844419889575,2.332467470888435,272.8024680083115,427.45084466878785,0.003304478597
a150_mu010_g002,3,213.56902812666064,11.814410934088285,0.0553189338253745,66.06424110155945,9.47136801281529,0.143366030622453,3.1778485985645446,0.0286804466498141,0.0090251142432554,0.593651170334927,0.0078264330542153,0.0131835553357029,0.4889609987719172,0.0028501996163863,0.0058290939840703,0.0120729813616322,0.0019624198014555,0.1625464119154595,5.873131803620425,4.0754920304959175,12.336831261648893,6.88033395615323,0.5638572316553896,0.4897921478495685,18325,5166,0.000372821623995,0.0003249463626768,0.2135690281266606,0.0660642411015594,"$1.5,0.1$",R5,0.0112272551296941,0.1377353342428376,0.1265080791131435,0.0012523481527864,0.0008287292817679,-0.0004236188710185,0.1825595474774373,0.2470989992611212,0.0645394517836839,0.5174216027874564,0.6266848567530696,0.1092632539656132,0.4965791473223157,0.5221932209762218,0.0256140736539061,0.001324316311428,0.0021896305369628,0.0008653142255347,-2.6461522894843084,-0.36736012711222044,213.56902812666064,66.06424110155945,0.0008653142255347
a150_mu060_g020,3,174.35682407947866,11.555687944099509,0.0662760864400235,636.1198262783674,18.38389813957594,0.0289000552728113,3.0209678956276425,0.0836989155639433,0.0277059930643698,0.5590007206888815,0.019905833904088,0.0356096748490005,0.4756791864889775,0.014645609417249,0.0307888380093931,0.0090674298489829,0.0009693614415506,0.1069058661269186,6.410444358606835,4.565720258169065,14.95470540168122,8.630535249373686,0.5457295910103352,0.512117031953155,24811,1903,0.0008510056790968,0.0002301724826311,0.1743568240794786,0.6361198262783675,"$1.5,0.6$",R6,0.0110352075669994,0.0011688364032082,-0.0098663711637912,0.0018987341772151,0.0478187919463087,0.0459200577690935,0.2037265482338491,0.2583947608061066,0.0546682125722574,0.4960588544403573,0.6730079400266011,0.1769490855862437,0.4896482694843195,0.5904353037540175,0.100787034269698,0.0010509031668222,0.0054553245547087,0.0044044213878865,-3.4827812016658823,2.957562550002424,174.35682407947866,636.1198262783674,0.0044044213878865
