Cycle,Phase,SidePressure_Pa,BottomPressure_Pa,LidPressure_Pa
1,Heating,4.227334927889035,159.08548753477297,0.913806218906502
1,Cooling,17.626238884735425,403.4968174581507,0.0
2,Heating,4.051444293931783,487.2472246388951,0.0
2,Cooling,3.193149149519163,872.5439951909256,0.0
3,Heating,6.950418171554772,447.1721750652465,0.0
3,Cooling,20.318811483701133,520.9103620819574,0.0
4,Heating,15.864595430766917,434.2916023418675,0.0
4,Cooling,21.21182789865966,507.69138229944826,0.0
5,Heating,14.385064461186731,430.71748124432975,0.0
5,Cooling,21.783805560564744,515.3642549373677,0.0
6,Heating,23.442100086868138,419.05492682668825,0.0
6,Cooling,20.69418266270465,493.19305197604575,0.0
7,Heating,22.154039706728547,399.2496927739008,0.0
7,Cooling,20.389751167792863,476.1093759869773,0.0
8,Heating,25.394067488578404,394.32071656116335,0.0
8,Cooling,21.054674228217426,485.613326457142,0.0
9,Heating,27.108910237143967,384.9511179020792,0.0
9,Cooling,20.775534748281057,513.0599663693006,0.0
10,Heating,22.8279372574318,371.5450353121515,0.0
10,Cooling,21.3182275687122,501.24969850632306,0.0
11,Heating,26.122975402857133,362.8017057272676,0.0
11,Cooling,19.62422626773232,509.92891399941146,0.0
12,Heating,24.42815574729105,355.9054639787158,0.0
12,Cooling,20.145878590211865,511.4380785996088,0.0
13,Heating,26.11615461627311,343.97889232301367,0.0376296230699276
13,Cooling,18.84099972626251,503.5260670616432,0.0
14,Heating,23.22700813005836,339.3647469209604,0.0
14,Cooling,19.84726637786493,476.15082270283824,0.0
15,Heating,27.407430934436785,355.13255544016636,0.0
15,Cooling,20.069900329902755,484.2107961181025,0.0
16,Heating,24.779510092541155,350.85943517084394,0.0
16,Cooling,20.436673895002,484.0230134410485,0.0
17,Heating,30.44095798182312,349.0355406112936,0.0473660460757997
17,Cooling,18.684745863651667,487.12457813862534,0.0
18,Heating,28.34822292186257,354.4172030584312,1.740556543024969
18,Cooling,19.404792620448912,493.43305960554954,0.0
19,Heating,29.471141222944585,356.2284749644604,2.4774198144510904
19,Cooling,19.306993829392496,499.45024676417904,0.0
20,Heating,27.5525139727032,341.36789183874106,1.2735355106016917
20,Cooling,19.849516991536976,478.8701383792303,0.0
