test,base_model,added_variable,n,r2_base,r2_full,delta_r2,within_route_permutation_p,null_q025,null_q975
loop_number,FE+cycle,loop_number,150,0.7527967705664291,0.9572425089186063,0.20444573835217716,0.00024993751562109475,3.042033446137849e-06,0.00983212538088537
tail_number,FE+cycle,tail_number,150,0.7527967705664291,0.8546811598160913,0.10188438924966214,0.00024993751562109475,1.990961717973638e-06,0.010951711330344545
loop_after_tail,FE+cycle+tail,loop_number,150,0.8546811598160913,0.9578782788972101,0.10319711908111884,0.00024993751562109475,1.5683616200606876e-06,0.006252967700456982
tail_after_loop,FE+cycle+loop,tail_number,150,0.9572425089186063,0.9578782788972101,0.0006357699786038173,0.16020994751312173,3.0175237895890833e-07,0.0016496100118812446
