regime_id,n_cycles,mean_overload_z,rare_overload_rate,psi_z_std,tail_z_std,loop_z_std,predictor,lag_cycles,mi_bits,normalised_mi,circular_shift_p
R1,30.0,-2.7385501274087196e-16,0.2,1.0,0.9999999999999999,0.9999999999999998,,,,,
R3,30.0,1.850371707708594e-17,0.2,1.0,1.0,1.0000000000000002,,,,,
R5,30.0,-7.401486830834377e-18,0.2,1.0,1.0000000000000002,1.0,,,,,
R6,30.0,-2.0724163126336256e-16,0.2,0.9999999999999997,1.0,1.0,,,,,
R6c,30.0,-1.1287267417022424e-16,0.2,1.0,0.9999999999999997,0.9999999999999998,,,,,
all_routes_best_lag,,,,,,,Psi,0.0,0.6532042240109059,0.412125980087036,0.00039984006397441024
all_routes_best_lag,,,,,,,cold loop memory,5.0,0.09839819933169903,0.06208597825574214,0.05797680927628948
all_routes_best_lag,,,,,,,loop activation,0.0,0.6532042240109059,0.412125980087036,0.00039984006397441024
all_routes_best_lag,,,,,,,top-5% tail,0.0,0.13037877232863207,0.082259846696253,0.08836465413834466
