group,tier,bytes,mb,path
atom_dump,archive_required,1909599,1.821,runs/free_quasistatic_10k_prod/cycle_14_cold.dump
atom_dump,archive_required,1909974,1.821,runs/free_quasistatic_10k_prod/cycle_19_cold.dump
atom_dump,archive_required,1909139,1.821,runs/regime_matrix_10k/a150_mu060_g002/cycle_2_hot.dump
atom_dump,archive_required,1908342,1.820,runs/confined_structural_10k_prod/cycle_10_cold.dump
atom_dump,archive_required,1907893,1.820,runs/confined_structural_10k_prod/cycle_12_cold.dump
atom_dump,archive_required,1908383,1.820,runs/confined_structural_10k_prod/cycle_13_cold.dump
atom_dump,archive_required,1908708,1.820,runs/confined_structural_10k_prod/cycle_16_cold.dump
atom_dump,archive_required,1908268,1.820,runs/confined_structural_10k_prod/cycle_18_cold.dump
atom_dump,archive_required,1908257,1.820,runs/confined_structural_10k_prod/cycle_19_cold.dump
atom_dump,archive_required,1908346,1.820,runs/confined_structural_10k_prod/cycle_3_cold.dump
atom_dump,archive_required,1908297,1.820,runs/confined_structural_10k_prod/cycle_4_cold.dump
atom_dump,archive_required,1908468,1.820,runs/confined_structural_10k_prod/cycle_5_cold.dump
atom_dump,archive_required,1908654,1.820,runs/confined_structural_10k_prod/cycle_6_cold.dump
atom_dump,archive_required,1908162,1.820,runs/confined_structural_10k_prod/cycle_9_cold.dump
atom_dump,archive_required,1908466,1.820,runs/contact_force_probe/a150_mu060_g020/cycle_1_hot.dump
atom_dump,archive_required,1908270,1.820,runs/long_cycle_force_probe/a150_mu030_g002_c30/cycle_2_hot.dump
atom_dump,archive_required,1908466,1.820,runs/long_cycle_force_probe/a150_mu060_g020_c30/cycle_1_hot.dump
atom_dump,archive_required,1908189,1.820,runs/long_cycles_10k/a150_mu060_g020_c30/cycle_1_hot.dump
atom_dump,archive_required,1908119,1.820,runs/regime_matrix_10k/a150_mu030_g002/cycle_2_hot.dump
atom_dump,archive_required,1908189,1.820,runs/regime_matrix_10k/a150_mu060_g020/cycle_1_hot.dump
atom_dump,archive_required,1907694,1.819,runs/confined_structural_10k_prod/cycle_11_cold.dump
atom_dump,archive_required,1907446,1.819,runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_4_hot.dump
atom_dump,archive_required,1907326,1.819,runs/regime_matrix_10k/a150_mu030_g000/cycle_2_hot.dump
