alpha_mult,friction,lid_gap_radii,cold_memory_index,hot_susceptibility_index,loss_index,projection_norm,route_class
0.5,0.1,0.0,1.678245328774334,-0.7379729981155609,-1.299838066890323,1.8333334474395382,buffered reservoir
0.5,0.1,0.02,1.6045802365329438,-0.723825496862676,-1.2986079178795071,1.7602843762814626,buffered reservoir
0.5,0.1,0.2,1.5800863295058523,-0.6999561765019706,-1.2847499670074962,1.728181546514872,buffered reservoir
0.5,0.3,0.0,1.263610707914202,-0.718763693332173,-1.2208025153783695,1.4537308100222466,buffered reservoir
0.5,0.3,0.02,1.2436553477422725,-0.7079614195241271,-1.1817708531277145,1.4310443723038673,buffered reservoir
0.5,0.3,0.2,1.1118923681484425,-0.7204490831174267,-1.2369429743827112,1.3248967958718492,buffered reservoir
0.5,0.6,0.0,0.9935180821680489,-0.4352217068613026,-1.0578712563635129,1.0846640556956535,buffered reservoir
0.5,0.6,0.02,1.0338400672918693,-0.4500774727787755,-1.1061967418931173,1.127561535456485,buffered reservoir
0.5,0.6,0.2,0.7742101146410468,-0.43761402668443045,-0.9782847270633025,0.8893297127407046,buffered reservoir
1.0,0.1,0.0,-0.45865488470807864,-0.6809064948546433,0.1844106759196972,0.820973786427933,weakly coupled
1.0,0.1,0.02,-0.5032635222448946,-0.6535899947450318,0.21409593674986907,0.8248963898897534,weakly coupled
1.0,0.1,0.2,-0.5325074644541299,-0.6614899509964571,0.11536671691782112,0.8491955928810875,weakly coupled
1.0,0.3,0.0,-0.3217459935430224,-0.6782374920066988,-0.05335114984875533,0.7506840746442697,weakly coupled
1.0,0.3,0.02,-0.4748492230481457,-0.6768632410373615,0.09061736480658676,0.826816564720996,weakly coupled
1.0,0.3,0.2,-0.6087214594334355,-0.6967094293587728,0.07823940444399158,0.9251734130054746,weakly coupled
1.0,0.6,0.0,-0.3631788047653827,0.582494910203127,0.24266818833826873,0.6864394835987809,weakly coupled
1.0,0.6,0.02,-0.5143919081385508,0.8494176841311575,0.36674459193934433,0.9930304311918936,excitable overload
1.0,0.6,0.2,-0.675905184324254,-0.2509838746018887,0.2916382954551067,0.720999808256965,weakly coupled
1.5,0.1,0.0,-0.18315021642511348,-0.06216523634456909,0.5157492703983025,0.1934128185678034,weakly coupled
1.5,0.1,0.02,-0.040024248921496766,0.01912587807833425,0.4321587855621935,0.04435921227881805,weakly coupled
1.5,0.1,0.2,-1.6001530643278024,-0.12616787805596696,1.5058131045293595,1.605119360898373,lossy transitional
1.5,0.3,0.0,-0.7982120530080132,1.3408804930409568,1.1850832383052878,1.5604816494227116,excitable overload
1.5,0.3,0.02,-0.8619757619031819,1.344666645930736,1.0160140139299305,1.597225908501107,excitable overload
1.5,0.3,0.2,-1.2100746175766621,0.49041206490177364,1.016344053076167,1.3056739920456892,lossy transitional
1.5,0.6,0.0,-0.5090443405806062,1.8856038832427398,1.100445948195463,1.9531073050852183,excitable overload
1.5,0.6,0.02,-0.6886476754466347,1.4253552020238025,1.2297007253221819,1.5829949693016616,excitable overload
1.5,0.6,0.2,-0.9391381598695827,2.1809989042272058,1.1333258559452302,2.37460243063202,excitable overload
