regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_response_asinh,lyapunov_storage,map_predicted_storage_next,observed_next_storage,storage_drop_map,storage_drop_observed,euclidean_state_energy,storage_anisotropy,dissipativity_margin
R1,1,-5.1858429912322945,-3.1812847773907964,0.4901637071222786,0.24269241291416885,48.67709225518907,11.663551890617551,9.555112383644465,37.013540364571526,39.12197987154461,37.01354036457152,1.610873633252778,0.6094979339434252
R1,2,0.8863418927291516,-2.398076806110599,-0.684306982400717,-0.3358065483776062,9.555112383644465,3.0187380648321605,1.9360023917024418,6.536374318812305,7.6191099919420235,6.536374318812305,1.610873633252778,0.6094979339434252
R1,3,-0.2323742805948882,-1.06113047844326,-0.6318633473061083,-0.3108989268529668,1.9360023917024418,0.7560066931392283,3.450325840399157,1.1799956985632134,-1.514323448696715,1.1799956985632138,1.610873633252778,0.6094979339434252
R1,4,0.3397160436391827,-1.4638476514223482,-0.7366626322448795,-0.3604737017647273,3.450325840399157,1.1920689035185732,0.01593471403044311,2.2582569368805836,3.4343911263687135,2.2582569368805836,1.610873633252778,0.6094979339434252
R1,5,0.0621991740131326,-0.0909171611505362,-0.5983424721716318,-0.29487914523062236,0.01593471403044311,0.003800046590854589,0.6334018782369508,0.01213466743958852,-0.6174671642065077,0.01213466743958852,1.610873633252778,0.6094979339434252
R1,6,0.218220091425795,-0.6190172776427071,-0.6702949334546247,-0.3291707193658112,0.6334018782369508,0.20259947991488028,3.25806212033081,0.43080239832207057,-2.624660242093859,0.4308023983220707,1.610873633252778,0.6094979339434252
R1,7,0.4774682053400503,-1.4065243075525418,-0.6644189414295862,-0.3263837809456625,3.25806212033081,1.0517756054840044,0.7225002575688126,2.2062865148468056,2.5355618627619974,2.2062865148468056,1.610873633252778,0.6094979339434252
R1,8,0.3273987448567831,-0.6416210249613928,-0.6859028201274618,-0.33656140701359283,0.7225002575688126,0.20363277976250735,0.06670622656908733,0.5188674778063053,0.6557940309997253,0.5188674778063053,1.610873633252778,0.6094979339434252
R1,9,0.2084770527322772,-0.1324676901927811,-0.6193367837399641,-0.30492126714158,0.06670622656908733,0.005695856108139998,0.10781871533433109,0.06101037046094733,-0.04111248876524376,0.06101037046094733,1.610873633252778,0.6094979339434252
R1,10,0.1206328993620824,0.2302092545617701,-0.5413236941749067,-0.2674615800896942,0.10781871533433109,0.04027011803994292,0.42620564016753015,0.06754859729438817,-0.3183869248331991,0.06754859729438817,1.610873633252778,0.6094979339434252
R1,11,0.4452403931935751,0.3347065121272083,-0.5687772745670517,-0.2806883735732618,0.42620564016753015,0.11593818317599973,0.4588887843048554,0.3102674569915304,-0.03268314413732526,0.3102674569915304,1.610873633252778,0.6094979339434252
R1,12,0.1674607713961629,0.5029145240656296,-0.5689707048752929,-0.280781398831636,0.4588887843048554,0.17792265583209868,0.5749415340370567,0.2809661284727567,-0.11605274973220131,0.2809661284727567,1.610873633252778,0.6094979339434252
R1,13,-0.1613374625994025,0.5956179980295754,-0.4995414550308427,-0.24724402856779548,0.5749415340370567,0.19415095762228396,0.10525122266084092,0.38079057641477276,0.4696903113762158,0.3807905764147729,1.610873633252778,0.6094979339434252
R1,14,-0.0204484561198603,0.2565247815580707,-0.4760398578461868,-0.23582792160231114,0.10525122266084092,0.039028119749739194,0.011183601050260061,0.06622310291110173,0.09406762161058085,0.06622310291110173,1.610873633252778,0.6094979339434252
R1,15,0.0835696691859717,0.042851785541941,-0.5179204272612489,-0.25614989258568666,0.011183601050260061,0.0023634359182748105,0.17272930205975473,0.00882016513198525,-0.16154570100949467,0.00882016513198525,1.610873633252778,0.6094979339434252
R1,16,0.0283602222042555,0.3241820423195262,-0.4555326620374693,-0.225841608599821,0.17272930205975473,0.06683100329382093,0.7066430720954332,0.1058982987659338,-0.5339137700356784,0.10589829876593382,1.610873633252778,0.6094979339434252
R1,17,0.2193923916369475,0.6206761542323954,-0.4411720602304538,-0.2188352152904842,0.7066430720954332,0.27327116215453706,1.9029327114585435,0.43337190994089614,-1.1962896393631102,0.433371909940896,1.610873633252778,0.6094979339434252
R1,18,0.0788331917165693,1.0780101955008423,-0.417726800319058,-0.20737388572376758,1.9029327114585435,0.7346120577385576,0.5862135436137783,1.1683206537199857,1.3167191678447652,1.1683206537199855,1.610873633252778,0.6094979339434252
R1,19,0.1870527521873725,0.5690542153537615,-0.3754066365373846,-0.18661822486051824,0.5862135436137783,0.2274021115010225,0.560415947877772,0.3588114321127558,0.025797595736006262,0.3588114321127558,1.610873633252778,0.6094979339434252
R1,20,0.3473298096101995,0.4920112481114968,-0.405760898300131,-0.2015138375104815,0.560415947877772,0.19770288296568173,0.4375675677204706,0.3627130649120903,0.12284838015730143,0.3627130649120903,1.610873633252778,0.6094979339434252
R1,21,0.0547643696923499,0.5146170566415345,-0.3932573063803424,-0.19538316649185394,0.4375675677204706,0.169737716546274,0.7743041466162482,0.2678298511741966,-0.3367365788957776,0.26782985117419666,1.610873633252778,0.6094979339434252
R1,22,0.0578404805438066,0.6866710485553175,-0.4157447724825666,-0.20640370923062543,0.7743041466162482,0.29944149650265073,0.06066040858605752,0.4748626501135975,0.7136437380301908,0.47486265011359763,1.610873633252778,0.6094979339434252
R1,23,0.1963575479170544,0.0977658519162682,-0.45373550180195,-0.2249653820194092,0.06066040858605752,0.012545960161145519,1.0094166400129538,0.048114448424912,-0.9487562314268964,0.048114448424912,1.610873633252778,0.6094979339434252
R1,24,0.1255074898140406,0.7746596704786366,-0.46537146336234,-0.23063559531797,1.0094166400129538,0.39356690494746244,0.46453760908463004,0.6158497350654915,0.5448790309283238,0.6158497350654913,1.610873633252778,0.6094979339434252
R1,25,0.1771908372841582,0.5034474153272103,-0.4416486816790528,-0.21906792565147837,0.46453760908463004,0.17968171626752047,0.4544219846273195,0.28485589281710955,0.010115624457310568,0.2848558928171096,1.610873633252778,0.6094979339434252
R1,26,0.2308442792735848,0.4791647393800882,-0.3947559772598537,-0.19611837096208584,0.4544219846273195,0.17153405588879078,1.4268909245507464,0.2828879287385287,-0.972468939923427,0.28288792873852864,1.610873633252778,0.6094979339434252
