regime_id,n,mean_overload_asinh,mean_loop_abundance_delta,mean_loop_enrichment_delta,mean_log_enrichment_ratio,mean_loop_force_share_delta,mean_top5_delta
R1,30,-0.45156504974900324,-0.054885702024500146,-0.0019113777656147228,-0.0024478000474110065,-0.049821956481719575,0.1615804158572491
R3,30,0.6204697742329508,0.08033462413522915,-0.045374361715993405,-0.049857749905726736,0.04637633219426918,0.1171195368416893
R5,30,1.3215293659719405,0.14674443128153197,-0.09522715966255822,-0.10291133815327055,0.0800190051933482,0.07473126952644774
R6,30,1.8184317817270004,0.13540386755851025,-0.08020484896969596,-0.08607983610592955,0.07956762897549949,0.07209903262516597
R6c,30,2.5187575281754335,0.19948327291784584,-0.10004178741045339,-0.1078660159615725,0.12464577540098215,0.04001406595950565
