perm,run,tag,regime_id,cycle,null_beta1_birth_area_delta,overload_asinh,beta1_birth_area_delta
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.06080359050257739,-0.6232739267961834,-0.0266149853267331
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,7,-0.0606423947275373,-0.6232739267961834,-0.0266149853267331
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06359882164732972,-0.6410794684289782,-0.0193176354184299
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05545660824505022,-0.6410794684289782,-0.0193176354184299
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.060211717690553446,-0.6410794684289782,-0.0193176354184299
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.061408495943317765,-0.6410794684289782,-0.0193176354184299
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.059887362499832064,-0.6410794684289782,-0.0193176354184299
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06053684106221485,-0.6410794684289782,-0.0193176354184299
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05586997786699477,-0.6410794684289782,-0.0193176354184299
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.05916885715757986,-0.6410794684289782,-0.0193176354184299
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.054658375428269734,-0.6410794684289782,-0.0193176354184299
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06149581787311875,-0.6410794684289782,-0.0193176354184299
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.059492294814535995,-0.6410794684289782,-0.0193176354184299
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.058171478563427914,-0.6410794684289782,-0.0193176354184299
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,8,-0.06052756704230772,-0.6410794684289782,-0.0193176354184299
