tag,regime_id,alpha_mult,friction,lid_gap_radii,hot_susceptibility_index,hot_load_risk,d_hot_susceptibility_d_alpha,d_hot_susceptibility_d_friction,d_hot_susceptibility_d_gap,local_response_norm,dominant_response_axis,hot_bottom_pN_mean,hot_bottom_pN_cv,cold_bottom_pN_cv,hot_cold_cv_ratio,structural_cv_mean,hot_structural_cv_ratio,hot_tail_p99_over_mean,route_severity,susceptibility_slope,r2_loop_to_overload,response_z,prep_z,fluctuation_response_index,sector
a050_mu010_g002,R1,0.5,0.1,0.02,-0.723825496862676,138.0353979394738,0.14047100423528858,0.07932038669274499,0.19008410806795162,0.2493106393958063,gap,168.34229702537502,0.0710887087341991,0.0860747186679453,0.8258953364415356,0.0056521346426841,12.577320466637389,6.997205149009158,0.0490196078431372,-1.3708608102244972,0.0283062328605185,-1.2731727044745687,-0.9190028777213842,-2.192175582195953,quiet reservoir
a050_mu060_g002,R2,0.5,0.6,0.02,-0.4500774727787755,355.7377889223808,2.598990313819866,0.8596131558178385,-0.011961599115638821,2.737485800664177,alpha,423.05473835787706,0.0496138891512546,0.0375631991964023,1.3208110653867222,0.0084914217025933,5.842824780479266,6.186582316068341,,,,-0.7243385796031101,-0.4272512362563546,-1.1515898158594646,quiet reservoir
a100_mu030_g002,R3,1.0,0.3,0.02,-0.6768632410373615,111.98577310485555,2.052628065454863,3.0060153577523785,-0.09235968676036987,3.6411455090224845,friction,146.40581848212295,0.253147275958918,0.0540243587562417,4.685798809689432,0.0029317367015261,86.34720701241369,7.840189543598758,0.2941176470588235,7.170264576406267,0.806862490161973,-0.5250120639547468,1.4099109197598443,0.8848988558050975,responsive
a100_mu060_g000,R4,1.0,0.6,0.0,0.582494910203127,902.9370320004602,2.3208255901040427,4.20244134069942,13.346138696401521,14.183305776344506,gap,427.45084466878785,0.2247341766898055,0.066290827174059,3.390124792021883,0.0257123266217732,8.74032832527725,7.009934127540139,,,,1.8003456498570596,0.8796802320396585,2.680025881896718,fluctuation-response
a150_mu010_g002,R5,1.5,0.1,0.02,0.0191258780783342,223.6735453235038,1.345431745646732,6.62770383926201,-0.32001320855698956,6.770454432075688,friction,66.06424110155945,0.143366030622453,0.0553189338253745,2.591626785006839,0.0093459211876762,15.339957156514398,5.873131803620425,0.4411764705882352,13.825248348736825,0.8551517965629076,0.16524140009834418,0.4680818724417,0.6333232725400442,responsive
a150_mu060_g020,R6,1.5,0.6,0.2,2.1809989042272058,1643.407458550065,4.863965557658189,5.635289464418108,4.198020567796684,8.546228699345159,friction,636.1198262783674,0.0289000552728113,0.0662760864400235,0.4360555492142453,0.0313681686409211,0.9213179004077596,6.410444358606835,0.75,16.589858547637814,0.9155660594354396,0.5569362980770222,-1.4114189102634642,-0.8544826121864421,quiet reservoir
