regime_id,cycle,memory_coordinate,hot_excitation_coordinate,overload_number,overload_asinh,dimensionless_loop_number,amplifying_projection,amplified_memory_component,amplified_hot_component,one_step_gain,mode_angle_deg
R1,1,-5.1858429912322945,-3.1812847773907964,0.4901637071222786,0.24269241291416885,-0.0044493265046728,-4.294565536566722,0.15485421602104554,-2.7152845900368767,0.6332879761555275,76.62553087517243
R1,2,0.8863418927291516,-2.398076806110599,-0.684306982400717,-0.3358065483776062,-0.0039552003075704,-2.128015024909563,0.07673234825677373,-1.3454600600002056,0.6332879761555275,76.62553087517243
R1,3,-0.2323742805948882,-1.06113047844326,-0.6318633473061083,-0.3108989268529668,-0.0031117203777882,-1.0861031301344575,0.03916290188213827,-0.6867002185284014,0.6332879761555275,76.62553087517243
R1,4,0.3397160436391827,-1.4638476514223482,-0.7366626322448795,-0.3604737017647273,-0.0033657947903184,-1.345565492072032,0.04851864236454635,-0.8507480475963187,0.6332879761555275,76.62553087517243
R1,5,0.0621991740131326,-0.0909171611505362,-0.5983424721716318,-0.29487914523062236,-0.002499612439116,-0.07406383571831633,0.002670607100535791,-0.04682764533283604,0.6332879761555275,76.62553087517243
R1,6,0.218220091425795,-0.6190172776427071,-0.6702949334546247,-0.3291707193658112,-0.0028327909968177,-0.5517514872637191,0.019895154299350785,-0.34885072730658717,0.6332879761555275,76.62553087517243
R1,7,0.4774682053400503,-1.4065243075525418,-0.6644189414295862,-0.3263837809456625,-0.0033296294715905,-1.2579327513434728,0.04535876524828157,-0.7953413182177794,0.6332879761555275,76.62553087517243
R1,8,0.3273987448567831,-0.6416210249613928,-0.6859028201274618,-0.33656140701359283,-0.0028470517093135,-0.5484876032316819,0.019777464582274352,-0.34678710202472846,0.6332879761555275,76.62553087517243
R1,9,0.2084770527322772,-0.1324676901927811,-0.6193367837399641,-0.30492126714158,-0.0025258266831688,-0.08065129310660446,0.0029081388230696877,-0.050992635104593696,0.6332879761555275,76.62553087517243
R1,10,0.1206328993620824,0.2302092545617701,-0.5413236941749067,-0.2674615800896942,-0.0022970136653501,0.25186988880356387,-0.009081969721473787,0.15924740743608706,0.6332879761555275,76.62553087517243
R1,11,0.4452403931935751,0.3347065121272083,-0.5687772745670517,-0.2806883735732618,-0.0022310863071236,0.42861947337283735,-0.015455238010773557,0.27099920611978884,0.6332879761555275,76.62553087517243
R1,12,0.1674607713961629,0.5029145240656296,-0.5689707048752929,-0.280781398831636,-0.0021249638105338,0.5280110935446529,-0.019039118915539652,0.3338406116900206,0.6332879761555275,76.62553087517243
R1,13,-0.1613374625994025,0.5956179980295754,-0.4995414550308427,-0.24724402856779548,-0.0020664771547186,0.5421445903253926,-0.019548747082808723,0.34277666486823294,0.6332879761555275,76.62553087517243
R1,14,-0.0204484561198603,0.2565247815580707,-0.4760398578461868,-0.23582792160231114,-0.0022804111896907,0.2448375626309904,-0.00882839684035559,0.15480114465911546,0.6332879761555275,76.62553087517243
R1,15,0.0835696691859717,0.042851785541941,-0.5179204272612489,-0.25614989258568666,-0.0024152175614547,0.061020473351873834,-0.002200287195917779,0.0385808411953023,0.6332879761555275,76.62553087517243
R1,16,0.0283602222042555,0.3241820423195262,-0.4555326620374693,-0.225841608599821,-0.0022377261989956,0.32195004487938184,-0.011608932585435359,0.20355632908131888,0.6332879761555275,76.62553087517243
R1,17,0.2193923916369475,0.6206761542323954,-0.4411720602304538,-0.2188352152904842,-0.0020506679547552,0.6545914484788048,-0.02360337610525858,0.41387238305958085,0.6332879761555275,76.62553087517243
R1,18,0.0788331917165693,1.0780101955008423,-0.417726800319058,-0.20737388572376758,-0.0017621357399361,1.0670087862464903,-0.038474394598216076,0.6746276171734082,0.6332879761555275,76.62553087517243
R1,19,0.1870527521873725,0.5690542153537615,-0.3754066365373846,-0.18661822486051824,-0.0020832362549775,0.5968889209891456,-0.02152272799760682,0.3773893483114123,0.6332879761555275,76.62553087517243
R1,20,0.3473298096101995,0.4920112481114968,-0.405760898300131,-0.2015138375104815,-0.0021318426913429,0.5590098259276656,-0.020156876779506304,0.3534398888773379,0.6332879761555275,76.62553087517243
R1,21,0.0547643696923499,0.5146170566415345,-0.3932573063803424,-0.19538316649185394,-0.0021175806784281,0.5133279402124907,-0.018509671133544334,0.3245570323298971,0.6332879761555275,76.62553087517243
R1,22,0.0578404805438066,0.6866710485553175,-0.4157447724825666,-0.20640370923062543,-0.0020090317516575,0.6814272128470775,-0.0245710249202995,0.4308395795851891,0.6332879761555275,76.62553087517243
R1,23,0.1963575479170544,0.0977658519162682,-0.45373550180195,-0.2249653820194092,-0.0023805722567847,0.1405346800062348,-0.005067424751312999,0.08885454133545609,0.6332879761555275,76.62553087517243
R1,24,0.1255074898140406,0.7746596704786366,-0.46537146336234,-0.23063559531797,-0.0019535196977286,0.7826818541527806,-0.02822208297597,0.494858900018446,0.6332879761555275,76.62553087517243
R1,25,0.1771908372841582,0.5034474153272103,-0.4416486816790528,-0.21906792565147837,-0.0021246276092409,0.5307802367738321,-0.01913896917982211,0.3355914318541963,0.6332879761555275,76.62553087517243
R1,26,0.2308442792735848,0.4791647393800882,-0.3947559772598537,-0.19611837096208584,-0.0021399475584258,0.519566944591243,-0.01873463827482958,0.3285017089921938,0.6332879761555275,76.62553087517243
R1,27,0.1091248437910819,0.927761752466428,-0.3837496276996107,-0.1907165599936395,-0.0018569275378998,0.9278421197636034,-0.03345629792441417,0.5866380168913091,0.6332879761555275,76.62553087517243
R1,28,0.0771332902254827,0.7729499403805972,-0.3811606985429663,-0.1894451335245748,-0.0019545983670762,0.769828843947711,-0.027758626823800595,0.48673244805299004,0.6332879761555275,76.62553087517243
R1,29,0.1426235375365719,0.5429516239101534,-0.3690872372078156,-0.18351187329221547,-0.0020997043895184,0.5612171389382054,-0.02023646846878192,0.3548354859294435,0.6332879761555275,76.62553087517243
R1,30,0.2309232092389703,0.6481393644085093,-0.3875781794816255,-0.1925962080266283,-0.0020333414053556,0.6839770745626279,-0.02466296829234996,0.432451756687624,0.6332879761555275,76.62553087517243
R3,1,5.189181740004422,-3.2588694194602628,-0.1512654529385855,-0.07556080435517853,-0.0285023368199065,-0.5898487719731608,0.11537290583641939,-0.8140308038765166,1.393859096418066,-127.65319709200051
