series,lag_cycles,parity,route_mean_spearman,route_min_spearman,route_max_spearman
Psi,1,odd,0.36206896551724127,-0.669950738916256,0.692118226600985
Psi,2,even,0.6585659551176792,0.5019157088122606,0.8013136288998358
Psi,3,odd,0.18302808302808302,-0.7954822954822955,0.6086691086691086
Psi,4,even,0.47323076923076923,-0.04478632478632478,0.6683760683760683
Psi,5,odd,0.0909230769230769,-0.666923076923077,0.6123076923076923
Psi,6,even,0.41878260869565215,-0.49391304347826087,0.6817391304347826
Psi,7,odd,0.04328063241106721,-0.6689723320158103,0.5691699604743083
Psi,8,even,0.3678147939017505,-0.4048560135516658,0.6261998870694523
loop activation,1,odd,0.36206896551724127,-0.669950738916256,0.692118226600985
loop activation,2,even,0.6585659551176792,0.5019157088122606,0.8013136288998358
loop activation,3,odd,0.18302808302808302,-0.7954822954822955,0.6086691086691086
loop activation,4,even,0.47323076923076923,-0.04478632478632478,0.6683760683760683
loop activation,5,odd,0.0909230769230769,-0.666923076923077,0.6123076923076923
loop activation,6,even,0.41878260869565215,-0.49391304347826087,0.6817391304347826
loop activation,7,odd,0.04328063241106721,-0.6689723320158103,0.5691699604743083
loop activation,8,even,0.3678147939017505,-0.4048560135516658,0.6261998870694523
top-5% tail,1,odd,0.19320197044334972,-0.7123152709359604,0.7832512315270934
top-5% tail,2,even,0.7340996168582377,0.5807334428024084,0.8347016967706623
top-5% tail,3,odd,0.07118437118437115,-0.7753357753357752,0.7155067155067154
top-5% tail,4,even,0.6083418803418803,0.3586324786324786,0.7887179487179486
top-5% tail,5,odd,-0.023384615384615382,-0.7884615384615384,0.696923076923077
top-5% tail,6,even,0.5589565217391304,0.21391304347826084,0.7365217391304346
top-5% tail,7,odd,0.024901185770751,-0.7727272727272727,0.6403162055335968
top-5% tail,8,even,0.41773009599096556,0.032185206098249576,0.6149068322981367
overload,1,odd,0.32502463054187186,-0.8172413793103447,0.7423645320197043
overload,2,even,0.7447181171319103,0.4532019704433497,0.922824302134647
overload,3,odd,0.19780219780219782,-0.8253968253968252,0.7271062271062271
overload,4,even,0.559111111111111,0.07897435897435896,0.8509401709401709
overload,5,odd,0.09169230769230767,-0.6584615384615385,0.6853846153846154
overload,6,even,0.46765217391304337,-0.033913043478260865,0.7686956521739129
overload,7,odd,0.09249011857707509,-0.598814229249012,0.6393280632411067
overload,8,even,0.3201581027667985,-0.39920948616600793,0.6295878035008471
