scope,predictor,target,n,spearman_rho,spearman_p,pearson_r,pearson_p
six_regime,fabric_memory_index,cold_load,6,1.0,0.0,0.9787579247123691,0.0006720461579784202
six_regime,loop_activation_index,cold_load,6,-0.8857142857142858,0.01884548104956266,-0.7102041394782141,0.11380369523505075
six_regime,Z_cold_N_mean,cold_load,6,1.0,0.0,0.9743047481382813,0.000981886359133479
six_regime,survival_N_mean,cold_load,6,1.0,0.0,0.9667615437098948,0.0016388316250550649
six_regime,force_h1_birth_force_share_hot_minus_cold,cold_load,6,-0.8857142857142858,0.01884548104956266,-0.7526939263346509,0.08417778501210262
six_regime,force_share_top5_edges_hot_minus_cold,cold_load,6,0.942857142857143,0.004804664723032055,0.6901971418784167,0.1290996162838696
six_regime,fabric_memory_index,hot_load,6,-0.2571428571428572,0.6227871720116618,-0.19649421503211564,0.7090519959682513
six_regime,loop_activation_index,hot_load,6,0.6,0.20799999999999982,0.7503682666211585,0.08569597762767929
six_regime,Z_cold_N_mean,hot_load,6,-0.2571428571428572,0.6227871720116618,-0.1737619244702064,0.7419803281193023
six_regime,survival_N_mean,hot_load,6,-0.2571428571428572,0.6227871720116618,-0.13222892082084448,0.8028125962254441
six_regime,force_h1_birth_force_share_hot_minus_cold,hot_load,6,0.6,0.20799999999999982,0.7073827303023098,0.1159096424575605
six_regime,force_share_top5_edges_hot_minus_cold,hot_load,6,-0.3714285714285715,0.46847813411078715,-0.4558107696106388,0.36363425635805846
six_regime,fabric_memory_index,hot_overload_force_delta,6,-0.8857142857142858,0.01884548104956266,-0.6998459932015825,0.12161784010296162
six_regime,loop_activation_index,hot_overload_force_delta,6,1.0,0.0,0.9902707911026857,0.00014152578732771128
six_regime,Z_cold_N_mean,hot_overload_force_delta,6,-0.8857142857142858,0.01884548104956266,-0.6861823258585578,0.13226967615155216
six_regime,survival_N_mean,hot_overload_force_delta,6,-0.8857142857142858,0.01884548104956266,-0.662347052990436,0.15176644497401517
six_regime,force_h1_birth_force_share_hot_minus_cold,hot_overload_force_delta,6,1.0,0.0,0.9612724794222772,0.002220689103729391
six_regime,force_share_top5_edges_hot_minus_cold,hot_overload_force_delta,6,-0.942857142857143,0.004804664723032055,-0.7290533709150704,0.10017273648096939
long_cycle_pooled,fabric_reservoir,force_p99_cold,90,0.00930979133226324,0.9306017835536778,0.052530223672839015,0.6229179540474632
long_cycle_pooled,thermal_rewrite,force_p99_cold,90,-0.1414577931431864,0.18354266443313685,-0.07550869586803878,0.4793578150279352
long_cycle_pooled,Z_geom_cold,force_p99_cold,90,-0.19264265253690094,0.06889593050098378,-0.09870949619809144,0.3546468160390154
long_cycle_pooled,force_h1_birth_force_share_cold,force_p99_cold,90,-0.10249001934395192,0.3364271620947691,-0.004078639205158144,0.969565975985842
long_cycle_pooled,cycle_birth_positive_fraction_delta,force_p99_cold,90,0.053134131785817176,0.6189210867267536,0.004727237461817994,0.9647291470457126
long_cycle_pooled,force_h1_birth_force_share_delta,force_p99_cold,90,-0.04386549779808207,0.6814206560088857,-0.04924449401059084,0.6448533306660642
long_cycle_pooled,force_share_top5_edges_delta,force_p99_cold,90,-0.271613779478948,0.009608379441694887,-0.2883902093192334,0.005842529454978871
long_cycle_pooled,fabric_reservoir,force_p99_hot,90,-0.7405441000946619,7.310767023385765e-17,-0.36582994901884414,0.00039142177972169545
long_cycle_pooled,thermal_rewrite,force_p99_hot,90,0.6313289706548133,2.5418427132396404e-11,0.8126070597499289,2.413454348658844e-22
long_cycle_pooled,Z_geom_cold,force_p99_hot,90,-0.7374551381501696,1.1426765461740863e-16,-0.3561705366267831,0.0005701786057113053
long_cycle_pooled,force_h1_birth_force_share_cold,force_p99_hot,90,-0.8359468247108696,1.1841281699743808e-24,-0.3606328932351939,0.0004799285905353258
long_cycle_pooled,cycle_birth_positive_fraction_delta,force_p99_hot,90,0.8909330370004527,6.451000664227383e-32,0.6797093648382847,1.7576747594058195e-13
long_cycle_pooled,force_h1_birth_force_share_delta,force_p99_hot,90,0.8869983948635632,2.8113444021048633e-31,0.6512406773776462,3.657541453171206e-12
long_cycle_pooled,force_share_top5_edges_delta,force_p99_hot,90,-0.7543400419804914,9.184038894562695e-18,-0.6939277493943388,3.386316373999793e-14
long_cycle_pooled,fabric_reservoir,overload_delta,90,-0.7459439436967525,3.297805757851007e-17,-0.36924484239897654,0.00034170949374966435
long_cycle_pooled,thermal_rewrite,overload_delta,90,0.6542783059636992,2.686722504772988e-12,0.818664360199374,6.537133294404775e-23
long_cycle_pooled,Z_geom_cold,overload_delta,90,-0.747448223659711,2.6324433387768506e-17,-0.3539338970991705,0.0006210305800493003
long_cycle_pooled,force_h1_birth_force_share_cold,overload_delta,90,-0.8464337160966373,8.216455670382242e-26,-0.3619260888848303,0.00045633752158062837
long_cycle_pooled,cycle_birth_positive_fraction_delta,overload_delta,90,0.9061118656624273,1.2349165371996807e-34,0.6822565927816949,1.317544013951879e-13
long_cycle_pooled,force_h1_birth_force_share_delta,overload_delta,90,0.9075606041898177,6.431639099713759e-35,0.6556768806578919,2.3282471259701664e-12
