base,added,delta_r2_observed,p_within_regime_permutation,null_mean,null_q975
FE+cycle,force_h1_birth_force_share_hot_minus_cold,0.2594065494955622,0.0003332222592469177,0.009352171679698491,0.05425036291762459
FE+cycle,force_share_top5_edges_hot_minus_cold,0.14030455153271304,0.0003332222592469177,0.011621644150901242,0.06317357492929439
force_share_top5_edges_hot_minus_cold,force_h1_birth_force_share_hot_minus_cold,0.1271076139806282,0.0003332222592469177,0.007200257349669421,0.04030209407056955
force_h1_birth_force_share_hot_minus_cold,force_share_top5_edges_hot_minus_cold,0.00800561601777905,0.24725091636121294,0.00631479094742937,0.034042687527243265
