run,tag,regime_id,cycle,phase,n_contacts,edge_fraction,rank,beta1_birth_density,loop_force_share_partial,giant_component_fraction,added_force_fraction
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,cold,1900,0.4,760,0.4934210526315789,0.3919355829905452,0.0030395136778115,0.7990278088820739
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,cold,1900,0.8,1520,0.4881578947368421,0.4823741384076062,0.0054711246200607,0.9865072938798496
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,cold,1900,1.0,1900,0.4968421052631579,0.4891596710408465,0.0066869300911854,0.9999999999999992
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.01,82,0.4878048780487805,0.0855070228988484,0.0007603117278084,0.1758276124476743
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.02,163,0.4969325153374233,0.12740386182681,0.0007603117278084,0.2590453119324211
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.05,406,0.4852216748768473,0.2009754828926076,0.0034214027751378,0.4136757494157189
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.1,812,0.4864532019704433,0.275178506659345,0.0043717924348983,0.5654310962811371
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.2,1623,0.4886013555144793,0.3564583500261581,0.0125451435088386,0.7312209786926506
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.4,3246,0.4867529266789895,0.4338218880606863,0.0306025470442881,0.8910343158105504
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,0.8,6491,0.4812817747650593,0.482160327483128,0.0655768865234746,0.9929350838202124
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,hot,8113,1.0,8113,0.5041291753975101,0.4861319931220347,0.0710891465500855,0.999999999999998
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.01,37,0.4864864864864865,0.0262336660526932,0.00078125,0.0540471342230298
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.02,73,0.4520547945205479,0.0428439309037159,0.001171875,0.0934276144608708
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.05,182,0.4725274725274725,0.0904509660280038,0.001171875,0.1904236344645008
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.1,363,0.4820936639118457,0.1546193253614631,0.002734375,0.3206645563675303
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.2,726,0.4903581267217631,0.2532160488324979,0.003515625,0.5184165407387132
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.4,1451,0.4920744314266023,0.377107991851932,0.00703125,0.7691983260099655
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,cold,3626,0.8,2901,0.4943123061013443,0.483587649170451,0.019140625,0.98314082383919
