regime_id,measured_overload_class,n,mean_activation,mean_imprint_efficiency,mean_hazard,mean_overload_asinh,cycle_min,cycle_max
R1,negative/buffered,28,0.0,0.036157287724769956,0.0,-0.25097544957192086,2,29
R1,mild overload,1,0.0,0.6506860504995883,0.0,0.2421261187106412,1,1
R3,negative/buffered,5,0.0062652217813302605,0.35246917269702754,0.040366134670714336,-0.0446115111229348,1,12
R3,mild overload,24,0.05984755598386366,0.11820472654718818,0.5969599589506324,0.45535071995358267,2,29
R6,mild overload,12,0.051016663931058824,0.18361940822025133,0.3077342516575587,0.6925938272123678,16,29
R6,severe overload,17,0.10061541739351687,0.05102341901312392,9.306377650584615,1.642441897621934,1,28
