run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,0.0015791092079688307,0.002083878743381711,0.0005047695354128804,0.1720521500856151,0.27565545384845813,0.10360330376284302,0.0030160857908847183,0.001038637307852098,-0.0019774484830326206,0.6612051374384827,0.5014496755488057,-0.15975546188967704,0.5772652476345654,0.48649898693923865,-0.09076626069532678,0.012543512183411355,0.5359657600441806,0.5234222478607693
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,0.0013034922195961957,0.0005987943552559183,-0.0007046978643402774,0.15512083356741602,0.27035821658268444,0.11523738301526842,0.0037133819282079493,0.005293054479731474,0.001579672551523525,0.7261089840275361,0.6691746159702628,-0.056934368057273255,0.6383273569603629,0.5576412706859248,-0.08068608627443807,0.002513826043237808,0.0048367593712212815,0.0023229333279834734
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,0.0011091597374610818,0.0004584682161800968,-0.000650691521280985,0.15244806929840118,0.2925271500782715,0.14007908077987033,0.002782501159375483,0.015337423312883436,0.012554922153507952,0.7144235186035829,0.6687380709308003,-0.0456854476727826,0.6270775069334835,0.5635984112266039,-0.0634790957068796,0.002480477721635278,0.0018642638377202717,-0.0006162138839150063
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,0.0010963498276984577,0.00033773622732132246,-0.0007586136003771352,0.1499820214942882,0.28095083523349873,0.13096881373921054,0.0024957104975822804,0.02429042904290429,0.02179471854532201,0.7211499708924813,0.6586353030808056,-0.0625146678116757,0.6328304677853313,0.5641682540628358,-0.06866221372249548,0.0005821503739196633,0.004333126993952669,0.0037509766200330055
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,0.001032253437806647,0.0004160816419203052,-0.0006161717958863417,0.14930427431915777,0.28931824475457885,0.14001397043542108,0.003781909864481563,0.04588587027167555,0.04210396040719399,0.7187371122210512,0.6710007173601148,-0.04773639486093639,0.6300397481750608,0.5790476544170935,-0.050992093757967316,0.0017412821335288458,0.0009863701578192252,-0.0007549119757096206
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,0.0010571411676117493,0.0003668728812552055,-0.0006902682863565438,0.15105537195064814,0.28514804811264166,0.13409267616199352,0.002475630512146062,0.03789698425406992,0.03542135374192386,0.7212583751164752,0.6625113870642949,-0.05874698805218026,0.6316087001253426,0.5738197637902611,-0.05778893633508153,0.00013311443404179793,0.001342474948458551,0.0012093605144167532
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,0.0010186555114300036,0.000334438309071454,-0.0006842172023585496,0.14853003717004404,0.28614730775513075,0.13761727058508672,0.0022158911047799935,0.028328235137651283,0.026112344032871288,0.7233850187604539,0.6546660117878192,-0.06871900697263467,0.634215708471902,0.5662912672514553,-0.06792444122044672,0.0010849419104018805,0.0022102161100196463,0.0011252741996177658
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,0.001072109101792643,0.00036576784718048155,-0.0007063412546121615,0.153913747922985,0.28890607701029386,0.13499232908730885,0.002508623392913139,0.03660165642532728,0.034093033032414136,0.7233482142857143,0.6572028928850665,-0.06614532140064777,0.6327066045862979,0.5746267497163013,-0.05807985486999656,0.00375,0.0017591868647380765,-0.0019908131352619233
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,0.0010428493420751926,0.0004050576491163547,-0.0006377916929588378,0.150731821289245,0.2886549550965778,0.1379231338073328,0.0020478890989287964,0.037971357246091186,0.03592346814716239,0.7216979002032061,0.6618588983251886,-0.059839001878017495,0.6315107237782389,0.5799838594415937,-0.05152686433664522,0.002483630616391962,0.0007116762347582674,-0.0017719543816336945
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,0.0009631427839378353,0.0004056888034690874,-0.0005574539804687479,0.14806476569796773,0.29672828129821677,0.14866351560024904,0.0024170157911698356,0.048224348053990305,0.04580733226282047,0.7212585347850157,0.6655975456700599,-0.05566098911495576,0.6306273598162998,0.5837682810431576,-0.046859078773142215,0.0025373685181767852,0.000418351694324362,-0.0021190168238524234
