run,cycle,transition,jaccard,survival_fraction_of_cold,created_fraction_of_hot
R1_low_expansion_low_friction,1,cold_to_hot_same_cycle,0.3572396963123644,0.5073161340007701,0.4529790325929001
R1_low_expansion_low_friction,2,cold_to_hot_same_cycle,0.5989834435848563,0.8220660648338121,0.31179148059086226
R1_low_expansion_low_friction,3,cold_to_hot_same_cycle,0.5618642500462364,0.8590171351015099,0.38106103822019394
R1_low_expansion_low_friction,5,cold_to_hot_same_cycle,0.5672376951215096,0.8780624544486181,0.38425853121559994
R1_low_expansion_low_friction,10,cold_to_hot_same_cycle,0.5632816941444002,0.8845059420855883,0.3919996931809465
R1_low_expansion_low_friction,20,cold_to_hot_same_cycle,0.5602061205174046,0.8822944846243029,0.39454442129191136
R1_low_expansion_low_friction,30,cold_to_hot_same_cycle,0.5577326801959412,0.882662384406667,0.3976040210120555
R1_low_expansion_low_friction,2,cold_cycle_to_cycle,0.4504631161098247,0.6991400333718393,0.44121871153057035
R1_low_expansion_low_friction,2,hot_cycle_to_cycle,0.37718497974674303,0.7152446197494983,0.556166265888011
R1_low_expansion_low_friction,3,cold_cycle_to_cycle,0.5761159862647844,0.6970660648338121,0.23146524910931404
R1_low_expansion_low_friction,3,hot_cycle_to_cycle,0.6342080087467541,0.7970628649948471,0.24366392307065438
R1_low_expansion_low_friction,5,cold_cycle_to_cycle,0.5615245966501077,0.722332183453034,0.2839042439872176
R1_low_expansion_low_friction,5,hot_cycle_to_cycle,0.640613202901881,0.7951674680140168,0.23278031136971222
R1_low_expansion_low_friction,10,cold_cycle_to_cycle,0.532856101847486,0.6969221281605651,0.3064219159738883
R1_low_expansion_low_friction,10,hot_cycle_to_cycle,0.6087323151878572,0.7662761440478063,0.2524737286185472
R1_low_expansion_low_friction,20,cold_cycle_to_cycle,0.5290872830653032,0.6956982647994198,0.3115994037431679
R1_low_expansion_low_friction,20,hot_cycle_to_cycle,0.6125453316122688,0.7644013193219299,0.24489486645197955
R1_low_expansion_low_friction,30,cold_cycle_to_cycle,0.561695881184699,0.7182686468282449,0.2795835871310704
R1_low_expansion_low_friction,30,hot_cycle_to_cycle,0.6480932930061426,0.7874597461640462,0.21450436491440233
R3_intermediate,1,cold_to_hot_same_cycle,0.40799620358286864,0.6678534438114966,0.4881424885890058
R3_intermediate,2,cold_to_hot_same_cycle,0.2535626949995784,0.7442148248979087,0.7222299200960695
R3_intermediate,3,cold_to_hot_same_cycle,0.26605578981511513,0.7738207547169811,0.7115097159940209
R3_intermediate,5,cold_to_hot_same_cycle,0.28307062436028657,0.7698474557398953,0.6907594597012255
R3_intermediate,10,cold_to_hot_same_cycle,0.25735014974480114,0.7610078583011102,0.7200220274425222
R3_intermediate,20,cold_to_hot_same_cycle,0.264472856843429,0.7581110310021629,0.7111528248328908
R3_intermediate,30,cold_to_hot_same_cycle,0.25753424657534246,0.7470198675496689,0.7178589294647324
R3_intermediate,2,cold_cycle_to_cycle,0.25001328162354564,0.3046349041947178,0.41764633089964115
R3_intermediate,2,hot_cycle_to_cycle,0.5235787172011662,0.7127902361579679,0.3364278786199252
R3_intermediate,3,cold_cycle_to_cycle,0.2795333384841227,0.4477168667244153,0.5733490566037736
R3_intermediate,3,hot_cycle_to_cycle,0.6098701863804482,0.7768232414207196,0.2605732876110085
R3_intermediate,5,cold_cycle_to_cycle,0.2711852067559697,0.4392688679245283,0.5852354971606726
R3_intermediate,5,hot_cycle_to_cycle,0.5829297395943005,0.7302382836542689,0.2570891850791663
R3_intermediate,10,cold_cycle_to_cycle,0.26699463327370304,0.39884199977730767,0.5531994511662717
R3_intermediate,10,hot_cycle_to_cycle,0.49759158751696064,0.6560962519008856,0.3268321784222844
R3_intermediate,20,cold_cycle_to_cycle,0.29891088321806186,0.4690033678433329,0.5481855323239606
R3_intermediate,20,hot_cycle_to_cycle,0.45360962121464504,0.6248451195447662,0.3766138631993407
R3_intermediate,30,cold_cycle_to_cycle,0.3131416837782341,0.4764479692381639,0.5225767609873571
R3_intermediate,30,hot_cycle_to_cycle,0.4838851648723678,0.6543814668986356,0.34999317840738553
R6_high_expansion_high_friction,1,cold_to_hot_same_cycle,0.2823588787949375,0.8721669264899868,0.705451158269885
