cycle,contacts,Z,coordination_entropy_Hz,cumulative_edge_entropy,persistent_edge_fraction,edge_pool,contact_survival,rms_displacement_m,nonGaussian_alpha2,irreversible_work_proxy_J
1,29293,5.794283453664326,1.8046723758840733,0.0,1.0,29293,0.8395235056370985,0.0013969919391545,8.163253629220456,0.0008799255427699
2,30269,5.987340520225497,1.7697515484202992,0.17544169897443473,0.7468911309244486,34096,0.8956285227421681,0.0002422853249867,0.4332080631504658,5.818194802078724e-05
3,30709,6.074374443675206,1.7793406839693313,0.23391751968753238,0.6325022578614631,36539,0.9038380702945646,0.0002322633320351,0.3148045115584132,4.91859020241746e-05
4,31041,6.14004549500544,1.7776290115778521,0.26804358600479516,0.5547410982131211,38335,0.907057239920518,0.000227566333054,0.2014394612520302,3.969748597187428e-05
5,31190,6.169518346355455,1.778149269421057,0.2906031849010165,0.49921859245815686,39672,0.9065163947511254,0.0002278860620782,0.1761327077122245,3.372502023688669e-05
6,31287,6.188705370388686,1.783315126788338,0.30650224538079235,0.4565617409651856,40759,0.9081197939848668,0.0002268497458409,0.2174555490843359,3.3976352657102686e-05
7,31407,6.212441894965878,1.7787632349705738,0.3184683855181072,0.42255548890221956,41675,0.908229759369338,0.0002265668174858,0.1772666325865575,3.0614783263054095e-05
8,31466,6.224112352882999,1.7843117084073334,0.3274736105106547,0.39535870949483515,42402,0.910770688566014,0.0002254138873628,0.1782109486971803,2.900054220118372e-05
9,31586,6.247848877460192,1.7856275725724782,0.33470474591425603,0.37279139604721,42957,0.9124383145640896,0.0002249363169664,0.1689503897881534,2.831005763271002e-05
10,31605,6.2516071605182475,1.7808913167197904,0.34091499589956137,0.35216282649146585,43531,0.9112972033496602,0.0002264147208229,0.1715382336398865,2.7969261600355584e-05
11,31639,6.2583325091484525,1.7877797475749355,0.34624023607460075,0.334316238346905,44087,0.9105241540551642,0.0002268595334059,0.1872293360872323,2.895066207917887e-05
12,31719,6.274156858866581,1.7846262351943327,0.3508758988367969,0.3186477938042576,44579,0.9112593618226446,0.000224872654192,0.169553377446783,2.8439289352960757e-05
13,31773,6.284838294926318,1.7834714708278212,0.35474206459388974,0.305197403521252,44984,0.9102390901379246,0.0002249973204026,0.1610763489701827,2.8350280544146532e-05
14,31864,6.3028384927306895,1.7829892936098326,0.3580810776181793,0.293602663902794,45347,0.9111125031320472,0.0002259111101838,0.1510343300483514,2.9483036675946906e-05
15,31913,6.312530906933043,1.7855367060051115,0.36096490703386064,0.2833227564172703,45697,0.9107826523567438,0.0002273320424872,0.1610441133456526,3.091720723130922e-05
16,31816,6.293343882899812,1.7809455387449258,0.36377259075146584,0.2720109403490492,46068,0.9092652560757066,0.0002271096857007,0.1561562553150679,3.0773509727358804e-05
17,31846,6.29927801404411,1.7919744449104997,0.3663586847426512,0.2629491518116957,46393,0.91072438273544,0.0002262081896738,0.1579450408002896,2.9362173574842116e-05
18,31857,6.301453862130353,1.797374572387152,0.368857410612377,0.25394139319681264,46684,0.9100125549278092,0.0002261248440244,0.1743848757577013,3.071988659731827e-05
19,31868,6.303629710216596,1.7922318403061004,0.37101254543854945,0.24568085106382978,47000,0.910690164294914,0.0002263833382533,0.1498595732379704,3.134250654782802e-05
20,31975,6.324794777964593,1.7887647842874208,0.3729410313615198,0.23840429580144604,47302,0.9116541353383458,0.0002254728927852,0.1534630880988519,3.0294637999830228e-05
