tag,n,cold_bottom_pN_mean,cold_bottom_pN_sd,cold_bottom_pN_cv,hot_bottom_pN_mean,hot_bottom_pN_sd,hot_bottom_pN_cv,Z_cold_N_mean,Z_cold_N_sd,Z_cold_N_cv,Gini_cold_N_mean,Gini_cold_N_sd,Gini_cold_N_cv,survival_N_mean,survival_N_sd,survival_N_cv,work_total_mean,work_total_sd,work_total_cv,hot_tail_p99_over_mean,cold_tail_p99_over_mean,hot_tail_max_over_mean,cold_tail_max_over_mean,hot_force_gini_direct,cold_force_gini_direct,hot_contacts,cold_contacts,hot_force_mean,cold_force_mean,cold_load_kpa_proxy,hot_load_kpa_proxy,short_label
a050_mu010_g002,3,994.7416338725405,85.62210628287124,0.08607471866794537,168.34229702537502,11.96723652088293,0.07108870873419917,5.459513118082019,0.050288150610446676,0.009211105371995772,0.41849603150963843,0.0024907047819369755,0.005951561291877177,0.8396628145887467,0.001506134479873892,0.0017937372641797559,0.0039383339210568,0.0017048745307049942,0.4328923257598009,6.997205149009158,3.2337510186565055,23.454393999252773,6.213124479294097,0.5984399265066837,0.405991943336047,21513,21676,5.797869218205431e-05,0.0002978407361547,0.9947416338725406,0.168342297025375,"$0.5,0.1$"
a050_mu060_g002,3,817.1680379744422,30.69544578736725,0.03756319919640235,423.05473835787706,20.989390893800735,0.049613889151254614,5.2876023225402955,0.021528905996508453,0.004071581916199294,0.442731751979619,0.006613839085001222,0.01493870510851837,0.8386507597750782,0.005421020130529867,0.006463978083062557,0.002138450784485833,0.0004755474951823612,0.22237944339537435,6.186582316068341,3.516864251525625,15.76128434760433,6.418041600251374,0.5770396170515351,0.4199790279466471,20416,14291,0.000202416497429,0.0002986144035922,0.8171680379744422,0.42305473835787705,"$0.5,0.6$"
a100_mu030_g002,3,304.98783069516827,16.4767719817637,0.054024358756241786,146.40581848212295,37.062234133285244,0.25314727595891806,3.9236488223909443,0.013465575742979156,0.003431901363377794,0.5093897870944565,0.00142031597144869,0.0027882694302728923,0.6095803659319791,0.001569693405444729,0.0025750393109280124,0.0056490675921766,0.0021555912994833393,0.3815835559249849,7.840189543598758,4.196677582713203,22.39738738995399,7.814694283879461,0.6224443298846243,0.4763501858668763,10554,5191,0.0001080791974386,0.0002300896689226,0.30498783069516827,0.14640581848212295,"$1.0,0.3$"
a100_mu060_g000,3,272.8024680083115,18.08430125939574,0.06629082717405901,427.45084466878785,96.06281365200199,0.22473417668980555,3.745675520069199,0.10126533084716438,0.027035265148993355,0.5214376917995667,0.010132481413782162,0.01943181625174297,0.5892537024778911,0.018072351224876878,0.030669898464583605,0.003916786447997933,0.00027727566969381766,0.07079162302441769,7.009934127540139,4.0986350161264475,13.9346407568287,7.253797792857457,0.5876271605790928,0.4835766909177037,22722,3911,0.0005979696177917,0.000216474272654,0.2728024680083115,0.42745084466878785,"$1.0,0.6$"
a150_mu010_g002,3,213.56902812666064,11.814410934088285,0.0553189338253745,66.06424110155945,9.47136801281529,0.143366030622453,3.1778485985645446,0.02868044664981414,0.009025114243255417,0.593651170334927,0.007826433054215333,0.013183555335702958,0.4889609987719172,0.002850199616386389,0.005829093984070302,0.012072981361632268,0.0019624198014555434,0.1625464119154595,5.873131803620425,4.0754920304959175,12.336831261648893,6.88033395615323,0.5638572316553896,0.4897921478495685,18325,5166,0.000372821623995,0.0003249463626768,0.21356902812666065,0.06606424110155945,"$1.5,0.1$"
a150_mu060_g020,3,174.35682407947866,11.555687944099509,0.06627608644002356,636.1198262783674,18.38389813957594,0.0289000552728113,3.0209678956276425,0.08369891556394332,0.02770599306436981,0.5590007206888815,0.01990583390408807,0.03560967484900059,0.47567918648897756,0.014645609417249048,0.03078883800939316,0.009067429848982999,0.0009693614415506028,0.10690586612691867,6.410444358606835,4.565720258169065,14.95470540168122,8.630535249373686,0.5457295910103352,0.512117031953155,24811,1903,0.0008510056790968,0.0002301724826311,0.17435682407947867,0.6361198262783675,"$1.5,0.6$"
