test,median_route_mi_bits,median_corrected_predictor_given_route_bits,min_corrected_predictor_given_route_norm,n_bin_settings_with_positive_bootstrap_q025,max_shift_p
"Psi, lag 0",0.9500809656718898,0.20773654655252194,0.08800239650691943,4,0.011235955056179775
"Psi, lag 2",0.9787507061203476,0.0903936040831454,0.029723987641794025,2,0.049937578027465665
"loop activation, lag 0",0.9500809656718898,0.20781884588243282,0.08800239650691943,4,0.012484394506866416
"loop activation, lag 2",0.9787507061203476,0.090758694409709,0.02965531711037498,2,0.07865168539325842
"top-5% tail, lag 0",0.9500809656718898,0.08088790263551054,0.022318146204033766,1,0.17103620474406991
"top-5% tail, lag 2",0.9787507061203476,0.036783049867892284,0.017058733449975688,0,0.2222222222222222
"cold loop memory, lag 0",0.9500809656718898,0.12070912385439245,0.0385078651372134,2,0.10362047440699126
"cold loop memory, lag 2",0.9787507061203476,0.006086333981576077,-0.013856803569583154,0,0.7478152309612984
