relationship,predictor,target,observed_rho_within,n_perm,circular_shift_p_two_sided,null_median,null_q025,null_q975
loop_to_overload,force_h1_birth_force_share_hot_minus_cold,force_p99_hot_minus_cold,0.7410124894439752,5000,0.0001999600079984003,0.03326370060891595,-0.28619396417618564,0.38234774878883476
top5_to_overload,force_share_top5_edges_hot_minus_cold,force_p99_hot_minus_cold,-0.4764638428374594,5000,0.0001999600079984003,-0.008405706920307572,-0.288629894661985,0.2503823281034712
giant_component_to_overload,giant_fraction_after_top5_edges_hot_minus_cold,force_p99_hot_minus_cold,0.1529187963909507,5000,0.34973005398920215,-0.01504777990132895,-0.317786034934886,0.2806806524734431
fabric_to_next_cold_fabric,Z_geom_inhale_delta,Z_geom_next_cold_minus_current,0.47576000583217903,5000,0.0001999600079984003,-0.021615513596267403,-0.33530199752132384,0.285758547787417
positive_cycles_to_next_cold_loop_memory,cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,0.5460013122402857,5000,0.0001999600079984003,-0.0055587956550266085,-0.39034227600787336,0.38099393088867783
amplitude_to_overload,breath_amplitude,force_p99_hot_minus_cold,0.8308850331705182,5000,0.0001999600079984003,0.1048972078442808,-0.3465417000801924,0.6261441094991615
imprint_efficiency_to_overload,imprint_efficiency,force_p99_hot_minus_cold,-0.4351534592111977,5000,0.046590681863627276,0.02120543850696216,-0.418243785084202,0.43962054385069615
loop_cost_to_overload,loop_cost,force_p99_hot_minus_cold,0.4421702996281985,5000,0.05138972205558888,-0.004838886053801851,-0.45721048698695044,0.42403996865203747
