run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,alpha_mult,friction,lid_gap_radii,hot_susceptibility_index,cold_memory_index,loss_index,overload_number,loop_activation,top5_activation,giant_activation,frictional_expansion,boundary_attenuation,dimensionless_loop_number,dimensionless_top5_number,loop_number_no_boundary,loop_number_no_friction,loop_number_friction_only,overload_positive,loop_abundance_cold,loop_abundance_hot,loop_force_enrichment_cold,loop_force_enrichment_hot,loop_abundance_delta,loop_enrichment_delta,loop_force_share_delta,log_loop_enrichment_ratio,top5_delta,overload_asinh,loop_abundance_delta_rc,loop_enrichment_delta_rc,log_loop_enrichment_ratio_rc,loop_force_share_delta_rc,top5_delta_rc,overload_asinh_rc,loop_abundance_activation,wall_conduit_activation,giant_force_backbone_activation,top5_tail_activation,loop_conduit_product,loop_giant_product,loop_activation_rc,loop_abundance_activation_rc,wall_conduit_activation_rc,giant_force_backbone_activation_rc,top5_tail_activation_rc,loop_conduit_product_rc,loop_giant_product_rc,route_local_top20_overload,high_loop,high_wall_conduit,quadrant
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,0.0015791092079688,0.0020838787433817,0.0005047695354128,0.1720521500856151,0.2756554538484581,0.103603303762843,0.0030160857908847,0.001038637307852,-0.0019774484830326,0.6612051374384827,0.5014496755488057,-0.159755461889677,0.5772652476345654,0.4864989869392386,-0.0907662606953267,0.0125435121834113,0.5359657600441806,0.5234222478607693,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,0.4901637071222786,-0.0907662606953267,0.103603303762843,-0.0019774484830326,0.05,0.9803921568627452,-0.0044493265046728,0.0050785933217079,-0.0045383130347663,-0.0453831303476633,-0.0090766260695326,True,0.6612051374384827,0.5014496755488057,0.8730501548595017,0.9701850667403374,-0.159755461889677,0.0971349118808357,-0.0907662606953267,0.1054938384074936,0.103603303762843,0.4723967156796417,-0.1048697598651769,0.0990462896464505,0.1079416384549046,-0.0409443042136071,-0.0579771120944061,0.9239617654286449,-0.159755461889677,0.5234222478607693,-0.0019774484830326,0.103603303762843,-0.04750908020306449,0.0001794856045225153,-0.040944304213607126,-0.10486975986517688,0.5061531291796114,-0.04272518175836562,-0.057977112094406105,-0.045927817698729966,0.0020369016781246964,True,False,True,conduit only
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,0.0013034922195961,0.0005987943552559,-0.0007046978643402,0.155120833567416,0.2703582165826844,0.1152373830152684,0.0037133819282079,0.0052930544797314,0.0015796725515235,0.7261089840275361,0.6691746159702628,-0.0569343680572732,0.6383273569603629,0.5576412706859248,-0.080686086274438,0.0025138260432378,0.0048367593712212,0.0023229333279834,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.684306982400717,-0.080686086274438,0.1152373830152684,0.0015796725515235,0.05,0.9803921568627452,-0.0039552003075704,0.0056488913242778,-0.0040343043137219,-0.040343043137219,-0.0080686086274438,False,0.7261089840275361,0.6691746159702628,0.8791068159213903,0.8333269932503022,-0.0569343680572732,-0.045779822671088,-0.080686086274438,-0.053480296062195,0.1152373830152684,-0.6397629609502089,-0.0020486660327731,-0.0438684449054733,-0.051032496014784,-0.0308641297927184,-0.0463430328419807,-0.18819791120120566,-0.0569343680572732,0.0023229333279834,0.0015796725515235,0.1152373830152684,-0.000187428398911436,-0.00012745759577758673,-0.03086412979271843,-0.0020486660327731013,-0.014946185353174431,-0.039168060723809524,-0.046343032841980714,0.0013938341054230904,0.0017299584778245945,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,0.001109159737461,0.00045846821618,-0.0006506915212809,0.1524480692984011,0.2925271500782715,0.1400790807798703,0.0027825011593754,0.0153374233128834,0.0125549221535079,0.7144235186035829,0.6687380709308003,-0.0456854476727826,0.6270775069334835,0.5635984112266039,-0.0634790957068796,0.0024804777216352,0.0018642638377202,-0.000616213883915,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6318633473061083,-0.0634790957068796,0.1400790807798703,0.0125549221535079,0.05,0.9803921568627452,-0.0031117203777882,0.0068666216068563,-0.0031739547853439,-0.0317395478534398,-0.0063479095706879,False,0.7144235186035829,0.6687380709308003,0.8777391709600679,0.8427790127787177,-0.0456854476727826,-0.0349601581813502,-0.0634790957068796,-0.0406446978624053,0.1400790807798703,-0.5959548111117786,0.0092002543517175,-0.0330487804157355,-0.0381968978149943,-0.01365713922516,-0.0215013350773788,-0.14438976136277537,-0.0456854476727826,-0.000616213883915,0.0125549221535079,0.1400790807798703,3.911670011294828e-05,-0.0007969751049749509,-0.013657139225160021,0.0092002543517175,-0.017885332565072833,-0.02819281112182512,-0.021501335077378808,0.001620379204447475,0.0010604409686272302,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,0.0010963498276984,0.0003377362273213,-0.0007586136003771,0.1499820214942882,0.2809508352334987,0.1309688137392105,0.0024957104975822,0.0242904290429042,0.021794718545322,0.7211499708924813,0.6586353030808056,-0.0625146678116757,0.6328304677853313,0.5641682540628358,-0.0686622137224954,0.0005821503739196,0.0043331269939526,0.003750976620033,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.7366626322448795,-0.0686622137224954,0.1309688137392105,0.021794718545322,0.05,0.9803921568627452,-0.0033657947903184,0.0064200398891769,-0.0034331106861247,-0.0343311068612477,-0.0068662213722495,False,0.7211499708924813,0.6586353030808056,0.8775296309062488,0.8565715372739745,-0.0625146678116757,-0.0209580936322743,-0.0686622137224954,-0.0241728851130364,0.1309688137392105,-0.6824431173445462,-0.0076289657871755,-0.0190467158666595,-0.0217250850656254,-0.0188402572407758,-0.0306116021180386,-0.23087806759554297,-0.0625146678116757,0.003750976620033,0.021794718545322,0.1309688137392105,-0.00025755035835278923,-0.0014964736227805332,-0.018840257240775822,-0.007628965787175597,-0.013518142061124831,-0.01895301473001102,-0.030611602118038622,0.0013237121459817374,0.00036094245082164797,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,0.0010322534378066,0.0004160816419203,-0.0006161717958863,0.1493042743191577,0.2893182447545788,0.140013970435421,0.0037819098644815,0.0458858702716755,0.0421039604071939,0.7187371122210512,0.6710007173601148,-0.0477363948609363,0.6300397481750608,0.5790476544170935,-0.0509920937579673,0.0017412821335288,0.0009863701578192,-0.0007549119757096,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5983424721716318,-0.0509920937579673,0.140013970435421,0.0421039604071939,0.05,0.9803921568627452,-0.002499612439116,0.0068634299233049,-0.0025496046878983,-0.0254960468789836,-0.0050992093757967,False,0.7187371122210512,0.6710007173601148,0.8765927589687187,0.8629613045649374,-0.0477363948609363,-0.0136314544037813,-0.0509920937579673,-0.0156726757920967,0.140013970435421,-0.5674030607659543,0.0071493071635637,-0.0117200766381666,-0.0132248757446857,-0.0011701372762477,-0.0215664454218281,-0.11583801101695101,-0.0477363948609363,-0.0007549119757096,0.0421039604071939,0.140013970435421,3.8494542244396256e-05,-0.0021469690966653744,-0.0011701372762477277,0.007149307163563795,-0.018024030656867432,0.001356227131860878,-0.021566445421828118,0.0016197570465789229,-0.0002895530230631932,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,0.0010571411676117,0.0003668728812552,-0.0006902682863565,0.1510553719506481,0.2851480481126416,0.1340926761619935,0.002475630512146,0.0378969842540699,0.0354213537419238,0.7212583751164752,0.6625113870642949,-0.0587469880521802,0.6316087001253426,0.5738197637902611,-0.0577889363350815,0.0001331144340417,0.0013424749484585,0.0012093605144167,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6702949334546247,-0.0577889363350815,0.1340926761619935,0.0354213537419238,0.05,0.9803921568627452,-0.0028327909968177,0.0065731704000977,-0.002889446816754,-0.0288944681675407,-0.0057788936335081,False,0.7212583751164752,0.6625113870642949,0.8757038003521899,0.8661281526540365,-0.0587469880521802,-0.0095756476981533,-0.0577889363350815,-0.0109950264129515,0.1340926761619935,-0.6281614896527268,-0.0038612860276801,-0.0076642699325386,-0.0085472263655405,-0.0079669798533619,-0.0274877396952556,-0.17659643990372353,-0.0587469880521802,0.0012093605144167,0.0354213537419238,0.1340926761619935,-6.988765777378809e-05,-0.0020469623562944356,-0.007966979853361929,-0.0038612860276800998,-0.01605975816674113,-0.005326379533409219,-0.027487739695255614,0.0015113748465607384,-0.00018954628269225444,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,0.00101865551143,0.0003344383090714,-0.0006842172023585,0.148530037170044,0.2861473077551307,0.1376172705850867,0.0022158911047799,0.0283282351376512,0.0261123440328712,0.7233850187604539,0.6546660117878192,-0.0687190069726346,0.634215708471902,0.5662912672514553,-0.0679244412204467,0.0010849419104018,0.0022102161100196,0.0011252741996177,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6644189414295862,-0.0679244412204467,0.1376172705850867,0.0261123440328712,0.05,0.9803921568627452,-0.0033296294715905,0.0067459446365238,-0.0033962220610223,-0.0339622206102233,-0.0067924441220446,False,0.7233850187604539,0.6546660117878192,0.8767332637862106,0.8650078926580861,-0.0687190069726346,-0.0117253711281245,-0.0679244412204467,-0.0134641685639985,0.1376172705850867,-0.6232739267961834,-0.0138333049481345,-0.0098139933625098,-0.0110163685165875,-0.0181024847387271,-0.0239631452721624,-0.1717088770471802,-0.0687190069726346,0.0011252741996177,0.0261123440328712,0.1376172705850867,-7.643362122881769e-05,-0.001773666377388842,-0.01810248473872713,-0.013833304948134499,-0.01614384448154013,-0.01463538924246182,-0.023963145272162423,0.001504828883105709,8.374969621333908e-05,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,0.0010721091017926,0.0003657678471804,-0.0007063412546121,0.153913747922985,0.2889060770102938,0.1349923290873088,0.0025086233929131,0.0366016564253272,0.0340930330324141,0.7233482142857143,0.6572028928850665,-0.0661453214006477,0.6327066045862979,0.5746267497163013,-0.0580798548699965,0.00375,0.001759186864738,-0.0019908131352619,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6859028201274618,-0.0580798548699965,0.1349923290873088,0.0340930330324141,0.05,0.9803921568627452,-0.0028470517093135,0.0066172710336916,-0.0029039927434998,-0.0290399274349982,-0.0058079854869996,False,0.7233482142857143,0.6572028928850665,0.8746915967865873,0.8743521307304922,-0.0661453214006477,-0.000339466056095,-0.0580798548699965,-0.00038817332582,0.1349923290873088,-0.6410794684289782,-0.0112596193761476,0.0015719117095196,0.0020596267215909,-0.0082578983882769,-0.0265880867699403,-0.18951441867997498,-0.0661453214006477,-0.0019908131352619,0.0340930330324141,0.1349923290873088,0.00011562613796929386,-0.0019801184106006077,-0.008257898388276924,-0.011259619376147605,-0.01925993181641973,-0.006654700242918921,-0.026588086769940317,0.0016968886423038205,-0.00012270233699842648,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,0.0010428493420751,0.0004050576491163,-0.0006377916929588,0.150731821289245,0.2886549550965778,0.1379231338073328,0.0020478890989287,0.0379713572460911,0.0359234681471623,0.7216979002032061,0.6618588983251886,-0.0598390018780174,0.6315107237782389,0.5799838594415937,-0.0515268643366452,0.0024836306163919,0.0007116762347582,-0.0017719543816336,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6193367837399641,-0.0515268643366452,0.1379231338073328,0.0359234681471623,0.05,0.9803921568627452,-0.0025258266831688,0.0067609379317319,-0.0025763432168322,-0.0257634321683226,-0.0051526864336645,False,0.7216979002032061,0.6618588983251886,0.8750347251951633,0.8762953265555893,-0.0598390018780174,0.0012606013604259,-0.0515268643366452,0.0014395933843249,0.1379231338073328,-0.5853351792691289,-0.0049532998535173,0.0031719791260406,0.0038873934317359,-0.0017049078549256,-0.0236572820499163,-0.13377012952012568,-0.0598390018780174,-0.0017719543816336,0.0359234681471623,0.1379231338073328,9.130325303315854e-05,-0.0018510236697206273,-0.0017049078549256289,-0.0049532998535173,-0.01904107306279143,-0.004824265128170718,-0.023657282049916323,0.001672565757367685,6.392403881553882e-06,False,False,False,low loop / closed conduit
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,0.0009631427839378,0.000405688803469,-0.0005574539804687,0.1480647656979677,0.2967282812982167,0.148663515600249,0.0024170157911698,0.0482243480539903,0.0458073322628204,0.7212585347850157,0.6655975456700599,-0.0556609891149557,0.6306273598162998,0.5837682810431576,-0.0468590787731422,0.0025373685181767,0.0004183516943243,-0.0021190168238524,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5413236941749067,-0.0468590787731422,0.148663515600249,0.0458073322628204,0.05,0.9803921568627452,-0.0022970136653501,0.0072874272353063,-0.0023429539386571,-0.0234295393865711,-0.0046859078773142,False,0.7212585347850157,0.6655975456700599,0.8743430121132222,0.8770589447644005,-0.0556609891149557,0.0027159326511783,-0.0468590787731422,0.003101440897156,0.148663515600249,-0.5178642270634649,-0.0007752870904556,0.004627310416793,0.005549240944567,0.0029628777085773,-0.012916900257,-0.06629917731446167,-0.0556609891149557,-0.0021190168238524,0.0458073322628204,0.148663515600249,9.92951762705132e-05,-0.0021464893908909994,0.002962877708577373,-0.0007752870904556008,-0.019388135505010232,0.005059598987487375,-0.012916900257000097,0.0016805576806050398,-0.0002890733172888182,False,True,False,loop only
