run,tag,regime_id,folder,cycle,phase,contacts_true_force,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction_true_force,bottom_side_percolation_edge_fraction_true_force,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges_true_force,giant_fraction_after_top10_edges_true_force,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share,contacts_geometry,Z_geom,mean_positive_overlap_m,overlap_p90_m,overlap_p99_m,orientation_entropy,bottom_top_percolation_edge_fraction_geometry,bottom_side_percolation_edge_fraction_geometry,giant_fraction_after_top5_edges_geometry,giant_fraction_after_top10_edges_geometry,cycle_births_during_overlap_filtration,cycle_birth_count,cycle_birth_positive_count,cycle_birth_overlap_median,cycle_birth_overlap_p90,cycle_birth_positive_fraction,force_proxy_q99_q50,force_proxy_gini,net_force_p99_N
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,1,cold,16662.0,6.771324300514778,0.000406393248140366,0.0015791092079688307,0.7365862441483615,0.012543512183411355,0.0008378016085790885,0.0030160857908847183,0.009215817694369972,0.04711651801658754,0.1720521500856151,0.28969286587190907,11017.0,0.6612051374384827,0.5772652476345654,15582.0,3.0821877163485314,4.11396098742473e-07,6.289373546001023e-07,1.0333910539719089e-06,0.937793437653732,0.930432550378642,0.0010910024387113,0.0062308377015132,0.0426268420532093,7142.0,7142.0,2667.0,0.0,3.5621671044092266e-07,0.3734248109773173,5.1288849569326525,0.4614889171013114,0.0012701194663108
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,1,hot,7243.0,2.282251443297768,0.0003150975346262278,0.002083878743381711,,0.5359657600441806,0.0006231823847112588,0.001038637307852098,0.0012463647694225177,0.09918859926943982,0.27565545384845813,0.41060505300972683,3632.0,0.5014496755488057,0.48649898693923865,14451.0,2.858470972208486,3.5248471311618517e-07,3.445669043511488e-07,9.729130836870188e-07,0.9254345532627968,0.3657186353885544,0.0871911978409798,0.0007912174859064,0.0020769459005044,5455.0,5455.0,40.0,0.0,0.0,0.0073327222731439,11.964982952361323,0.5854417256265685,0.0017973213877169
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,2,cold,25857.0,9.666943890951147,0.0003738617740244865,0.0013034922195961957,0.3123718915574119,0.002513826043237808,0.0009627286480539128,0.0037133819282079493,0.01650391968092422,0.040775708568794,0.15512083356741602,0.26647602478908217,18775.0,0.7261089840275361,0.6383273569603629,19496.0,3.8563940263079814,3.945828422809246e-07,6.227374895906995e-07,9.26188363911889e-07,0.94809461266456,0.9888695116947066,0.0032314320886335,0.0034615765008406,0.0821877163485313,10553.0,10553.0,6055.0,1.0812700048127775e-07,4.299159780893956e-07,0.5737704918032787,4.127421038110549,0.4164479266583276,0.0008124819476769
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,2,hot,22329.0,2.182065242869527,9.772337511171692e-05,0.0005987943552559183,0.3020287518473734,0.0048367593712212815,0.0011618900077459333,0.005293054479731474,0.011618900077459334,0.10954678986150324,0.27035821658268444,0.39773143593229604,14942.0,0.6691746159702628,0.5576412706859248,23288.0,4.606468202947285,1.6332313359822657e-07,2.32695858114868e-07,5.145584251638264e-07,0.9376086170261864,0.4150635520439711,0.0029199587770525,0.0111759469884284,0.0819899119770547,13529.0,13529.0,3744.0,0.0,1.0110043582615629e-07,0.2767388572695691,9.936499856701989,0.5548417272225904,0.00075846484251
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,3,cold,21770.0,7.168468101763428,0.0003292819523088391,0.0011091597374610818,0.5877354157096922,0.002480477721635278,0.0010820837842015767,0.002782501159375483,0.016540423558509817,0.03908642980207788,0.15244806929840118,0.2645966375449705,15553.0,0.7144235186035829,0.6270775069334835,17683.0,3.497774700820888,3.488605541922431e-07,5.391394061445358e-07,8.106943960885194e-07,0.9472886567200844,0.8890459763614771,0.0007351693717129,0.0039560874295321,0.0401542874097517,8938.0,8938.0,4474.0,8.108060108730221e-10,3.643879818948822e-07,0.5005594092638174,4.07552018522009,0.4209736669615982,0.0007279685760761
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,3,hot,22529.0,1.485666336671636,6.594461967560193e-05,0.0004584682161800968,0.5324248746060632,0.0018642638377202717,0.0031952965235173825,0.015337423312883436,0.05930470347648262,0.11299394679665115,0.2925271500782715,0.42615875799761976,15066.0,0.6687380709308003,0.5635984112266039,24542.0,4.854514884778953,1.1882039239400797e-07,1.6204940063717544e-07,4.001951060964082e-07,0.9377294126197656,0.5593676147013283,0.001955830820634,0.0562753436850954,0.1211551775294234,14670.0,14670.0,3309.0,0.0,6.129741177889145e-08,0.225562372188139,12.551919732011322,0.5906294448692899,0.0004856230267704
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,4,cold,22331.0,7.334798581985545,0.00032845813362525393,0.0010963498276984577,0.5357126864000716,0.0005821503739196633,0.0007799095304944627,0.0024957104975822804,0.005927312431757916,0.03906507516570489,0.1499820214942882,0.2595143603375123,16104.0,0.7211499708924813,0.6328304677853313,17924.0,3.545445554346751,3.5408093730520833e-07,5.455523169620386e-07,8.204228531049925e-07,0.9484382464840188,0.9780182994867216,0.0021758536041062,0.0031648699436257,0.0235387202057165,9214.0,9214.0,4859.0,4.4045327239725276e-08,3.7724512738754497e-07,0.5273496852615585,4.049473982983189,0.4157326277681907,0.0007107155697425
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,4,hot,21001.0,1.1144618955650767,5.306708707038125e-05,0.00033773622732132246,0.5877339174325033,0.004333126993952669,0.0018481848184818482,0.02429042904290429,0.05201320132013201,0.10427896142543336,0.28095083523349873,0.416888921314979,13832.0,0.6586353030808056,0.5641682540628358,25030.0,4.951043418059539,1.1041326901013457e-07,1.47324453588513e-07,3.598810051475145e-07,0.935604424954566,0.4403515781062724,0.0007990411506192,0.0644842251013747,0.1391553753337948,15125.0,15125.0,3096.0,0.0,5.6119458187887315e-08,0.204694214876033,11.53856834099346,0.5836741591010148,0.0003676899917484
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,5,cold,21823.0,6.787327811440285,0.00031101717506485293,0.001032253437806647,0.2883654859551849,0.0017412821335288458,0.0006303183107469272,0.003781909864481563,0.014497321147179325,0.03796805111814499,0.14930427431915777,0.25978854209834534,15685.0,0.7187371122210512,0.6300397481750608,17837.0,3.528236574028286,3.491092244678626e-07,5.345705455891969e-07,8.056070519239267e-07,0.946586532193162,0.9905813757918932,0.0009530750686774,0.0027692612006725,0.0284838294926317,9150.0,9150.0,4727.0,2.8868453896477297e-08,3.668379001000146e-07,0.5166120218579235,3.988884453968974,0.4139673085262816,0.0006999358487903
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,5,hot,22304.0,1.3445878825882716,6.028460736138233e-05,0.0004160816419203052,0.3936065279770445,0.0009863701578192252,0.003639672429481347,0.04588587027167555,0.09450149486546211,0.10013229732077904,0.28931824475457885,0.4297218236812559,14966.0,0.6710007173601148,0.5790476544170935,25436.0,5.031351992879043,1.1207772701933123e-07,1.4985750651801046e-07,3.794815229748835e-07,0.9349753364045004,0.3899591130680924,0.0008649158672747,0.0781327267332608,0.1420235387202057,15484.0,15484.0,3287.0,0.0,6.03300381479085e-08,0.2122836476362697,12.067097100205512,0.5836374951876209,0.0002788658862389
