test,lag_cycles,n,conditional_mi_bits,conditional_mi_fraction_of_target_entropy,target_entropy_bits
Psi | tail,0,150,0.6264240909928938,0.3952295973613707,1.584962500721156
tail | Psi,0,150,0.10359863931061986,0.06536346397058769,1.584962500721156
loop | tail,0,150,0.6264240909928938,0.3952295973613707,1.584962500721156
cold loop | Psi,0,150,0.05642646736620538,0.035601137150267845,1.584962500721156
Psi | tail,2,140,0.5252918626979339,0.3314376947527728,1.5848887166855343
tail | Psi,2,140,0.04458298757986345,0.02813004289228553,1.5848887166855343
loop | tail,2,140,0.5252918626979339,0.3314376947527728,1.5848887166855343
cold loop | Psi,2,140,0.06345221408191999,0.04003575356042481,1.5848887166855343
