run,tag,regime_id,cycle,first_cycle_edge_fraction_cold,first_cycle_edge_fraction_hot,first_cycle_edge_fraction_delta,first_cycle_force_fraction_cold,first_cycle_force_fraction_hot,first_cycle_force_fraction_delta,beta1_birth_density_5pct_cold,beta1_birth_density_5pct_hot,beta1_birth_density_5pct_delta,beta1_birth_density_10pct_cold,beta1_birth_density_10pct_hot,beta1_birth_density_10pct_delta,loop_force_share_5pct_cold,loop_force_share_5pct_hot,loop_force_share_5pct_delta,loop_force_share_10pct_cold,loop_force_share_10pct_hot,loop_force_share_10pct_delta,beta1_birth_area_cold,beta1_birth_area_hot,beta1_birth_area_delta,loop_force_persistence_area_cold,loop_force_persistence_area_hot,loop_force_persistence_area_delta,giant_component_area_cold,giant_component_area_hot,giant_component_area_delta,total_beta1_birth_density_cold,total_beta1_birth_density_hot,total_beta1_birth_density_delta,total_loop_force_share_cold,total_loop_force_share_hot,total_loop_force_share_delta,top5_force_share_cold,top5_force_share_hot,top5_force_share_delta,force_p99_hot_minus_cold,overload_asinh,loop_force_share_delta,loop_conduit_force_share_delta
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,1,0.0001444982298966,0.0001531510835439,8.652853647300008e-06,0.0009318430310813,0.002448826238135,0.0015169832070536999,0.4906204906204906,0.4808575803981623,-0.009762910222328336,0.4866425992779783,0.4908116385911179,0.004169039313139611,0.0753488101618485,0.1312889359047412,0.0559401257428927,0.1297082429430862,0.207327278667671,0.07761903572458481,0.5469900815557442,0.501281755062926,-0.045708326492818196,0.3762098604936487,0.3890227702282718,0.012812909734623124,0.4095382165605095,0.2644638310618541,-0.14507438549865537,0.6393324181778773,0.5479745769201317,-0.0913578412577456,0.5652004030026888,0.5017657880794864,-0.06343461492320246,0.1537968848773548,0.2726864430032141,0.1188895581258593,0.0015944229827668,0.509184691749464,-0.0634346149232044,-0.1625434768813219
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,0.0010526315789473,0.0002465179341797,-0.0008061136447676001,0.007106242025632,0.0104494547394845,0.0033432127138525005,0.4842105263157895,0.4852216748768473,0.0010111485610578286,0.4947368421052631,0.4864532019704433,-0.008283640134819803,0.1008547172911904,0.2009754828926076,0.10012076560141721,0.1699226483492831,0.275178506659345,0.1052558583100619,0.4851052631578947,0.482384063139987,-0.00272120001790771,0.3692951574590588,0.4085296361454571,0.039234478686398344,0.0038267477203647,0.0383282645884812,0.034501516868116505,0.4968421052631579,0.5041291753975101,0.007287070134352203,0.4891596710408465,0.4861319931220347,-0.003027677918811811,0.2087450805389044,0.4136757494157189,0.2049306688768145,0.0011717861789786,0.3812892683193443,-0.0030276779188137,-0.0171036131903141
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,0.0005515719801434,9.159186664224217e-05,-0.0004599801135011578,0.0047976695921231,0.0011196768442199,-0.0036779927479032,0.4725274725274725,0.4853479853479853,0.012820512820512775,0.4820936639118457,0.4922161172161172,0.010122453304271473,0.0904509660280038,0.1093827110218945,0.018931744993890692,0.1546193253614631,0.1753346528251497,0.020715327463686595,0.4863323354720652,0.5484043321512808,0.06207199667921559,0.3616072271205816,0.3926262623963897,0.031019035275808127,0.013853515625,0.4456492248062015,0.4317957091812015,0.5033094318808604,0.6586829089576846,0.15537347707682414,0.4921359249742427,0.549398874342601,0.05726294936835835,0.1904236344645008,0.2253717426190188,0.03494810815451799,0.0008047568178311,0.2651349896393202,0.0572629493683606,0.1813646595137041
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,0.0010178117048346,0.0003144159723313,-0.0007033957325032999,0.0121430599447563,0.0123790463448723,0.0002359864001159999,0.4747474747474747,0.4796238244514106,0.004876349703935912,0.482233502538071,0.4866562009419152,0.004422698403844183,0.1001891167410667,0.1874744029901919,0.08728528624912521,0.1628441093055384,0.2563143755871498,0.09347026628161142,0.4836166992120609,0.4802766538888127,-0.0033400453232482197,0.3624686045807067,0.4002848404221314,0.03781623584142474,0.0042748324192565,0.0096143790849673,0.0053395466657107996,0.4997455470737914,0.5000786039930829,0.00033305691929153003,0.4892380603935453,0.4860017770423926,-0.003236283351152669,0.209644818811664,0.3879350148176882,0.17829019600602422,0.0005419453395809,0.1796800584768238,-0.0032362833511522,-0.01156941436074
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,0.0003027550711474,0.000117240166481,-0.00018551490466640002,0.0018619832649398,0.0014140623741919,-0.0004479208907479,0.4833836858006042,0.4865181711606096,0.003134485360005379,0.4856278366111952,0.4900351699882767,0.00440733337708149,0.0814567807231302,0.120267261366156,0.038810480643025794,0.1417130422692772,0.1888558064743599,0.047142764205082704,0.4980042078860731,0.5222113785587554,0.024207170672682354,0.3567388344081756,0.3854300614066761,0.02869122699850052,0.1833988611713665,0.3287258110415481,0.14532694987018158,0.5361792310021193,0.6149832932762764,0.07880406227415715,0.5019349851588436,0.518710474386625,0.01677548922778138,0.16863088348269,0.2474914032536057,0.07886051977091568,0.0010265516037866,0.33583528918585,0.0167754892277801,0.0124874311937436
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,0.0009794319294809,0.0003209757663296,-0.0006584561631513,0.0078122953039575,0.0178551881938744,0.0100428928899169,0.4951456310679611,0.4903846153846153,-0.004761015683345804,0.4878048780487805,0.4887820512820512,0.000977173233270734,0.1025897259647317,0.1828028285815161,0.08021310261678441,0.1643648676723724,0.2467818292971423,0.08241696162476989,0.4838328777087942,0.4839931747889788,0.00016029708018461264,0.364254869509649,0.3975749533889777,0.033320083879328666,0.0046825859056493,0.0077803686431268,0.0030977827374775004,0.4965719882468168,0.4997592681752528,0.003187279928435982,0.4887548027147747,0.4866673810195852,-0.002087421695189551,0.2089671831607342,0.3754048867571203,0.1664377035963861,0.0002674523329436,0.0890331050240718,-0.00208742169519,-0.0207935307127019
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,0.0003324468085106,0.0001164618878472,-0.00021598492066340002,0.002789947445857,0.0015689948140262,-0.0012209526318308,0.4850498338870432,0.4877764842840512,0.002726650397007979,0.4883720930232558,0.4871944121071013,-0.0011776809161544999,0.0863759684300769,0.120962146641998,0.0345861782119211,0.1480984870312849,0.1887939781843964,0.040695491153111496,0.493415923237089,0.5233757175042248,0.029959794267135853,0.3591945660307107,0.3861430239919263,0.02694845796121559,0.1205417133258678,0.3389022996714754,0.2183605863456076,0.5242686170212766,0.617189774646247,0.09292115762497044,0.4981159392306761,0.5204993003274564,0.022383361096780297,0.1781552008164404,0.2485821270301388,0.0704269262136984,0.0010049412579561,0.3290123267061821,0.0223833610967807,0.0348388026137818
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,0.0015408320493066,0.000332778702163,-0.0012080533471436,0.011451186731065,0.0260349905835699,0.014583803852504901,0.4693877551020408,0.4850498338870432,0.01566207878500242,0.4871794871794871,0.4875207986688852,0.0003413114893980884,0.0993980291531971,0.1507095840808213,0.051311554927624195,0.165501531251641,0.2225335763523048,0.057032045100663814,0.4829072141180466,0.4822350763871719,-0.0006721377308747112,0.3643568966676255,0.389326730556454,0.024969833888828508,0.004287935323383,0.0064766958929395,0.0021887605695565006,0.4971751412429379,0.4993344425956739,0.0021593013527360094,0.4888812926581393,0.4865573503643536,-0.0023239422937856857,0.2105707298506287,0.3103882467817498,0.09981751693112112,-0.0004808095986975,-0.159591551136104,-0.0023239422937847,-0.0142368568075928
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,0.0002762430939226,0.0001416631250885,-0.0001345799688341,0.0017568286167994,0.001902300186063,0.00014547156926360012,0.4834254143646408,0.4915014164305949,0.008076002065954102,0.4903314917127072,0.4907932011331444,0.0004617094204372174,0.0851905577855703,0.129136642962789,0.04394608517721871,0.1479282038859984,0.2017081536945511,0.05377994980855272,0.501455056997158,0.5095535090383784,0.008098452041220394,0.361903091080894,0.3865589535574782,0.02465586247658419,0.2171214450422751,0.2923479756135688,0.07522653057129369,0.5482044198895027,0.5859186853661992,0.03771426547669643,0.505264307186809,0.5050175929087619,-0.0002467142780471221,0.176214915430961,0.2644345782400687,0.08821966280910773,0.000895257224631,0.2941584669231569,-0.0002467142780432,-0.0245197836524726
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,0.0009760858955588,0.0003161555485298,-0.0006599303470289999,0.012152156845842,0.0150538313385838,0.0029016744927418004,0.4660194174757281,0.4858044164037854,0.019784998928057296,0.4780487804878048,0.4865718799368088,0.008523099449003979,0.1050642867494162,0.1489683015735117,0.043904014824095505,0.1682602946873503,0.2178244379585873,0.04956414327123701,0.4834663821188566,0.482904042042646,-0.0005623400762106434,0.3660740140355263,0.3882264677371856,0.022152453701659303,0.0068551765409934,0.0054076871806265,-0.0014474893603669,0.4963396778916544,0.5001580777742649,0.0038183998826105126,0.4886931548343515,0.4869188762897773,-0.0017742785445741815,0.2231733139732699,0.3062605437868464,0.08308722981357652,-0.0005784846449016,-0.1916527983975055,-0.0017742785445765,-0.0230680711988653
